Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537)
0.0,0.7260720385706014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5819340677631477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8835683368288225e-22,0.7260720385706014,2.9324281145441946e-31,1.320112628125917e-27,2.2482011846440767e-37,1.2638718620275598e-21,0.0,0.0,3.451713755425118e-21,1.3171330955479027e-38,5.232220444781836e-53,2.353836206762365e-36,1.704458724912528e-60,4.950699918460399e-68,1.2552531571755455e-45,7.101897298549634e-50,1.4479269778457692e-57,2.1667425359844214e-65,7.571530328433957e-94,4.4453135622810765e-87,9.250634725782438e-109,5.297759197856042e-113,1.1074445589409894e-61,-1.0579611176650877e-108,5.0171578075303666e-76,2.5826309871438596e-107,-4.331178389763237e-116,-7.861986520941001e-120,1.1290252183296275e-128,-1.9749151194408122e-124,3.235284739022602e-79,-1.5702740502100032e-120,7.326838448019965e-128,-5.781151649748357e-133,3.76,0.0,0.5819340677631477,0.9999999999999996,7.641245395249068e-52,4.5176763820277826e-73,1.5604276769055038e-19,1.5604276769055045e-19,3.451713755718296e-21,6.634836479379683e-41,8.051641195480782e-40,6.548291076659855e-35,1.5404075513183161e-25,2.550648086864887e-38,2.498404990572789e-38,2.833154743318399e-39,2.678124207966391e-43,1.3471255781341333e-47,1.2638718620275598e-21,1.5222345530987485e-43,1.563355112899415e-43,2.985870900717905e-38,2.762252992439253e-64,1.0235682138134979e-41,1.7282029902573922e-40,1.1006311137095322e-41,1.217925846364993e-58,2.60122975059027e-58,3.335466325772969e-47,5.757585963420691e-42,7.680616805310666e-65,4.716990049534439e-16,2.8924200432539228e-67,2.2516340235637807e-64,3.282076229925296e-64,1.5404075513181993e-25,5.00003771545269e-42,2.0415648604324147e-62,5.2256472332319494e-58,8.152926638466975e-60,4.193951370141473e-73,5.940374565209287e-62,2.0086240124698975e-37,1.3156332098740325e-89,3.818534342326175e-58,2.9308733537262934e-74,1.0851978981351403e-77,1.9550619286088015e-67,1.853397010864986e-79,4.4997186107267644e-59,4.9533410915844534e-42,9.09174339508103e-73,5.400425764674273e-60,5.791441327727008e-63,1.2798277713255751e-38,3.458038669111614e-61,4.808507752549642e-81
5.273991343120703e-22,0.7260720385706014,8.212921107105192e-31,3.696315358852732e-27,1.3579135155251043e-36,3.538841213677168e-21,0.0,0.0,9.664798515190329e-21,7.955483897109332e-38,6.211692112044988e-52,1.421717068884587e-35,2.0235333982161377e-59,5.877470943196096e-67,7.581729069340246e-45,4.2895460028851074e-49,2.1881072319146267e-56,2.5723567582374905e-64,4.60613138080956e-92,9.943988626280845e-86,4.4191393316504435e-107,2.530803274247609e-111,1.3147581803779054e-60,3.1551972750253125e-107,1.4149187656416482e-74,1.233754094706985e-105,1.2920494736888002e-114,2.345337662308182e-118,1.8467963794894087e-127,5.8915789989387795e-123,1.0172252854288273e-77,4.684341681738408e-119,5.6610430182899646e-126,2.2910196267804077e-131,3.76,0.0,0.5819340677631477,0.9999999999999987,9.071686533240198e-51,1.2740570130031303e-71,4.369197495335409e-19,4.369197495335414e-19,9.664798516011227e-21,4.007441233546917e-40,4.863191282067113e-39,3.955167810302535e-34,4.313141143691662e-25,1.540591444466377e-37,1.509036614305964e-37,1.7112254649643113e-38,1.6175870216117117e-42,8.136638492129143e-47,3.538841213677168e-21,9.19429670071767e-43,9.442664881912517e-43,1.8034660240336133e-37,3.2793467526970806e-63,6.182352011469089e-41,1.0438346061150529e-39,6.647811926805572e-41,1.8404840053784984e-57,3.9303822329779755e-57,2.0146216615072342e-46,3.477581921906106e-41,9.118428271267567e-64,1.3207572138688986e-15,3.433881075351709e-66,2.6731399127774986e-63,3.896480900167218e-63,4.313141143690959e-25,3.020022780133436e-41,2.4237458023053494e-61,7.896805295778434e-57,1.2320552565185866e-58,1.1827335728120304e-71,7.052412683836163e-61,1.2132089035318165e-36,6.809939327501535e-88,5.770525412098616e-57,4.0620482455908767e-73,3.4120357770683656e-76,2.3210495256749291e-66,5.82737674568122e-78,6.799722235019332e-58,2.991818022259732e-41,1.0800616013172646e-71,8.160542315013507e-59,6.8755991442808374e-62,7.730159738805733e-38,4.1053835079693254e-60,1.0756439502143468e-79
1.2054837355704464e-21,0.7260720385706014,1.8782396637752974e-30,8.448720820707013e-27,6.537769044946202e-36,8.088779916976383e-21,0.0,0.0,2.2090968034720726e-20,3.830223041853297e-37,6.098676150437684e-51,6.844955689266738e-35,1.9867170897579944e-58,5.77053582495716e-66,3.6502761810664125e-44,2.0652317852724653e-48,2.3538659051959313e-55,2.525555159326624e-63,2.079427885168271e-90,1.964764582013298e-84,2.3010367223303825e-105,1.3177840571354878e-109,1.2908373779112404e-59,4.070118668784299e-105,3.077757364077216e-73,6.424132822610723e-104,1.666857629415183e-112,3.02569220546079e-116,5.53356907672703e-125,7.600739459763421e-121,2.2693736536308916e-76,6.043213453903275e-117,6.1729572527336105e-124,6.307725553377202e-129,3.76,0.0,0.5819340677631477,0.999999999999997,8.906635632703867e-50,2.7713522848405638e-70,9.986737132195211e-19,9.98673713219523e-19,2.209096803659706e-20,1.9294104482059928e-39,2.341417259640895e-38,1.9042430450926607e-33,9.85860832843986e-25,7.417284636602865e-37,7.265361712585656e-37,8.238813993569882e-38,7.787985196766437e-42,3.917441181506841e-46,8.088779916976383e-21,4.4266580804129733e-42,4.5462366683115716e-42,8.682912579287644e-37,3.219682088209917e-62,2.976536365822994e-40,5.0256142956623166e-39,3.2006352786673163e-40,1.979893032138098e-56,4.227920625058011e-56,9.699536086241673e-46,1.67430599816275e-40,8.952526948278359e-63,3.018873631696831e-15,3.371404802418713e-65,2.624504617873648e-62,3.8255880536006324e-62,9.858608328436477e-25,1.4540109676536579e-40,2.379648001319983e-60,8.4949564137445e-56,1.3253836534994526e-57,2.5726825803485575e-70,6.924100593266793e-60,5.841078628262438e-36,2.973460670223655e-86,6.207652875477736e-56,5.18873788255753e-72,7.612064093669151e-75,2.2788201962653175e-65,1.3000556956067763e-76,7.314743959180723e-57,1.4404315938468417e-40,1.0618326548279634e-70,8.778538994317344e-58,6.75050401160873e-61,3.721739159013662e-37,4.03068987271655e-59,2.1252911841153185e-78
2.5616529380871985e-21,0.7260720385706014,3.995530588115168e-30,1.7953531746018177e-26,2.855215504499245e-35,1.7188657323574812e-20,0.0,0.0,4.6943307073781434e-20,1.6727590313458308e-36,5.394209989752234e-50,2.989371982590045e-34,1.7572287670357173e-57,5.103973587935339e-65,1.5941715096128649e-43,9.019410090043611e-48,2.1636083001369334e-54,2.2338250084857546e-62,7.851524039080382e-89,3.496193596724708e-83,9.182833777941218e-104,5.258930542547362e-108,1.1417310425058285e-58,3.493198417919134e-103,5.705643445154365e-72,2.563703408897671e-102,1.4306339408807147e-110,2.5968972965123523e-114,1.0513889776720206e-122,6.523730989638444e-119,4.2502856963155616e-75,5.186781715770062e-115,5.055584504467009e-122,1.129572618870376e-126,3.76,0.0,0.5819340677631477,0.9999999999999936,7.877818352689237e-49,5.13762006803163e-69,2.1221816405914784e-18,2.122181640591487e-18,4.6943307077768645e-20,8.426242328836806e-39,1.0225584318209787e-37,8.31632966735776e-33,2.0949542697942292e-24,3.239323070318173e-36,3.1729743380274264e-36,3.5981065240143415e-37,3.4012177441174927e-41,1.7108494845302366e-45,1.7188657323574812e-20,1.9332378824372705e-41,1.985460993382329e-41,3.7920560439117135e-36,2.8477723455486938e-61,1.2999316315982624e-39,2.1948177976205016e-38,1.3978015144111015e-39,1.8198571205892796e-55,3.88611307417003e-55,4.2360422448899624e-45,7.3121341735444085e-40,7.918408701620189e-62,6.4151064673407855e-15,2.981969367797077e-64,2.321344612949264e-61,3.383689310003164e-61,2.0949542697927514e-24,6.350047898625078e-40,2.1047717085113174e-59,7.808304439266957e-55,1.2182540472992208e-56,4.76930423680966e-69,6.124288561869964e-59,2.550952495836745e-35,1.1069410956376366e-84,5.705897026035809e-55,6.710602347119673e-71,1.4256553582899453e-73,2.0155906715294902e-64,2.434860437920167e-75,6.723478408436102e-56,6.29074323192444e-40,9.416909567159e-70,8.068917237833675e-57,5.970744351254513e-60,1.625381269582331e-36,3.565099546307418e-58,3.7818421082609616e-77
5.2739913431207025e-21,0.7260720385706014,8.243695709636167e-30,3.6963153603050946e-26,1.19199626809943e-34,3.538841213677167e-20,0.0,0.0,9.66479851519025e-20,6.983439672594923e-36,4.534158521920732e-49,1.2480039568270638e-33,1.4770566596694113e-56,4.290197338138007e-64,6.6553522393440375e-43,3.765426414513115e-47,1.8510124517397829e-53,1.877664637036966e-61,2.724058429734758e-87,5.896841515278183e-82,3.263723136376879e-102,1.8691064959925118e-106,9.596937357014899e-58,2.5675804103102557e-101,9.806543279427447e-71,9.111807985848734e-101,1.0515624776151514e-108,1.9088040712790726e-112,1.6185471514784335e-120,4.795378842799874e-117,7.34131156861087e-74,3.812453630075911e-113,3.64693735119183e-120,1.6956585755921023e-124,3.76,0.0,0.5819340677631477,0.9999999999999868,6.621780999602428e-48,8.830256225211915e-68,4.369197495335378e-18,4.369197495335414e-18,9.664798516011147e-20,3.517790301389255e-38,4.268980161798183e-37,3.4719039288448245e-32,4.3131411436971294e-24,1.3523536156555528e-35,1.3246543260016777e-35,1.502138644907392e-36,1.4199414550639384e-40,7.142459817954786e-45,3.538841213677167e-20,8.070887600546239e-41,8.288908808593341e-41,1.5831087515606096e-35,2.3937242480372202e-60,5.426958670135247e-39,9.162932254287216e-38,5.835546164887897e-39,1.5569239136159624e-54,3.3246231712688807e-54,1.7684642559249843e-44,3.052672077805768e-39,6.655899633644195e-61,1.3207572138581055e-14,2.506524930770383e-63,1.951230018704747e-60,2.844194747632457e-60,4.313141143690961e-24,2.6510199967331604e-39,1.7691874430128088e-58,6.680159662479951e-54,1.0422412712329321e-55,8.197203376335625e-68,5.147833552436882e-58,1.0649724514115168e-34,3.8135741229458055e-83,4.8815129558802167e-54,9.203246534437797e-70,2.4624650943675517e-72,1.6942254326688166e-63,4.205615899479519e-74,5.7520653103212945e-55,2.6262614878090415e-39,7.957668777641643e-69,6.903100913636266e-56,5.018770391585043e-59,6.785646843557854e-36,2.9966809820336145e-57,6.378629481245376e-76
1.069866815318771e-20,0.7260720385706014,1.6794359044043198e-29,7.498239734275819e-26,4.869693693996111e-34,7.178792176316539e-20,0.0,0.0,1.9605734130814326e-19,2.8529629702805293e-35,3.7173770985899184e-48,5.09850337730959e-33,1.2109802896013871e-55,3.517362980610077e-63,2.718928548567921e-42,1.538299756881454e-46,1.5304528898530685e-52,1.5394231088079295e-60,9.072251912170737e-86,9.685579895960595e-81,1.0993119639914644e-100,6.2956668874712335e-105,7.868149068130674e-57,1.7577526110177498e-99,1.6253626304191172e-69,3.0691109301228525e-99,7.19898754106159e-107,1.3067657304308838e-110,2.265268479342256e-118,3.2832191873177496e-115,1.2197698969580945e-72,2.6100029392444936e-111,2.483448585135061e-118,2.345705583359166e-122,3.76,0.0,0.5819340677631477,0.9999999999999732,5.42893613463618e-47,1.4635502109696474e-66,8.863229204823121e-18,8.863229204823272e-18,1.9605734132479572e-19,1.4371321207983082e-37,1.744017689467204e-36,1.418386040368636e-31,8.749514891512582e-24,5.52480578207104e-35,5.411645145780153e-35,6.136726500217189e-36,5.800924159424855e-40,2.9179278895324695e-44,7.178792176316539e-20,3.2972209314081042e-40,3.386289708745188e-40,6.467515805790809e-35,1.9625197620022065e-59,2.2170896942686042e-38,3.743356804968458e-37,2.3840110175393577e-38,1.2872939522336429e-53,2.7488516337015873e-53,7.224753564770403e-44,1.2471161500208749e-38,5.456908652206478e-60,2.6792503480871044e-14,2.0550005761095966e-62,1.5997362577115586e-59,2.331842693116851e-59,8.749514891487381e-24,1.0830281693180353e-38,1.450486755584849e-57,5.523281601989318e-53,8.617449585183306e-55,1.358625399751942e-66,4.220504965482921e-57,4.350759955970101e-34,1.2655853011455483e-81,4.036128498015109e-53,1.3385333726273186e-68,4.091422582289375e-71,1.3890284111559527e-62,6.987693717291106e-73,4.755914132374205e-54,1.0729135285580417e-38,6.593335707714984e-68,5.7076065124731205e-55,4.114691188390079e-58,2.7721581457932877e-35,2.456860120910319e-56,1.0476918076770967e-74
2.1548021773321727e-20,0.7260720385706014,3.411301807831735e-29,1.5102088492473957e-25,1.9684080508206923e-33,1.4458694101595282e-19,0.0,0.0,3.948760536206193e-19,1.1532132475407338e-34,3.0104283539477494e-47,2.0608965831699215e-32,9.80683235303161e-55,2.848451735490065e-62,1.099034391258242e-41,6.2180552171079646e-46,1.2445388727849164e-51,1.2466650626062722e-59,2.9613341255923224e-84,1.5700742391355083e-79,3.6080527642352253e-99,2.0663018555241395e-103,6.371831111425976e-56,1.162979241612333e-97,2.6464816955877412e-68,1.0073149418078449e-97,4.763069311018767e-105,8.64596159850621e-109,3.0297970560237605e-116,2.17268395724707e-113,1.9885327860543347e-71,1.7268580792145398e-109,1.6502906531819042e-116,3.119831985416407e-120,3.76,0.0,0.5819340677631477,0.999999999999946,4.396493236511215e-46,2.383012117676183e-65,1.785129262379838e-17,1.7851292623798997e-17,3.9487605365415875e-19,5.809117810002167e-37,7.049598345102341e-36,5.733343155585772e-31,1.7622262387182102e-23,2.2332148311569135e-34,2.1874734926859163e-34,2.480562969202775e-35,2.3448262940376538e-39,1.1794731075501997e-43,1.4458694101595282e-19,1.3327894185080837e-39,1.3687924423892996e-39,2.6142732953815924e-34,1.5892993862186071e-58,8.961831028134772e-38,1.5131246716738493e-36,9.636553703461228e-38,1.0468057278843932e-52,2.235316107566412e-52,2.9203609400292032e-43,5.041042875101872e-38,4.419146106511473e-59,5.396236616468881e-14,1.6641927460316667e-61,1.2955078974989112e-58,1.888386669988891e-58,1.7622262387080237e-23,4.3777730216901663e-38,1.1746417810810784e-56,4.491439450911927e-52,7.007565782082273e-54,2.2121685147156907e-65,3.4178743453398292e-56,1.7586467368698323e-33,4.12372400389696e-80,3.2821123426276822e-52,2.0297766983249514e-67,6.670051429864644e-70,1.124871286210563e-61,1.1391704362015835e-71,3.8674285290099304e-53,4.336888171954683e-38,5.451457667300322e-67,4.641326548141186e-54,3.332183604985472e-57,1.120550645521357e-34,1.9896290243136235e-55,1.6983535683495295e-73
4.3246729013589766e-20,0.7260720385706014,6.96196656087058e-29,3.0309786049896965e-25,7.914882198651263e-33,2.901849795215277e-19,0.0,0.0,7.925134782455492e-19,4.637019748199875e-34,2.4230546406046247e-46,8.28677451944883e-32,7.893391852848053e-54,2.2926817664202815e-61,4.419168949958799e-41,2.500253979144716e-45,1.0037656873680967e-50,1.0034250098486327e-58,9.570520183064055e-83,2.5285561594458634e-78,1.1692114895550949e-97,6.6959801672459985e-102,5.128604016080453e-55,7.566969056995268e-96,4.2714321262578755e-67,3.2642769586869603e-96,3.099113756697742e-103,5.62553836974498e-107,3.9636029902701096e-114,1.4141957366306557e-111,3.211485761132481e-70,1.1235893281570628e-107,1.0907959052777367e-114,4.070165539992008e-118,3.76,0.0,0.5819340677631477,0.9999999999998918,3.5386802430249664e-45,3.846191165306368e-64,3.5827419461748e-17,3.582741946175047e-17,7.9251347831286275e-19,2.335820722036644e-36,2.834612489175479e-35,2.3053520667011013e-30,3.5367757378675596e-23,8.979658615719434e-34,8.795734705510247e-34,9.97423460004084e-35,9.428443399122884e-39,4.742609497972101e-43,2.9018497952152764e-19,5.3590876336601565e-39,5.503854209170489e-39,1.0511877940812049e-33,1.2792064138634054e-57,3.6035128422613344e-37,6.084207754996072e-36,3.874815861058706e-37,8.442866093252999e-52,1.8028616746396296e-51,1.174264318141546e-42,2.0269811687667663e-37,3.5569132436132044e-58,1.083020915292755e-13,1.3394871035195192e-60,1.0427374626125739e-57,1.519937877931814e-57,3.536775737826601e-23,1.7602832778767864e-37,9.454538969390677e-56,3.6225080660614054e-51,5.6518552299518485e-53,3.570448305956802e-64,2.7510026219781972e-55,7.071441180859462e-33,1.3315252628128587e-78,2.6471423790698283e-51,3.1562317969565434e-66,1.077215087507873e-68,9.053943787569299e-61,1.839763297343994e-70,3.1192204762774407e-52,1.7438437765534194e-37,4.568104164718932e-66,3.7433963027955777e-53,2.6820312588011473e-56,4.505684862004077e-34,1.6014265325811535e-54,2.7351460645038163e-72
8.664414349412583e-20,0.7260720385706014,1.4411027851684148e-28,6.072518132884995e-25,3.174221763443742e-32,5.813810565326774e-19,0.0,0.0,1.5877883274953211e-18,1.859652314805238e-33,1.9443487504338002e-45,3.32336721738598e-31,6.33394985344851e-53,1.8397327294940437e-60,1.7722844010939898e-40,1.0027147344704042e-44,8.062791871938938e-50,8.051861954719091e-58,3.0777358632856187e-81,4.058892626660702e-77,3.765050738615579e-96,2.156216249754486e-100,4.11538173603176e-54,4.882871519556234e-94,6.864076757012113e-66,1.0511575561013071e-94,1.9998211837991173e-101,3.6300957684569384e-105,5.128788931044181e-112,9.132458003310766e-110,5.162369566065978e-69,7.250399498745147e-106,7.282856116628856e-113,5.259498575737535e-116,3.76,0.0,0.5819340677631477,0.9999999999997831,2.8395680367519067e-44,6.180725948697086e-63,7.177967313764363e-17,7.177967313765354e-17,1.587788327630182e-18,9.367685817225067e-36,1.1368063891971403e-34,9.245492881379054e-30,7.085874736228044e-23,3.6012447299464445e-33,3.527483015759067e-33,4.000114183161724e-34,3.7812275004896573e-38,1.9019985331966103e-42,5.813810565326773e-19,2.1492338321884173e-38,2.2072917037748917e-38,4.215733209497105e-33,1.0264825885894434e-56,1.4451698219313316e-36,2.44003943246493e-35,1.553974465659604e-36,6.781768656899554e-51,1.4481558444166968e-50,4.709325345851263e-42,8.129101076243192e-37,2.854198871540987e-57,2.1698154224625343e-13,1.0748540426496407e-59,8.367311445402638e-57,1.219654424692109e-56,7.085874736063778e-23,7.0595232502278425e-37,7.586672096863923e-55,2.9097952538522106e-50,4.539877306340286e-52,5.737614101090536e-63,2.2075063528478355e-54,2.835964191461117e-32,4.280068610496352e-77,2.126328665609362e-50,4.97607143337189e-65,1.731591791845267e-67,7.265221393620874e-60,2.957365768128024e-69,2.505527222007937e-51,6.993594435117214e-37,3.95496808804374e-65,3.0068988061452704e-52,2.1521611768986662e-55,1.8069811513208587e-33,1.2850439380768568e-53,4.390515177009512e-71
