Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231),S(268),S(3108)
0.0,0.6352617750237284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7935849360775371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.779823874834296e-22,0.6352617750237284,5.7940173223466665e-33,6.457148028428675e-30,6.625502889417978e-38,3.474151854811501e-23,0.0,0.0,7.078675768139013e-22,2.618854181992481e-39,1.188638322288032e-53,6.054094272594026e-37,2.119543197352325e-63,1.866927341454922e-70,4.851643790508623e-49,4.2481533756691475e-54,7.07550800772361e-60,5.031904616248276e-69,3.641068773734992e-96,9.447630120055076e-93,8.798508487048657e-116,3.903266363871465e-121,7.99463567388033e-65,-1.342017731412032e-110,1.957250254101086e-78,4.699780111921774e-112,-3.36541528450673e-121,-9.454249338908222e-126,2.464165776741412e-132,-2.7305157271928887e-130,1.6226071584742583e-81,-9.312870151424844e-126,-1.0375367797388714e-134,-3.683544873065392e-137,3.76,0.0,0.7935849360775371,0.9999999999999994,6.933926170595411e-52,3.3206067701415123e-75,1.781419571187599e-20,1.7814195711876007e-20,7.07867576819677e-22,1.996775501388504e-41,2.4245327847488126e-40,1.831859702315991e-35,1.5703432622639357e-27,4.613622541546184e-38,1.46677453523215e-38,1.5157997757336697e-40,6.328227309340133e-45,1.659540048663235e-49,3.474151854811501e-23,1.4638197351812314e-45,1.0070900038341735e-45,1.5226405448064094e-38,3.028248648285104e-65,2.2024327124930474e-43,4.095225444224353e-42,6.938696239443828e-43,1.2660148226926088e-59,3.664335957131082e-59,4.523779224720464e-50,1.819100556866764e-43,1.7609187882009472e-67,4.8218253738957635e-16,1.0804074228356356e-70,9.486943217646216e-67,1.4552380152136034e-66,1.5703432622604386e-27,6.518501368856831e-44,1.0684547092202163e-64,4.2929150090857423e-60,4.158854455598521e-62,1.7682254771558833e-74,1.0236391998810066e-63,5.164309813052511e-38,2.951401749658189e-90,1.4821505716650388e-59,1.2430663542450748e-75,1.2712176915706457e-79,1.0831850679171574e-69,7.604844979505048e-81,1.5824574639724113e-60,1.378604684350803e-42,5.174304478130258e-75,2.0740806943491084e-62,8.124982243620876e-65,3.540742326146659e-39,2.8647445949969586e-64,2.6082361185395955e-85,1.5386453206739729e-90,2.1139017003917263e-87,1.9306866167971717e-85,1.4408530609964188e-105
1.898350684953603e-21,0.6352617750237284,1.6282605703961862e-32,1.808001452911647e-29,4.001803745208826e-37,9.727625193472202e-23,0.0,0.0,1.9820292150789228e-21,1.5817879259234578e-38,1.4111514162203485e-52,3.656672940647454e-36,2.5163216838966284e-62,2.2164161397751328e-69,2.93039284946715e-48,2.565898081241593e-53,1.0692507698800458e-58,5.973905863804631e-68,2.2150398192056521e-94,2.1133970673360324e-91,4.2032245334195556e-114,1.864700573550751e-119,9.491231475022207e-64,4.003262354153863e-109,5.519758875374968e-77,4.6769845122202625e-110,1.0039491503102175e-119,2.8203768536260936e-124,4.030744394225562e-131,8.152852531335885e-129,5.1017365233731705e-80,2.7781666359458747e-124,3.644067768189249e-132,1.459756419936016e-135,3.76,0.0,0.7935849360775371,0.9999999999999987,8.231957149731565e-51,9.364642386794493e-74,4.9879747993252696e-20,4.9879747993252816e-20,1.9820292150950942e-21,1.206052402843039e-40,1.4644178019841464e-39,1.1064432601988494e-34,4.3969611343503535e-27,2.7866280150938678e-37,8.859318192802174e-38,9.155430645431346e-40,3.8222492948420044e-44,1.002362189483237e-48,9.727625193472202e-23,8.841471200499408e-45,6.082823623159495e-45,9.196748890630696e-38,3.595136795541483e-64,1.3302693583873642e-42,2.4735161683067905e-41,4.190972528624069e-42,1.913201085371907e-58,5.537514219116579e-58,2.73236272904512e-49,1.0987367363475331e-42,2.0905627853557777e-66,1.3501111046879443e-15,1.2826596923917423e-69,1.1262898988024793e-65,1.7276585716615814e-65,4.39696113432923e-27,3.937174826789542e-43,1.2684694307862442e-63,6.48744123268717e-59,6.284855863257556e-61,4.98666992969797e-73,1.2152644581223041e-62,3.1192431270837095e-37,1.5277278924867607e-88,2.2398237618647645e-58,3.4933336056890473e-74,3.996911814372456e-78,1.285957318597185e-68,2.3910849390760472e-79,2.391401332303982e-59,8.32677231105615e-42,6.364067202554054e-74,3.134192382712104e-61,9.645978919639641e-64,2.1386083649921573e-38,3.401024783180424e-63,5.834519867728379e-84,3.4418880365348985e-89,4.755570238439868e-86,5.444579824018273e-84,5.978670840718223e-104
4.33908727989395e-21,0.6352617750237283,3.7497211272757037e-32,4.132574772855678e-29,1.9266962402433022e-36,2.2234571870793604e-22,0.0,0.0,4.53035249160896e-21,7.615627961234121e-38,1.385476828458923e-51,1.7605306144713382e-35,2.4705395508337116e-61,2.176090509199391e-68,1.410858014279821e-47,1.2353827810839446e-52,1.1502511854486651e-57,5.865275360462335e-67,9.999748555076363e-93,4.175716467191818e-90,2.1886314317459175e-112,9.709644720317621e-118,9.318547350577522e-63,5.164492430656038e-107,1.2006681219155084e-75,4.080360812313262e-108,1.295182841442386e-117,3.6385621979708235e-122,1.207734804257649e-128,1.0522340817557607e-126,1.138169353750625e-78,3.584142306162157e-122,6.497623978017851e-130,4.019058944080401e-133,3.76,0.0,0.7935849360775371,0.9999999999999969,8.082184344448171e-50,2.0370142683451292e-72,1.140108525560059e-19,1.1401085255600648e-19,4.5303524916459245e-21,5.806623158103514e-40,7.050541337987504e-39,5.327048014334771e-34,1.0050196878568523e-26,1.341641435081589e-36,4.265380348455076e-37,4.407945747833488e-39,1.8402485015569417e-43,4.8259424628464357e-48,2.2234571870793604e-22,4.2567877899140444e-44,2.928617731151371e-44,4.427838704297016e-37,3.529726625346069e-63,6.404674328553234e-42,1.1908915591733628e-40,2.0177728664302616e-41,2.0581342461076538e-57,5.956994682183288e-57,1.3155151123106816e-48,5.289944419368668e-42,2.0525269395378785e-65,3.0859682392732026e-15,1.2593228920609838e-68,1.105798101459366e-64,1.696225430532952e-64,1.0050196878466817e-26,1.8955801980635918e-42,1.2453908090670954e-62,6.978889132729096e-58,6.76095942551668e-60,1.084708956477447e-71,1.1931538514517517e-61,1.5017812936356611e-36,6.670653586781257e-87,2.4094994428540873e-57,7.588081250345227e-73,8.916890386323553e-77,1.2625605332714514e-67,5.334378965679882e-78,2.572557540134069e-58,4.0089824484580874e-41,6.70404533635157e-73,3.3715666283141945e-60,9.470479303203847e-63,1.0296478684428122e-37,3.3391462999285625e-62,1.1528028057944233e-82,6.800590752453081e-88,9.419951250327851e-85,1.184294743106788e-82,2.371245000315659e-102
9.220560469774644e-21,0.6352617750237284,8.087613763260649e-32,8.781721491969623e-29,8.414388669566554e-36,4.72484652254364e-22,0.0,0.0,9.626999044669019e-21,3.325944811130438e-37,1.2254385647460532e-50,7.688699726204701e-35,2.1851642547420207e-60,1.924727411945388e-67,6.161587613945059e-47,5.395357382328181e-52,1.0572790102247049e-56,5.18787415613205e-66,3.7757147862463947e-91,7.430464345695967e-89,8.734416216142878e-111,3.875008689238978e-116,8.242149613288172e-62,4.4325700269701055e-105,2.225836346469947e-74,3.014823422727106e-106,1.1116321527042067e-115,3.122963044859317e-120,2.294719822508068e-126,9.03926380037577e-125,2.131665235933326e-77,3.0763148543096434e-120,9.383753898627883e-128,7.197236000682508e-131,3.76,0.0,0.7935849360775371,0.9999999999999934,7.148600524841574e-49,3.776281150470981e-71,2.422730616815113e-19,2.4227306168151378e-19,9.626999044747561e-21,2.535904886831334e-39,3.079156636566881e-38,2.326461821941174e-33,2.13566683671862e-26,5.859300627763227e-36,1.8628036597448147e-36,1.925065715181737e-38,8.036848682870478e-43,2.1076158631684275e-47,4.72484652254364e-22,1.8590510636873592e-43,1.2790043048710324e-43,1.933753491904117e-36,3.1220032283193956e-62,2.797089545510404e-41,5.200936314091775e-40,8.812144224093625e-41,1.891779893259002e-56,5.475500634623869e-56,5.745200780626823e-48,2.3102577072209106e-41,1.8154368339061495e-64,6.557682508397807e-15,1.1138568366543792e-67,9.780658979882355e-64,1.5002921841645648e-63,2.135666836674202e-26,8.27849673844844e-42,1.1015340670176973e-61,6.414799981244661e-57,6.214485900151076e-59,2.0108670986195528e-70,1.0553310696551415e-60,6.558673462576595e-36,2.4833164421867902e-85,2.2147448359169317e-56,1.4058505110086458e-71,1.670034884096836e-75,1.1167205153315798e-66,9.990701435560667e-77,2.364622545495578e-57,1.7508279763703365e-40,6.734904587400471e-72,3.0990308414509956e-59,8.376531693965267e-62,4.496742754199683e-37,2.953437087658289e-61,2.0513509988936598e-81,1.2101287889821205e-86,1.678170382875961e-83,2.1954679032036795e-81,8.4728801714823e-101
1.898350684953603e-20,0.6352617750237284,1.7143285124134164e-31,1.8080015247101061e-28,3.5128416319745626e-35,9.727625193472202e-22,0.0,0.0,1.9820292150789065e-20,1.388516487292402e-36,1.0300549518816222e-49,3.2098807833386136e-34,1.8367622221337647e-59,1.6178493632655975e-66,2.572341537726869e-46,2.252552487351741e-51,9.045244527836547e-56,4.360896365100583e-65,1.3099708589641521e-89,1.2532564178526821e-87,3.1044637702459616e-109,1.3773412152812165e-114,6.928023395033224e-61,3.2580767160341846e-103,3.825643975883603e-73,2.0667432071003492e-104,8.17085788255312e-114,2.295553520367735e-118,3.532576730003198e-124,6.656077604909386e-123,3.6819215873750134e-76,2.26135323046154e-118,1.26070320920428e-125,1.0804134899006296e-128,3.76,0.0,0.7935849360775371,0.9999999999999865,6.008829476627469e-48,6.490462453565676e-70,4.987974799325181e-19,4.987974799325286e-19,1.9820292150950756e-20,1.0586903708973249e-38,1.2854872824161203e-37,9.712520141678168e-33,4.39696113451469e-26,2.4461426715274034e-35,7.776838585800722e-36,8.036770410939706e-38,3.3552261194197667e-42,8.798881350255748e-47,9.727625193472202e-22,7.761172235995382e-43,5.3395912003434094e-43,8.073040168563374e-36,2.6242318300274296e-61,1.1677298247436246e-40,2.1712885304619137e-39,3.678896746153085e-40,1.6184575029925051e-55,4.684404630576585e-55,2.3985087892375015e-47,9.64487115250866e-41,1.5259840471949164e-63,1.350111104646337e-14,9.362637861245325e-67,8.221233201713391e-63,1.261085980175771e-62,4.3969611343292517e-26,3.4561094257681287e-41,9.259057557349336e-61,5.487995870820773e-56,5.316623287440582e-58,3.456166381344792e-69,8.870693526525561e-60,2.738117062880356e-35,8.555400689982173e-84,1.894760731642634e-55,2.4156152271036043e-70,2.8845699538413448e-74,9.386709170676162e-66,1.7256452217950242e-75,2.0229839722565684e-56,7.309362281631304e-40,7.013509878811735e-71,2.6512785918383667e-58,7.040979612753854e-61,1.8773015813170423e-36,2.482541830111251e-60,3.459903291399659e-80,2.0410590787607965e-85,2.832058835325676e-82,3.7734368950550335e-80,2.8644399505844327e-99
3.8509399609058803e-20,0.6352617750237284,3.6774172201495503e-31,3.6676604024978127e-28,1.4351104278638534e-34,1.9733182535329322e-21,0.0,0.0,4.020687836302886e-20,5.6725429123628984e-36,8.4450128285144e-49,1.3113410358287973e-33,1.5058886422040053e-58,1.3264106543450062e-65,1.0508854515986507e-45,9.203204234991575e-51,7.478783093447953e-55,3.575614074667289e-64,4.362749895246032e-88,2.0584774296196885e-86,1.0457466352727529e-107,4.6399543495778066e-113,5.680012182781919e-60,2.2304744574693422e-101,6.340724330528757e-72,1.3679006475636766e-102,5.593762174129348e-112,1.5716353361531645e-116,4.944085017523928e-122,4.573061265946343e-121,6.117567785240055e-75,1.548341920322407e-116,1.647898711375254e-123,1.494600382869942e-126,3.76,0.0,0.7935849360775371,0.9999999999999726,4.92640144313216e-47,1.0757465528720133e-68,1.011846316434516e-18,1.0118463164345586e-18,4.0206878363356817e-20,4.325095607545209e-38,5.251634992588788e-37,3.9678813896034995e-32,8.919549730396968e-26,9.993290969887454e-35,3.177092314294132e-35,3.283282946229978e-37,1.3707193481187554e-41,3.5946301373510784e-46,1.9733182535329322e-21,3.17069209924645e-42,2.1813972319173252e-42,3.2981003256722975e-35,2.1515038066470376e-60,4.770557357477505e-40,8.870422120650287e-39,1.5029493602484637e-39,1.3381719517939342e-54,3.8731557724889867e-54,9.798695575314048e-47,3.940244570196596e-40,1.251093917998737e-62,2.738796812185991e-14,7.67605618552411e-66,6.740263685096931e-62,1.0339144781537292e-61,8.919549729639393e-26,1.4119334705000663e-40,7.591134794210547e-60,4.537580891397925e-55,4.3958868545931786e-57,5.728342013963298e-68,7.272730500074735e-59,1.1186101627463544e-34,2.8392254090973766e-82,1.5666247733886262e-54,4.003157856146598e-69,4.792756120643472e-73,7.69579189724103e-65,2.8671853452196703e-74,1.6726421128272822e-55,2.9861130980967155e-39,7.967046565314085e-70,2.1921254628905017e-57,5.772620484735564e-60,7.66938950807662e-36,2.03533778118537e-59,5.682901545563808e-79,3.352445665782078e-84,4.652942282131512e-81,6.254185915444479e-79,9.420318881665648e-98
7.756118512810434e-20,0.6352617750237283,8.211412377867394e-31,7.386978665118898e-28,5.800945803860011e-34,3.974429721904356e-21,0.0,0.0,8.098005078750732e-20,2.292932541335075e-35,6.83899034027388e-48,5.3006501322456565e-33,1.2195076652555453e-57,1.0741617374045866e-64,4.2478470174866586e-45,3.720722819925266e-50,6.081622207087281e-54,2.8960910177901635e-63,1.4240742288327997e-86,3.336880619238266e-85,3.432755396700761e-106,1.5233322726576937e-111,4.599821178447936e-59,1.4757491612370409e-99,1.0324225846718056e-70,8.901137556456133e-101,3.7010033418991186e-110,1.0399759377805375e-114,6.612714727372383e-120,3.0472635602633416e-119,9.973179484397952e-74,1.024723209978717e-114,2.129733621373805e-121,1.987846264078545e-124,3.76,0.0,0.7935849360775371,0.9999999999999448,3.989527614242829e-46,1.7515743922527235e-67,2.037943989438449e-18,2.0379439894386207e-18,8.09800507881676e-20,1.7482727971155133e-37,2.1227948302193996e-36,1.6038810986425153e-31,1.796472692332208e-25,4.039447989003011e-34,1.2842315107733448e-34,1.3271554620439162e-36,5.5406667642911e-41,1.453006979027535e-45,3.974429721904356e-21,1.2816444415432392e-41,8.817556386871524e-42,1.3331448837240165e-34,1.7423435689545223e-59,1.9283355605959654e-39,3.585566446781212e-38,6.075161615052343e-39,1.0881792036120447e-53,3.1495857275206325e-53,3.960793103181917e-46,1.5927098543643297e-39,1.0131682916531974e-61,5.516168226971465e-14,6.216269314430455e-65,5.458440285885081e-61,8.372907504518069e-61,1.7964726920259833e-25,5.707260836501516e-40,6.147497769812596e-59,3.689885334821824e-54,3.574662148377636e-56,9.327119756447295e-67,5.889645720957643e-58,4.521601128197911e-34,9.251202384041019e-81,1.2739532318088153e-53,6.517666425287914e-68,7.813402105839472e-72,6.232252773876469e-64,4.674235752924324e-73,1.3601647258639222e-54,1.2070347449462448e-38,1.0042330869936342e-68,1.7825988546022902e-56,4.674817734041699e-59,3.1000898621318533e-35,1.6482693048999913e-58,9.212228298213458e-78,5.434458890926101e-83,7.54364783957776e-80,1.0183313335457774e-77,3.055887704867091e-96
1.5566475616619544e-19,0.6352617750237284,1.9710673662284227e-30,1.4825617218543756e-27,2.3325347942602588e-33,7.976652658647204e-21,0.0,0.0,1.6252639563645966e-19,9.219780901871181e-35,5.504614404564513e-47,2.131368105096136e-32,9.81565863765361e-57,8.64578816218276e-64,1.7080406030191923e-44,1.496601377746882e-49,4.905048631903353e-53,2.3317762035201683e-62,4.6023618311484696e-85,5.373943367019119e-84,1.1127354772304338e-104,4.939383928048048e-110,3.702336337999386e-58,9.602030236200266e-98,1.6663342140695245e-69,5.7439451049078806e-99,2.4080754702776785e-108,6.768398718831644e-113,8.650802474873988e-118,2.0108067043477723e-117,1.6106711507245928e-72,6.67122401816752e-113,2.73862708641597e-119,2.593365091836185e-122,3.76,0.0,0.7935849360775371,0.9999999999998893,3.211118905019711e-45,2.8270481309077845e-66,4.090139335446062e-18,4.0901393354467524e-18,1.6252639563778386e-19,7.0297280271120884e-37,8.535664646760104e-36,6.449135356384674e-31,3.6055081313814516e-25,1.6242442702393363e-33,5.16383842226543e-34,5.3364337424602205e-36,2.227877737205371e-40,5.842477191834584e-45,7.976652658647204e-21,5.153435930857987e-41,3.545500642180638e-41,5.3605169436115755e-34,1.4023896925321881e-58,7.753752494393774e-39,1.4417404981690395e-37,2.4427957658809766e-38,8.776559482044034e-53,2.5402549021492453e-52,1.5926204491779266e-45,6.404216274477782e-39,8.154859848644113e-61,1.1070911055367078e-13,5.0033943477786244e-64,4.393427616548652e-60,6.739244386124049e-60,3.605508130150135e-25,2.2948644809128635e-39,4.948041025364884e-58,2.976026162872042e-53,2.8830945090854557e-55,1.5054008701912277e-65,4.740499269821565e-57,1.818115926923911e-33,2.98715715150759e-79,1.0274894271883583e-52,1.051918889975809e-66,1.2618665271748166e-70,5.016260785397438e-63,7.548903226489194e-72,1.0970221021963797e-53,4.853434320597214e-38,1.386257794809703e-67,1.4377300915161788e-55,3.762700012645891e-58,1.2465324988558168e-34,1.326670532773139e-57,1.4836009677105166e-76,8.752028508811275e-82,1.2149637237511531e-78,1.643590309670891e-76,9.845639750379763e-95
3.118718982423776e-19,0.6352617750237284,5.243428010703318e-30,2.9702902438124238e-27,9.354507776786333e-33,1.5981098532132903e-20,0.0,0.0,3.2561908533434596e-19,3.6975445064295863e-34,4.417106391155684e-46,8.547739379331305e-32,7.8764478881061595e-56,6.937700507366715e-63,6.850006757919887e-44,6.006172416811134e-49,3.9400018091295284e-52,1.8723075208732868e-61,1.4800505920711897e-83,8.62636925310239e-83,3.585315185536424e-103,1.5924513486388475e-108,2.9708918717245594e-57,6.196075058685624e-96,2.6777543480506245e-68,3.691284210802838e-97,1.5539024107671003e-106,4.3698199807982856e-111,1.1193891035390963e-115,1.3338016706707136e-115,2.5891068334049403e-71,4.3097831023165425e-111,3.513319674159236e-117,3.351165910398199e-120,3.76,0.0,0.7935849360775371,0.9999999999997782,2.5767206921037063e-44,4.542990452211319e-65,8.19453002746028e-18,8.194530027463049e-18,3.2561908533699517e-19,2.8192353525394993e-36,3.423183288964589e-35,2.586391722536203e-30,7.223579011336824e-25,6.513945984656375e-33,2.0709301656464475e-33,2.1401486085587524e-35,8.934786169039272e-40,2.3430946929640563e-44,1.598109853213289e-20,2.066758301476342e-40,1.4219043339397032e-40,2.1498070493679495e-33,1.1253294213136419e-57,3.10960155855599e-38,5.782024230351833e-37,9.796703588291845e-38,7.049809859740501e-52,2.040470847027202e-51,6.387144080660336e-45,2.5683771616417267e-38,6.543761454889247e-60,2.2180396707456967e-13,4.014908861831569e-63,3.5254489753113246e-59,5.407819197074505e-59,7.223579006398694e-25,9.203432971691548e-39,3.970491306117682e-57,2.3905060433262108e-52,2.3158582932791162e-54,2.4191387697274617e-64,3.8039521274408493e-56,7.291458039186116e-33,9.601949679720582e-78,8.25335382640371e-52,1.6903773260639684e-65,2.0284135882690776e-69,4.02523586960169e-62,1.2134641462388114e-70,8.8118780130662e-53,1.946444797963763e-37,2.0399388746106355e-66,1.1548628116130023e-54,3.01932979412094e-57,4.999152845563316e-34,1.0645695517601665e-56,2.3815081212293904e-75,1.4048944038602737e-80,1.9503519643250902e-77,2.6412050501981697e-75,3.1613391494179767e-93
