Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57)
0.0,0.10760789761450508,3.76,0.0,0.7702538212665151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9446065458088933e-22,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999997,2.1339819449654372e-52,0.0,1.4411954741578394e-38,9.262684405812278e-21,9.262684405812262e-21,4.675910064569748e-22,1.7840212101124304e-40,2.1726616854257726e-39,1.1029830277140693e-33,1.3351119878301875e-35,3.293366525788299e-24,4.49637833016001e-50,4.675910064558854e-22,3.504441025764778e-42,1.683322360787737e-30,2.2191127638840674e-37,1.4417656455441986e-38,3.0727595783836964e-52,1.074865484226839e-45,1.0991695511819786e-50,3.293366525788299e-24,5.550482055665485e-47,1.4655160716564227e-39,1.3952760420563548e-65,3.4422334758795957e-38,1.7948018829092857e-39,2.771305341690279e-55,4.3333472090556683e-47,1.0083073599672998e-43,7.457618693405323e-41,3.9370039348126427e-16,1.9129913538012273e-42,5.200451698110489e-69,1.9521849401939408e-51,3.8788041009059127e-59,1.1639074719250313e-58,6.429541677519562e-44,2.1731776610161956e-74,2.2206551890134798e-67,2.3532990115350727e-65,3.0577611040215e-67,1.5172422103948147e-70,2.394922548357043e-82,1.4113972892323502e-44,8.307271062085812e-65,2.1865902497015866e-60,2.0943951100180687e-61,1.5272795633744547e-75,5.5055463675749256e-64,2.032702691320434e-63,1.4181793425714663e-57,9.773594072801606e-91,3.3619150267502217e-65,6.466705015125881e-58,4.068050606689907e-78,4.3826658780506085e-86,1.7515843716832745e-74,1.3944981039440445e-65
5.444898328264901e-22,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999989,2.533463365064009e-51,0.0,8.704820663917261e-38,2.5935516336274375e-20,2.5935516336274294e-20,1.3092548180795283e-21,1.0775488109212135e-39,1.3122876579910346e-38,3.1316123826484324e-33,8.064076406494296e-35,9.221426272207238e-24,5.3381003535624544e-49,1.3092548180764784e-21,2.1166824017729148e-41,4.7133027265014616e-30,1.3403441093859663e-36,8.708264499087237e-38,1.855946792824773e-51,6.492187524740673e-45,6.638984092093369e-50,9.221426272207238e-24,3.3524911616330488e-46,8.851717072801908e-39,1.656471717804214e-64,2.0791090194312715e-37,1.0840603372772076e-38,3.2900937016546935e-54,2.6173417142743574e-46,6.090176454549715e-43,4.504401690816806e-40,1.1023611017448004e-15,1.155446777692336e-41,6.173976256399634e-68,1.1791221184241755e-50,5.861648748528224e-58,1.7588969699535266e-57,3.8834431732218575e-43,6.128708707047802e-73,2.636361840406073e-66,2.7938365864944598e-64,3.630173982694358e-66,1.801269952187998e-69,5.357356045221304e-81,8.524839626930553e-44,9.862392204908191e-64,2.5959199444457155e-59,3.165047912958863e-60,4.307170160293885e-74,8.319599529432957e-63,3.0718195790264477e-62,1.6836625155002893e-56,5.05909080762179e-89,3.9912656948572474e-64,7.677272193935197e-57,9.10006648513394e-77,1.2359271439278892e-84,2.079994482961233e-73,1.655548149002389e-64
1.2445481893176918e-21,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999974,2.487369355054944e-50,0.0,4.1909964388568615e-37,5.928118019719857e-20,5.928118019719819e-20,2.992582441324629e-21,5.1879336792065313e-39,6.318100181126168e-38,7.361910712713308e-33,3.882505660610128e-34,2.1077545765045114e-23,5.2409785816236266e-48,2.992582441317662e-21,1.0190914836088801e-40,1.0773263923112101e-29,6.453179917374718e-36,4.192654497242943e-37,8.935584964017663e-51,3.1257088281471953e-44,3.196385059184117e-49,2.1077545765045114e-23,1.6140801818038493e-45,4.2617207363725487e-38,1.6263337566745358e-63,1.0010014947857801e-36,5.219283875500195e-38,3.23023350627417e-53,1.2601373684003533e-45,2.932157803305745e-42,2.1686755160422545e-39,2.519682518260915e-15,5.562978856799895e-41,6.061646500522641e-67,5.676989334418926e-50,6.305694238320351e-57,1.8921410966592988e-56,1.869710719822751e-42,1.3331280111102133e-71,2.588395688341819e-65,2.743005327845346e-63,3.564126342847561e-65,1.7684975204578302e-68,1.0585241685039145e-79,4.104343317038413e-43,9.682955149966952e-63,2.5486895950521446e-58,3.4048134346874913e-59,9.369033929404092e-73,8.949713978270422e-62,3.304523077328119e-61,1.653029841699578e-55,2.208996559761438e-87,3.918648403819219e-63,7.5375913655617565e-56,1.7980197882237161e-75,2.688369621650973e-83,2.043181513463087e-72,1.625426989957238e-63
2.644664902300095e-21,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999946,2.2000500259883506e-49,0.0,1.8303182521865156e-36,1.2597250791904696e-19,1.2597250791904526e-19,6.359237687814809e-21,2.2657069370490227e-38,2.7592803403956867e-37,1.6514665853627625e-32,1.6955922245442795e-33,4.4789784750720866e-23,4.635586203238915e-47,6.359237687800019e-21,4.450640446991591e-40,2.289318817706615e-29,2.818273210132609e-35,1.8310423698415618e-36,3.902404777296963e-50,1.3650791649840106e-43,1.395945334453544e-48,4.4789784750720866e-23,7.049112210862395e-45,1.8612054109991847e-37,1.4384737925925097e-62,4.371636514367024e-36,2.279398391294785e-37,2.8571049550689724e-52,5.5033509555720374e-45,1.2805503476966694e-41,9.471175740624625e-39,5.354325351249312e-15,2.4294990192716834e-40,5.361457685178936e-66,2.479311264719477e-49,5.796019379373614e-56,1.7392036548321934e-55,8.165517930450483e-42,2.471394657014631e-70,2.289406673722689e-64,2.4261571489323344e-62,3.1524293878022154e-64,1.5642160292733303e-67,1.883587930952257e-78,1.792474557274182e-42,8.564464174167425e-62,2.2542870838322975e-57,3.1296098974580056e-58,1.7368608465309556e-71,8.226281364160488e-61,3.0374259364077384e-60,1.4620861750138616e-54,8.223539619905771e-86,3.4660001663645867e-62,6.666914202249342e-55,3.199480145304403e-74,4.983753332985436e-82,1.8089901903322062e-71,1.437671765242277e-62
5.4448983282649015e-21,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999889,1.8492746098082357e-48,0.0,7.641218404039404e-36,2.5935516336274377e-19,2.593551633627367e-19,1.3092548180795081e-20,9.45888045787223e-38,1.1519452255272044e-36,3.7588810058594293e-32,7.078763759475131e-33,9.221426272207237e-23,3.89648951882193e-46,1.3092548180764697e-20,1.8580549417037778e-39,4.7133044127905324e-29,1.1765735874111928e-34,7.644241452679208e-36,1.6291772295062512e-49,5.6989367975134205e-43,5.82779700026992e-48,9.221426272207237e-23,2.942865586063716e-44,7.770166211882108e-37,1.2091239013496212e-61,1.8250721889113058e-35,9.516039583184967e-37,2.40156886822326e-51,2.297540690305249e-44,5.346045627390412e-41,3.954029431243381e-38,1.1023611017050782e-14,1.0142680157351229e-39,4.506628238853593e-65,1.0350810689225662e-48,4.958616605813656e-55,1.48792534316093e-54,3.4089429974214445e-41,4.2476959711063307e-69,1.9243842564194504e-63,2.039331270612354e-61,2.649806848567745e-63,1.3148178237332782e-66,3.1769469505321386e-77,7.483228427051797e-42,7.198948186065546e-61,1.8948641249473093e-56,2.6774470627565846e-57,2.985219913742525e-70,7.037738708233165e-60,2.59858180274076e-59,1.2289715273963887e-53,2.833133976306746e-84,2.913381994080306e-61,5.603943098565072e-54,5.396390910867914e-73,8.56577492232094e-81,1.523621942121339e-70,1.2084497449084715e-61
1.1045365180194514e-20,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999776,1.5161470535975217e-47,0.0,3.1216870448910244e-35,5.261204742501373e-19,5.261204742501082e-19,2.6559169166755272e-20,3.864261303523447e-37,4.7060721163754e-36,9.081163416107772e-32,2.8919059701192575e-32,1.8706321866477538e-22,3.19457752347469e-45,2.6559169166693892e-20,7.590762062787418e-39,9.561278580130797e-29,4.806687011082265e-34,3.1229220588778316e-35,6.6557210109283746e-49,2.3282016335752884e-42,2.380845248357036e-47,1.8706321866477536e-22,1.2022566153119998e-43,3.1743664318166046e-36,9.913128332817709e-61,7.456015398093768e-35,3.887612670456774e-36,1.9689512548488824e-50,9.38620338924312e-44,2.1840340780846444e-40,1.6153500394662649e-37,2.2362182347952428e-14,4.1436157915618386e-39,3.6948061131584706e-64,4.228786226313391e-48,4.099880099766639e-54,1.2302454473503468e-53,1.392664445517931e-40,7.040244560632836e-68,1.5777264799027493e-62,1.6719669868539086e-60,2.1724717490427383e-62,1.0779670899138927e-65,5.2181453864099265e-76,3.0571429839809625e-41,5.902132665065177e-60,1.5535240925001113e-55,2.2137649714336285e-56,4.94778299389414e-69,5.818931347845088e-59,2.1485576725995065e-58,1.0075851094859867e-52,9.40213854677636e-83,2.388566582668804e-60,4.594451127953486e-53,8.863588275325783e-72,1.4197125161890853e-79,1.254168826846473e-69,9.907601123344914e-61
2.2246298884053737e-20,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999549,1.2278151927876952e-46,0.0,1.2618358150459344e-34,1.059651096024924e-18,1.059651096024807e-18,5.3492411138674284e-20,1.561996203764219e-36,1.902269592755419e-35,2.4155542513622917e-31,1.1689546307203824e-31,3.7676113055018137e-22,2.5870517034661637e-44,5.349241113855167e-20,3.0683084891349096e-38,1.9257238823501048e-28,1.9429397421921985e-33,1.2623350274276286e-34,2.690349204908035e-48,9.410963250829309e-42,9.623757299030795e-47,3.767611305501813e-22,4.8597134639144e-43,1.28312966547861e-35,8.027908448704637e-60,3.0138406353390404e-34,1.5714351989774152e-35,1.594507774685103e-49,3.794053482638158e-43,8.828214957781138e-40,6.529503131772808e-37,4.5039325006950544e-14,1.6749157534877255e-38,2.992149791128845e-63,1.7094580572726835e-47,3.333954407979701e-53,1.0004151663742324e-52,5.629372356672873e-40,1.1463213202525584e-66,1.2776838088931029e-61,1.3540022146261006e-59,1.75932394750906e-61,8.729656977104057e-65,8.458838923209422e-75,1.2357460734737465e-40,4.779700055291275e-59,1.2580840879385134e-54,1.800196894933466e-55,8.056181907251557e-68,4.731855520248513e-58,1.7471714116550442e-57,8.159685450604677e-52,3.0635499307810934e-81,1.9343231483140369e-59,3.720705642231715e-52,1.4368258551854999e-70,2.311632323530617e-78,1.0237751132843905e-68,8.023432261593536e-60
4.464816629177219e-20,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999999095,9.882524846914236e-46,0.0,5.073786314899753e-34,2.126712339574498e-18,2.126712339574027e-18,1.0735889508250671e-19,6.280718041534458e-36,7.648942365176695e-35,7.202355781671438e-31,4.70031515763275e-31,7.561569543209934e-22,2.082284279265987e-43,1.0735889508226473e-19,1.2337542311882437e-37,3.8649206945000428e-28,7.812475249756556e-33,5.075793625786046e-34,1.0817778693727001e-47,3.784106932643282e-41,3.869670596320576e-46,7.56156954320993e-22,1.9540694104688678e-42,5.159407950681966e-35,6.461559308164709e-59,1.2118520641170015e-33,6.318671820857104e-35,1.2833985761076902e-48,1.5255722186967404e-42,3.5497864204218235e-39,2.6254844914874423e-36,9.039361031372601e-14,6.734762577870608e-38,2.4083424733124646e-62,6.874580892546851e-47,2.688955010802102e-52,8.068710742046827e-52,2.2635458657406947e-39,1.850167232486872e-65,1.028391085612252e-60,1.089818777862075e-58,1.416056970680401e-60,7.026387400001149e-64,1.3622699624877572e-73,4.968880610046134e-40,3.847118429003027e-58,1.0126155248147158e-53,1.4519240065831914e-54,1.3002710023235597e-66,3.816411781147792e-57,1.409157036999255e-56,6.567624727086666e-51,9.892017041165203e-80,1.5569115528081765e-58,2.9947475943402796e-51,2.3139637447754842e-69,3.730982717082837e-77,8.370892319722637e-68,6.457956306966719e-59
8.945190110720909e-20,0.10760789761450508,3.76,0.0,0.7702538212665151,0.9999999999998188,7.930103810426528e-45,0.0,2.034815243038799e-33,4.260834826673647e-18,4.260834826671757e-18,2.1509186297014928e-19,2.5188488508764673e-35,3.0675679937901805e-34,2.3863661685504048e-30,1.885036604943148e-30,1.5149486018626175e-21,1.6709019962749615e-42,2.1509186296968102e-19,4.9479133565337706e-37,7.743333372703472e-28,3.133151996645005e-32,2.035620264367601e-33,4.338415392464518e-47,1.5175961286338922e-40,1.5519110751704757e-45,1.5149486018626156e-21,7.83669231829543e-42,2.069153348292152e-34,5.184994693104008e-58,4.860068791191023e-33,2.534070009668041e-34,1.0298465317070459e-47,6.118226927280386e-42,1.4236231337345247e-38,1.0529367087501381e-35,1.81102180882394e-13,2.7009410121955606e-37,1.9325431791934056e-61,2.757756525377117e-46,2.1599148963114328e-51,6.481227263311782e-51,9.07783131726576e-39,2.9731690734900056e-64,8.252190807740741e-60,8.74510934845944e-58,1.1362965388194063e-59,5.638233385024024e-63,2.186745012024211e-72,1.9927433621988167e-39,3.087070256215324e-57,8.125601863652628e-53,1.1662643187909124e-53,2.08950058961449e-65,3.0655490415712136e-56,1.1319115645154873e-55,5.270105228687394e-50,3.1797004793648535e-78,1.2493234705191906e-57,2.403096340874596e-50,3.714424275621736e-68,5.995588127728967e-76,6.926806141687381e-67,5.1821032284669614e-58
