Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097)
0.0,0.08374386065951002,3.76,0.0,0.505558308121845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4696146480062926e-23,0.08374386065951002,3.76,0.0,0.505558308121845,0.9999999999999996,7.923326952402577e-53,0.0,3.17704163579794e-38,3.1773844450191776e-19,3.1773844450191766e-19,6.063164747586069e-21,1.4592534147921006e-39,1.7022264519863855e-38,6.321439194201539e-31,1.0385300505236418e-34,1.0270902298960662e-21,5.546220410952759e-50,6.063164746954028e-21,2.4993454340296414e-40,8.265522631909045e-27,1.4162913625272206e-37,3.214174463612016e-38,2.4966234264848845e-47,7.434670193968063e-43,1.3512468753883276e-47,1.0270902298960662e-21,1.1275441481260932e-43,1.7165077390142718e-38,8.77930707549535e-64,6.870607787500735e-38,2.518125054952112e-38,1.2107414849032663e-54,1.6538292057045607e-43,5.225376001561429e-41,8.073510167710006e-39,3.162274466406823e-16,8.705933045425059e-40,9.981440269245062e-65,7.894867566770966e-47,2.3607057549433105e-57,4.300141288284282e-57
4.11492101441762e-23,0.08374386065951002,3.76,0.0,0.505558308121845,0.9999999999999991,9.406573757898017e-52,0.0,1.918933148023213e-37,8.896676446053698e-19,8.896676446053692e-19,1.6976861293240987e-20,8.813890625348588e-39,1.0281447769996177e-37,1.770339627345439e-30,6.272721505162789e-34,2.875852643708985e-21,6.58447287188311e-49,1.6976861291471277e-20,1.5096046424773498e-39,2.314346336962532e-26,8.554399829664355e-37,1.941361376021762e-37,1.5079605497352865e-46,4.490540797156762e-42,8.161531128032828e-47,2.875852643708985e-21,6.810366654683579e-43,1.0367706743645144e-37,1.0422793360831394e-62,4.149847103650441e-37,1.5209475331910757e-37,1.437392290877157e-53,9.98912840245587e-43,3.1561271049549557e-40,4.876400141296842e-38,8.854368505936936e-16,5.2583835594355154e-39,1.1849965887652733e-63,4.7685000250163284e-46,3.5674932056673826e-56,6.498364114139932e-56
9.405533747240273e-23,0.08374386065951002,3.76,0.0,0.505558308121845,0.999999999999998,9.235429895737986e-51,0.0,9.238837076919267e-37,2.0335260448122737e-18,2.0335260448122706e-18,3.88042543845508e-20,4.24350893022188e-38,4.95007452237402e-37,4.0480776550720445e-30,3.0200453869227388e-33,6.573377471334823e-21,6.464674511006514e-48,3.8804254380505747e-20,7.268096527009899e-39,5.289934484617783e-26,4.11857528222907e-36,9.346819340185301e-37,7.260180926254745e-46,2.1620020924059908e-41,3.929425914640616e-46,6.573377471334823e-21,3.278898382753588e-42,4.9916045050519205e-37,1.0233160329641733e-61,1.9979727446052093e-36,7.322707659800737e-37,1.4112402748032443e-52,4.8093353301893366e-42,1.519539341271843e-39,2.347776756770065e-37,2.023855658498848e-15,2.531685329607776e-38,1.1634366777847139e-62,2.2958275100273766e-45,3.8377445613880806e-55,6.990640340522492e-55
1.998675921288558e-22,0.08374386065951002,3.76,0.0,0.505558308121845,0.9999999999999957,8.168633154885751e-50,0.0,4.03484287748287e-36,4.321242845226082e-18,4.3212428452260685e-18,8.245904056717031e-20,1.8532518367926343e-37,2.16182759402024e-36,8.608940158029392e-30,1.3189331641650128e-32,1.39684271265865e-20,5.717931394875807e-47,8.245904055857458e-20,3.17416870623107e-38,1.1241110780376277e-25,1.798690030409479e-35,4.08200156878887e-36,3.1707117537219416e-45,9.442031146340239e-41,1.716083532779083e-45,1.39684271265865e-20,1.4319810681231194e-41,2.1799648285464896e-36,9.051114427639897e-61,8.72567189012588e-36,3.198018819789174e-36,1.2482260412758646e-51,2.1003630912452776e-41,6.636227522166739e-39,1.025335791299166e-36,4.3006932743056836e-15,1.1056534967670905e-37,1.0290465660012237e-61,1.0026482031148165e-44,3.5275477718765546e-54,6.425601681235168e-54
4.1149210144176193e-22,0.08374386065951002,3.76,0.0,0.505558308121845,0.9999999999999911,6.866228363787536e-49,0.0,1.6844674753176056e-35,8.896676446053697e-18,8.896676446053642e-18,1.6976861293240888e-19,7.736961605287721e-37,9.025204648409594e-36,1.775221095396064e-29,5.506286327876238e-32,2.8758526437089854e-20,4.806265868604996e-46,1.6976861291471182e-19,1.325152953634599e-37,2.3143463373685207e-25,7.509176804118498e-35,1.7041553006085387e-35,1.3237097425919015e-44,3.941862136842584e-40,7.164310942592797e-45,2.8758526437089854e-20,5.978239073391265e-41,9.10092403223895e-36,7.608007051900032e-60,3.6427962489328433e-35,1.3351099041356017e-35,1.0492091989533998e-50,8.768602448649929e-41,2.7704943561932197e-38,4.280575090919802e-36,8.854368505905465e-15,4.6158857006673385e-37,8.649756434340041e-61,4.185858982276862e-44,3.0178911326916883e-53,5.497237072939244e-53
8.347411200675742e-22,0.08374386065951002,3.76,0.0,0.505558308121845,0.999999999999982,5.629348852736275e-48,0.0,6.881599264952255e-35,1.8047543647708927e-17,1.8047543647708706e-17,3.443877576628843e-19,3.160801266627086e-36,3.6870905840417767e-35,3.612493570588934e-29,2.249497630636135e-31,5.833872505809655e-20,3.9404671414351083e-45,3.4438775762698465e-19,5.413682222127868e-37,4.694816856747088e-25,3.0677437428877626e-34,6.962030455174426e-35,5.40778622250004e-44,1.6103793026948636e-39,2.9268547898102547e-44,5.833872505809655e-20,2.4423057266296186e-40,3.71802442300201e-35,6.237503845626296e-59,1.488201129203771e-34,5.454359594028401e-35,8.602050918517635e-50,3.582260212727977e-40,1.1318373435822083e-37,1.7487545963666216e-35,1.796171896904946e-14,1.8857399213568318e-36,7.091592921193413e-60,1.7100600620433843e-43,2.4952506495743483e-52,4.545221743077194e-52
1.6812391573191988e-21,0.08374386065951002,3.76,0.0,0.505558308121845,0.9999999999999638,4.558792651765884e-47,0.0,2.7816524502617564e-34,3.634927805101939e-17,3.6349278051018475e-17,6.936260471238283e-19,1.2776464088561852e-35,1.4903809655682996e-34,7.321511785001151e-29,9.09282908675796e-31,1.1749912230010997e-19,3.191092454643739e-44,6.936260470515238e-19,2.18829692749826e-36,9.455757898371345e-25,1.2400310698774083e-33,2.8141640232766533e-34,2.1859136607927766e-43,6.509410618993325e-39,1.1830815056983233e-43,1.1749912230010997e-19,9.87219023822057e-40,1.5028849178682162e-34,5.051292345438881e-58,6.015546907130378e-34,2.2047393556131523e-34,6.966163857046171e-49,1.4480068533992314e-39,4.575067508566688e-37,7.06874568031786e-35,3.6176419895115185e-14,7.62246226593723e-36,5.74295580962532e-59,6.912336885673012e-43,2.0290963489098107e-51,3.6960987671283804e-51
3.374235231822448e-21,0.08374386065951002,3.76,0.0,0.505558308121845,0.9999999999999274,3.669312932291353e-46,0.0,1.1184902161482786e-33,7.295274685764031e-17,7.295274685763666e-17,1.3921026260456886e-18,5.137360017251157e-35,5.9927563131506225e-34,1.4877441269931465e-28,3.6561865840698735e-30,2.358199167841368e-19,2.5684688262663e-43,1.3921026259005756e-18,8.799045829206124e-36,1.897763999308834e-24,4.9861103934269186e-33,1.131562976620641e-33,8.789462743112143e-43,2.6174053804712663e-38,4.757118726935812e-43,2.358199167841367e-19,3.9695642753942406e-39,6.043034155426153e-34,4.0657195531068294e-57,2.418824954020529e-33,8.86515998096062e-34,5.606974714709169e-48,5.822371871875572e-39,1.8396145237877674e-36,2.8423115485827357e-34,7.260582174635762e-14,3.0649585522778824e-35,4.622430461579286e-58,2.779420822944578e-42,1.6365396988459322e-50,2.9810375285332377e-50
6.760227380828947e-21,0.08374386065951002,3.76,0.0,0.5055583081218449,0.9999999999998546,2.944392543152517e-45,0.0,4.4856460241313207e-33,1.4615968447088212e-16,1.4615968447086748e-16,2.789055783889298e-18,2.060311141097526e-34,2.4033633140997526e-33,3.0540872464215377e-28,1.4662943471535206e-29,4.724615057521904e-19,2.0610344765617672e-42,2.7890557835985737e-18,3.5288110275486674e-35,3.802140422839627e-24,1.999653277000251e-32,4.538073640192881e-33,3.52496772086001e-42,1.0496966238874827e-37,1.9078173979618216e-42,4.724615057521901e-19,1.5919728175954653e-38,2.4235269776008358e-33,3.262483924989312e-56,9.700569911523507e-33,3.555325656336162e-33,4.499244093620255e-47,2.3350315325787134e-38,7.377677031872535e-36,1.13989405647268e-33,1.4546462544528624e-13,1.2291854630462538e-34,3.709209335122591e-57,1.1146725140321005e-41,1.3145576787321533e-49,2.394531447715476e-49
