Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47)
0.0,0.8789597992489876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8032740437059436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.501977444319399e-23,0.8789597992489876,8.146168129790062e-30,6.759667511242144e-26,1.0791401246631577e-36,2.872749392819354e-20,0.0,0.0,1.814152784493777e-20,1.2852859135177098e-37,3.363676214423154e-52,1.1985754674197152e-35,4.22480929940295e-58,1.898129480299818e-64,7.406450239184855e-43,1.3903758886382447e-46,2.0683824365577716e-55,1.4569628189854492e-62,1.509666318449691e-91,9.942570928299776e-118,3.5158575705136634e-103,1.1166214526354824e-106,6.57861162785605e-59,-1.1562773002086689e-106,7.963158679301517e-74,7.951742169582588e-103,-1.2010853046891411e-111,-7.2340105723149605e-115,3.425108289203446e-125,-1.6919319925926162e-119,4.70849775816482e-77,-5.795207183803076e-116,1.0390932208262018e-122,-2.8658451970924622e-129,3.76,0.0,0.8032740437059436,0.9999999999999996,2.7923036666025295e-51,8.778698561665915e-71,1.4589093177181916e-18,1.4589093177181912e-18,1.8141527853083632e-20,3.079207174403954e-40,3.529620669205111e-39,3.1003606623802073e-34,7.210463687021818e-24,2.3154524813045398e-38,6.641652101347777e-38,4.809412602917712e-38,1.033965524078533e-41,8.52855327616416e-46,2.872749392819354e-20,1.3068083442493983e-41,1.9168051892674577e-41,9.134363250744222e-38,3.067113720300921e-63,2.5464885908449023e-40,3.6909469172627035e-39,2.4962786586526694e-40,1.9457197643893384e-57,3.155300785497731e-57,1.3383846464004738e-44,2.0764904088388498e-40,1.8593640136285572e-62,4.636763320014935e-16,2.632874566595048e-64,3.526676236794833e-62,8.194321308852209e-62,7.210463687021856e-24,3.6302059660088232e-40,4.540668824190719e-60,4.766738106977693e-56,1.0616494684776473e-57,1.0210593909808234e-71,3.641695227856655e-60,1.0235402375488331e-36,8.20650954725147e-89,1.2580749201229848e-56,2.562773879661701e-71,8.90488739170136e-76,2.8961692867876645e-65,5.663693578419322e-78,1.1078440860970803e-57,2.4947237946624605e-41,1.090161657507033e-70,7.373040546520025e-58,3.995251715218251e-61
2.100553684409432e-22,0.8789597992489874,2.2810276157547434e-29,1.8927069031511403e-25,6.518006352965719e-36,8.043698299894191e-20,0.0,0.0,5.0796277965825734e-20,7.763126917646967e-37,3.9933564017631677e-51,7.2393958232154e-35,5.015693600251165e-57,2.2534593190119298e-63,4.473495944467639e-42,8.397870368505348e-46,3.125739213946464e-54,1.7297062589685526e-61,9.18403595753543e-90,7.685046897317369e-116,1.6795673524587703e-101,5.334234678473226e-105,7.810127724591192e-58,3.438774102806591e-105,2.2457379334434056e-72,3.798642723024784e-101,3.583002883679517e-110,2.1580049852913762e-113,5.602606517523579e-124,5.04728101812211e-118,1.480426938813207e-75,1.7287908020837034e-114,8.020818374614541e-121,1.1357099077083915e-127,3.76,0.0,0.8032740437059436,0.9999999999999987,3.3150229129906442e-50,2.4757332059058225e-69,4.084946089610936e-18,4.0849460896109384e-18,5.079627798863414e-20,1.859841133340092e-39,2.131890884199399e-38,1.872617840077641e-33,2.0189298323660958e-23,1.3985332987079297e-37,4.011557869214059e-37,2.9048852121622977e-37,6.245151765434346e-41,5.151246178845339e-45,8.043698299894191e-20,7.89312239926682e-41,1.1577503343175376e-40,5.517155403449511e-37,3.6412774087683456e-62,1.538079108872613e-39,2.229331938026409e-38,1.507752309826212e-39,2.9381788349463245e-56,4.75346178243639e-56,8.08384326437703e-44,1.2542002069386675e-39,2.207436956980073e-61,1.2982937296039088e-15,3.1257486854619476e-63,4.186870028324526e-61,9.72829825786896e-61,2.0189298323661202e-23,2.1926444034693358e-39,5.390682028079161e-59,7.2021103701453e-55,1.604194655826318e-56,2.8790177914393795e-70,4.323420574514341e-59,6.182183034794946e-36,4.247154507658821e-87,1.9011227178095265e-55,3.045798950355935e-70,2.7998387087026513e-74,3.438332181683844e-64,1.7807558801522797e-76,1.6733816422328879e-56,1.506813173425807e-40,1.2942700061361994e-69,1.1141083130324106e-56,4.7431628363081553e-60
4.8012655643644155e-22,0.8789597992489874,5.214251378960322e-29,4.326187207218349e-25,3.138139482520828e-35,1.8385596114043868e-19,0.0,0.0,1.1610577820760158e-19,3.7376114365094956e-36,3.9207009955316186e-50,3.4854574592570073e-34,4.924437719384022e-56,2.2124597222374244e-62,2.1537957295549372e-41,4.0432130858232404e-45,3.362527499128145e-53,1.6982358626278508e-60,4.1461130841605995e-88,8.367616032992368e-114,8.745472385368937e-100,2.777524939440139e-103,7.668029713430487e-57,4.431782149196574e-103,4.884970363950213e-71,1.9779454104997162e-99,4.622389046883173e-108,2.7840163496631396e-111,1.6787128619613134e-121,6.511445686622776e-116,3.302751004247658e-74,2.2302921537276816e-112,8.740568382271599e-119,3.126881072538176e-125,3.76,0.0,0.8032740437059436,0.999999999999997,3.25470915379227e-49,5.385260301215929e-68,9.337019633396422e-18,9.337019633396431e-18,1.1610577825973508e-19,8.954334463168242e-39,1.0264136906041137e-37,9.015848806201572e-33,4.6146967596938733e-23,6.733335815633416e-37,1.9313924310719333e-36,1.3985771849284689e-36,3.00677174402038e-40,2.480103292770609e-44,1.8385596114043868e-19,3.8001986650779235e-40,5.574069490389662e-40,2.6562728333164177e-36,3.575027752465172e-61,7.405188822211352e-39,1.0733273635395971e-37,7.259178339361955e-39,3.1600038269141376e-55,5.10845253522548e-55,3.8920225519064516e-43,6.0384341089034e-39,2.1672746942861988e-60,2.967528524807646e-15,3.0688785948241093e-62,4.1106938216131315e-60,9.551300917596928e-60,4.614696759693988e-23,1.0556638949153742e-38,5.292603581476498e-58,7.747225160641953e-54,1.7256608781841064e-55,6.262084728609795e-69,4.2447599575984285e-58,2.9764550107919967e-35,1.8543493930634195e-85,2.0451134920434654e-54,2.997130964765308e-69,6.246285910317883e-73,3.375774934195669e-63,3.9727684093755953e-75,1.7998748501249272e-55,7.254656816623641e-40,1.2707839788780889e-68,1.198470539978744e-55,4.656865399261569e-59
1.0202689324274382e-21,0.8789597992489874,1.1082307535987893e-28,9.193147815406198e-25,1.3705079583225864e-34,3.9069391742343223e-19,0.0,0.0,2.467247786911528e-19,1.6323131101674857e-35,3.46781563002167e-49,1.522190843623528e-33,4.355609395312344e-55,1.956895569009807e-61,9.40619180376457e-41,1.7657773802741642e-44,3.090742043722651e-52,1.5020703895644141e-59,1.5654934511573897e-86,6.84285763369087e-112,3.490088453722286e-98,1.1084372917262699e-101,6.782285443857539e-56,3.802330112524204e-101,9.055911652288662e-70,7.893461058064529e-98,3.9673133690117e-106,2.3894711535857477e-109,3.1895872408483316e-119,5.588673130657595e-114,6.185687066395432e-73,1.914219606661441e-110,7.150201832868635e-117,5.599544790257241e-123,3.76,0.0,0.8032740437059436,0.9999999999999937,2.8787533881212904e-48,9.983364867943744e-67,1.9841166720967376e-17,1.9841166720967416e-17,2.4672477880193643e-19,3.9105931114946155e-38,4.482618249882917e-37,3.9374580412227874e-32,9.806230614349225e-23,2.9406246512565716e-36,8.434898168711666e-36,6.107954005705471e-36,1.3131362155797434e-39,1.083126266136426e-43,3.9069391742343223e-19,1.6596465971974264e-39,2.434342590369562e-39,1.1600641328445124e-35,3.1620715612529515e-60,3.234040510408546e-38,4.687502584919528e-37,3.1702738964888795e-38,2.9043143211434624e-54,4.693697724366166e-54,1.6997485011066946e-42,2.637142819225363e-38,1.916929923492057e-59,6.305998115210748e-15,2.7143883631787388e-61,3.6358621330965028e-59,8.448017496571729e-59,9.806230614349725e-23,4.6103615768312916e-38,4.68124793098723e-57,7.120861930813862e-53,1.586158437816875e-54,1.1608549116902104e-67,3.754442112129116e-57,1.299896101687007e-34,6.903093324247858e-84,1.8798016465244957e-53,2.662849942627234e-68,1.1698602053802964e-71,2.985834716165824e-62,7.440555555962483e-74,1.654296213804988e-54,3.168299241691369e-39,1.1241036025099798e-67,1.1015877314539033e-54,4.11894470832801e-58
2.100553684409432e-21,0.8789597992489876,2.282485437250869e-28,1.8927069031995627e-24,5.721600940967441e-34,8.043698299894193e-19,0.0,0.0,5.079627796582532e-19,6.814585913470834e-35,2.9149079885996244e-48,6.354847128263731e-33,3.661152141913581e-54,1.644888637555967e-60,3.9268999168156306e-40,7.371772976827723e-44,2.6441948742738705e-51,1.2625806706040494e-58,5.431424089736616e-85,4.9241221332853985e-110,1.2404321007268706e-96,3.939559749975073e-100,5.700919578919538e-55,2.7944114035363768e-99,1.5564798237608277e-68,2.8054597998243207e-96,2.916104343366896e-104,1.7563390050216988e-107,4.910168712374758e-117,4.1078805987618384e-112,1.0684236102974589e-71,1.4070136530091066e-108,5.146297321527289e-115,8.4057597637481e-121,3.76,0.0,0.8032740437059436,0.999999999999987,2.4197656806204274e-47,1.7158853340043067e-65,4.0849460896109213e-17,4.084946089610938e-17,5.079627798863376e-19,1.6325956438704088e-37,1.8714048788057326e-36,1.6438112231939163e-31,2.0189298323659111e-22,1.227652905587492e-35,3.5214039441345796e-35,2.549950562066948e-35,5.4820852086644366e-39,4.521838947592022e-43,8.043698299894193e-19,6.928697841216502e-39,1.0162901113495064e-38,4.843039395544549e-35,2.6579116765030443e-59,1.350148250897934e-37,1.9569400555289886e-36,1.3235269448176348e-37,2.4845976565768505e-53,4.014851300757997e-53,7.096115396811387e-42,1.1009552147663784e-37,1.6112951043891026e-58,1.2982937295999465e-14,2.2816069734216434e-60,3.056161200005543e-58,7.101067737105752e-58,2.0189298323661194e-22,1.924735203177954e-37,3.934870952341696e-56,6.091981404304171e-52,1.356983844097462e-53,1.9951899130083755e-66,3.155834817369404e-56,5.426810339483809e-34,2.378191899646784e-82,1.608206072004666e-52,2.2583079966161818e-67,2.0206425682437066e-70,2.509774016393478e-61,1.2851709387436554e-72,1.4152475205369427e-53,1.3227025761530755e-38,9.450608233912254e-67,9.424264708098607e-54,3.462221212392609e-57
4.261123188373419e-21,0.8789597992489876,4.633568613541289e-28,3.839491146602938e-24,2.337460675628246e-33,1.6317216551213933e-18,0.0,0.0,1.0304387815924472e-18,2.783980700115846e-34,2.3898176803767484e-47,2.596162405453526e-32,3.0016337234360796e-53,1.3485790850538058e-59,1.604266747608243e-39,3.0116098027259795e-43,2.1862714497310576e-50,1.0351399183684547e-57,1.8088910029510296e-83,3.337499490485299e-108,4.17811694972606e-95,1.3269522279876683e-98,4.6739583058563563e-54,1.9129181015693325e-97,2.579751153427835e-67,9.44956199216167e-95,1.996362481554671e-102,1.2023881478539561e-105,6.872120051372198e-115,2.812284443989353e-110,1.775201805572471e-70,9.632403141714204e-107,3.488801707195236e-113,1.1628188495414225e-118,3.76,0.0,0.8032740437059436,0.9999999999999737,1.9838701010584105e-46,2.8439540956290933e-64,8.286604924639262e-17,8.286604924639333e-17,1.030438782055133e-18,6.6696859080580624e-37,7.64529955426732e-36,6.715505209141435e-31,4.0955433742275605e-22,5.015362692603399e-35,1.438608411760323e-34,1.0417380074423686e-34,2.2396106837751116e-38,1.8473187543116813e-42,1.6317216551213933e-18,2.8305991459832016e-38,4.151876712160037e-38,1.978539617564169e-34,2.179116576928342e-58,5.515796147584346e-37,7.994738660636409e-36,5.407039425787938e-37,2.0542725747510313e-52,3.3192806929023894e-52,2.8989946808378323e-41,4.497761285161471e-37,1.3210370769304385e-57,2.6336815657506957e-14,1.8705992457011828e-59,2.5056255972635028e-57,5.821884359317117e-57,4.0955433742284115e-22,7.86317133061439e-37,3.2260449416185152e-55,5.0369422677946067e-51,1.1219773192593822e-52,3.306862862268049e-65,2.587344050816554e-55,2.2170290961401852e-33,7.892307209387895e-81,1.3296943890910746e-51,1.8843186564518308e-66,3.357327838245617e-69,2.057664417758991e-60,2.1353307360797206e-71,1.1701392706465998e-52,5.403671699412405e-38,7.751196046961407e-66,7.792144657911189e-53,2.8385381285249033e-56
8.582262196301394e-21,0.8789597992489876,9.346030202067169e-28,7.733059633751646e-24,9.448389778709299e-33,3.286425305385341e-18,0.0,0.0,2.075390785460805e-18,1.1253295110085581e-33,1.9353363177765352e-46,1.0494103533514612e-31,2.4308008118478325e-52,1.092114307350237e-58,6.484702694016557e-39,1.2173408391458724e-42,1.7778396318571512e-49,8.382831480760008e-57,5.904521526238418e-82,2.1974861604006864e-106,1.3712998233498526e-93,4.355190112385755e-97,3.785092616642692e-53,1.2656024634805446e-95,4.200455990473572e-66,3.1014413472201134e-93,1.3208541897784793e-100,7.955366036022801e-104,9.191461948064481e-113,1.8607366326416483e-108,2.894026978852526e-69,6.373091154526679e-105,2.2978535025857872e-111,1.5465706607315706e-116,3.76,0.0,0.8032740437059435,0.9999999999999469,1.6065894431447812e-45,4.630641991088528e-63,1.6689922594695832e-16,1.6689922594696125e-16,2.075390786392695e-18,2.6959936831450003e-36,3.090352317633715e-35,2.7145145772251784e-30,8.24877045794955e-22,2.027289789100002e-34,5.8150852140307465e-34,4.210871585659233e-34,9.052864466759486e-38,7.467157767794991e-42,3.286425305385341e-18,1.1441734321951748e-37,1.6782549498520454e-37,7.997573475462327e-34,1.7647051018487807e-57,2.2295729929597057e-36,3.231601191489779e-35,2.185611787025952e-36,1.6704841965679376e-51,2.699074759525074e-51,1.1718200014947974e-40,1.818067024478174e-36,1.0698100751013844e-56,5.304457238024214e-14,1.5148597677342355e-58,2.0291205714213356e-56,4.714712896713517e-56,8.248770457952993e-22,3.178419573127617e-36,2.612534834584895e-54,4.0959476093484643e-50,9.123720709388116e-52,5.3843545864033906e-64,2.0952982938217647e-54,8.961586079053315e-33,2.571586323671882e-79,1.0812848044671872e-50,1.5791251721904703e-65,5.4732917140588895e-68,1.6663500668747323e-59,3.481128029460329e-70,9.515319882097993e-52,2.1842505698128073e-37,6.282004726110332e-65,6.3364348543840834e-52,2.2987217705671433e-55
1.722454021215734e-20,0.8789597992489877,1.881213432289909e-27,1.55201966094169e-23,3.799155974500704e-32,6.595832605913236e-18,0.0,0.0,4.165294793197403e-18,4.524900469975265e-33,1.5577270390008193e-45,4.219632876094659e-31,1.9565199682658e-51,8.790286063525017e-58,2.607470432504959e-38,4.8948740169240374e-42,1.43389206880699e-48,6.747232135861455e-56,1.9082393311772662e-80,1.4263836425904805e-104,4.443778660887792e-92,1.4113252772176232e-95,3.046571833502058e-52,8.234567627069025e-94,6.779552898773246e-65,1.0050408258090677e-91,8.594200755696959e-99,5.176196872010137e-102,1.2024338702744893e-110,1.2107539406283066e-106,4.673861299586924e-68,4.1466821685427716e-103,1.492440614153578e-109,2.0176723082245357e-114,3.76,0.0,0.8032740437059432,0.9999999999998935,1.2931229539686508e-44,7.4738748376578555e-62,3.349655793480854e-16,3.349655793480972e-16,4.165294795067709e-18,1.0840472025856937e-35,1.242617075037823e-34,1.0914943726332057e-29,1.6555224625388289e-21,8.151643078521942e-34,2.338220188887811e-33,1.693172944507459e-33,3.6401169861397386e-37,3.0025112982938275e-41,6.595832605913235e-18,4.600671048298661e-37,6.74818934101798e-37,3.215789119877283e-33,1.4203881925497924e-56,8.965014945418914e-36,1.2994126259891199e-34,8.788248868932452e-36,1.3472995996604437e-50,2.1768581449167034e-50,4.711836692022518e-40,7.310367543934623e-36,8.610762198210876e-56,1.0646008582459334e-13,1.2192909309016379e-57,1.6332127654231276e-55,3.794811110016334e-55,1.6555224625402133e-21,1.2780285311576944e-35,2.1027953202659334e-53,3.3035260787256296e-49,7.358606302168222e-51,8.690358597231821e-63,1.686478353773608e-53,3.6034143478995647e-32,8.303485140291203e-78,8.720951324398005e-50,1.3565833070557335e-64,8.839380731682134e-67,1.3412236202255745e-58,5.62203106614266e-69,7.674426995580991e-51,8.782776050459705e-37,5.064167847470142e-64,5.110561171197525e-51,1.8502112652539413e-54
3.4509096243869235e-20,0.8789597992489877,3.7909066339683514e-27,3.109447056621877e-23,1.5236314671865255e-31,1.321464720696902e-17,0.0,0.0,8.345102808670134e-18,1.814687469579873e-32,1.2499778465757048e-44,1.6922615110171114e-30,1.5699840572087813e-50,7.053650973092966e-57,1.0457122653995391e-37,1.9630634441191486e-41,1.1517800876827956e-47,5.414228975996275e-55,6.136611716790784e-79,9.19334252744277e-103,1.4309675565103774e-90,4.544692407866058e-94,2.444682030013382e-51,5.313625211146484e-92,1.0894559502466899e-63,3.2363936175830304e-90,5.545735352844534e-97,3.340138214794086e-100,1.5559150435313307e-108,7.813583703056496e-105,7.51309553251975e-67,2.675804634744032e-101,9.630617696419045e-108,2.607251356934439e-112,3.76,0.0,0.8032740437059429,0.9999999999997867,1.037649732525693e-43,1.2010316218302741e-60,6.710982861503222e-16,6.710982861503694e-16,8.345102812417296e-18,4.3475141343630104e-35,4.983450244816453e-34,4.377380617047454e-29,3.3168132960244816e-21,3.269173465630984e-33,9.377308751979683e-33,6.790380797582827e-33,1.4598497196535779e-36,1.2041413225123774e-40,1.321464720696902e-17,1.845074860423755e-36,2.7063257458910154e-36,1.2896752667544453e-32,1.1397720727333073e-55,3.595371963936966e-35,5.211225806633487e-34,3.524480860479257e-35,1.0822217458617095e-49,1.7485535205401358e-49,1.8896572591796658e-39,2.9317843492980017e-35,6.909594377305844e-55,2.1329111270881903e-13,9.784041838005114e-57,1.3105503881741084e-54,3.0450969269150757e-54,3.316813296030034e-21,5.125466022175476e-35,1.6873608150868964e-52,2.6535701826921144e-48,5.910830773777748e-50,1.3965163858332548e-61,1.3532926683253535e-52,1.4451303201532853e-31,2.6690793024624072e-76,7.005141433627187e-49,1.225894628966228e-63,1.4209046357065222e-65,1.0762476760498334e-57,9.037250741095803e-68,6.164507859363455e-50,3.522286477556827e-36,4.076296309736255e-63,4.1050794235456657e-50,1.4846780181745402e-53
