Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49)
1.5922915761684463e-16,0.7650197358591015,4.8474674543900414e-23,1.1118835213916456e-21,1.5329090971651848e-26,2.7973172456806686e-32,0.0,0.0,4.1282496121029e-15,1.257612220246368e-26,1.5273059838501783e-42,7.286180620254356e-32,6.070950545593163e-43,1.8890628666047095e-50,1.0188824747022988e-33,1.3197752624466385e-73,2.356831492834654e-75,4.746880372259095e-67,5.107008228796589e-80,1.6981250476679296e-94,4.6654401627844465e-114,7.647205635885665e-106,4.3740537544071374e-76,6.573811979530051e-112,3.3019235441862203e-88,2.984634150206115e-101,4.926886965710024e-117,1.270202907758929e-132,5.9177797337389e-161,8.730953451206659e-160,2.8769621691429964e-92,4.566525862756073e-128,8.198632242024026e-127,3.06878212467111e-127,3.76,0.0,0.8690755604527536,0.9999999999999959,3.5683278332473516e-35,4.725741505610408e-99,2.2551123238859308e-13,2.255112324366862e-13,4.128249612479018e-15,8.089259694285356e-29,9.63422362335377e-28,4.8089877055415186e-23,1.3501194993543659e-31,1.6331521204783708e-26,1.531865604842129e-26,2.1899956191408474e-27
3.1859665507523298e-16,0.7650197358591322,1.9328634900104396e-22,2.2247330773303783e-21,6.135633275569071e-26,2.229623192493555e-31,0.0,0.0,8.260085887585328e-15,5.033726312796488e-26,1.222773451218348e-41,5.833374796706241e-31,4.8604518165292736e-42,1.5123989129038098e-49,4.07818517020498e-33,8.418015253448263e-72,1.5032743853216487e-73,1.5208770627450366e-65,3.2742376260495644e-78,1.0887127382015493e-92,2.325091284046291e-111,9.808300939772308e-104,2.7899335827437414e-74,3.357509028182121e-109,4.2120669853002726e-86,3.828090295119615e-99,2.516357882273142e-114,1.2976367519845464e-129,4.79991203726102e-157,3.699083742932471e-156,3.6887083913085973e-90,4.1339936436168656e-125,8.37471885956743e-124,3.135061654240081e-124,3.76,0.0,0.8690755604525238,0.9999999999999918,2.8568328363976557e-34,1.2062112147544653e-96,4.5121839103387804e-13,4.5121839122637586e-13,8.260085888352109e-15,3.237812628280145e-28,3.856199914269068e-27,1.9248483373146077e-22,8.321000143328018e-31,6.536864570897318e-26,6.131454576437204e-26,8.765689768963112e-27
6.373316499920098e-16,0.7650197358591936,7.719198062807939e-22,4.450432247327531e-21,2.4550541224024667e-25,1.7804027199813325e-30,0.0,0.0,1.6523758438387827e-14,2.0141461981565512e-25,9.7859038153078e-41,4.66847270426008e-30,3.889838615297501e-41,1.2103787608619218e-48,1.6318052659245275e-32,5.3783669488845304e-70,9.604593288731448e-72,4.8698093402987255e-64,2.097354651147007e-76,6.973888202829554e-91,1.174108453850879e-108,1.2567362547198368e-101,1.7825209139821264e-72,1.7169108641846313e-106,5.382204186241902e-84,4.904928099928483e-97,1.2867755179488275e-111,1.3272054395871822e-126,3.912422130596027e-153,1.6198552022260025e-152,4.725516811957974e-88,3.9545900929128125e-122,8.565054178646938e-121,3.2064988848824546e-121,3.76,0.0,0.8690755604520641,0.9999999999999836,2.286335917412251e-33,3.083300443208692e-94,9.026327080351752e-13,9.02632708805417e-13,1.65237584399786e-14,1.2955472990202487e-27,1.542982029965093e-26,7.701900554177956e-22,5.6638467547296215e-30,2.615597271772883e-25,2.453380489589039e-25,3.5074176908344463e-26
1.2748016398255634e-15,0.7650197358593163,3.085227147220486e-21,8.901830820651337e-21,9.821827998388286e-25,1.4230031206308706e-29,0.0,0.0,3.30511035393434e-14,8.0578963244445255e-25,7.830209789037326e-40,3.7354874439661e-29,3.1124618491853855e-40,9.684868781555418e-48,6.528283548457587e-32,3.439218233621826e-68,6.141695571421798e-70,1.5588195923828586e-62,1.3428968759657347e-74,4.465249877889874e-89,5.969541163984125e-106,1.6094380644172953e-99,1.1398403746161253e-70,8.785108387211464e-104,6.883297494562264e-82,6.281494618206342e-95,6.584181929098958e-109,1.358248994732492e-123,3.1969945209552065e-149,7.50109835441507e-149,6.051203621833084e-86,3.9065777016959513e-119,8.765140654833009e-118,3.2814992946180585e-118,3.76,0.0,0.8690755604511448,0.999999999999967,1.829418346276991e-32,7.887348220592302e-92,1.8054613408806781e-12,1.805461343962147e-12,3.305110354275282e-14,5.183036831135765e-27,6.17293101678615e-26,3.0812617183959624e-21,4.133701704894599e-29,1.0464092080707407e-24,9.815119504355883e-25,1.403195465083556e-25
2.54974161949267e-15,0.7650197358595617,1.2336003477967362e-20,1.780462890742309e-20,3.9290612492620566e-24,1.1378747251685821e-28,0.0,0.0,6.610579373865679e-14,3.223420853969033e-24,6.264762488487737e-39,2.988673669295785e-28,2.4902058327241243e-39,7.748630229119864e-47,2.611525881651352e-31,2.2001591850103966e-66,3.9290056909350724e-68,4.988991728887779e-61,8.596427948130392e-73,2.8583876296669264e-87,3.0456713843036307e-103,2.06060281393649e-97,7.291864660797583e-69,4.4965766490717864e-101,8.80682632682969e-80,8.042359006197493e-93,3.3700474930084735e-106,1.3904317896736246e-120,2.6156744438085572e-145,3.783744928058462e-145,7.7471678333024985e-84,3.9270896286890177e-116,8.972696038552083e-115,3.359251942652001e-115,3.76,0.0,0.869075560449306,0.9999999999999339,1.463677222894664e-31,2.0184050318753918e-89,3.6111186019433175e-12,3.6111186142701965e-12,6.610579374638623e-14,2.0733866870616046e-26,2.4693719006528127e-25,1.2326049812922473e-20,3.147972068634125e-28,4.185977346621563e-24,3.9263673340362326e-24,5.613238666917865e-25
5.099621578826884e-15,0.7650197358600526,4.9334202281704885e-20,3.561022889591209e-20,1.5716966922673885e-23,9.100886340488057e-28,0.0,0.0,1.322151741268927e-13,1.2894208076112715e-23,5.012047704808077e-38,2.3910523816894107e-27,1.992259125126886e-38,6.1991977168162515e-46,1.0446528067732884e-30,1.4078007420414208e-64,2.5140259115867006e-66,1.5966003627190543e-59,5.502317842188958e-71,1.8295688401593313e-85,1.556634723633098e-100,2.6379055585505335e-95,4.665799512095228e-67,2.3018940656352234e-98,1.1270307639766483e-77,1.0295543973432118e-90,1.7251942462626488e-103,1.4235894520169954e-117,2.141407012194965e-141,2.1328696084779796e-141,9.917415927874873e-82,3.9838188996431836e-113,9.186601229685967e-112,3.4393595623273638e-112,3.76,0.0,0.8690755604456286,0.9999999999998679,1.171003097376851e-30,5.1661485975929765e-87,7.222433105555134e-12,7.222433154864657e-12,1.3221517414599333e-13,8.293909994081971e-26,9.87787780675402e-25,4.930620419744171e-20,2.4547739117549182e-27,1.6744589570272018e-23,1.5706108426201012e-23,2.245386828579691e-24
1.0199381497495311e-14,0.7650197358610341,1.973171808323456e-19,7.122144456826368e-20,6.286980598897802e-23,7.279864289578112e-27,0.0,0.0,2.644339348618008e-13,5.1577881588990665e-23,4.009732993450482e-37,1.91288721233128e-26,1.5938449447660538e-37,4.959474689205134e-45,4.178695818001383e-30,9.008960075151354e-63,1.6088043564894915e-64,5.109317683107213e-58,3.521676362668473e-69,1.1709881321505746e-83,7.962929990336004e-98,3.3767322660909004e-93,2.985797306350496e-65,1.1784846533381008e-95,1.442443654944905e-75,1.3179182066032485e-88,8.832301695930061e-101,1.4576468108879997e-114,1.7536859800130157e-137,1.3513287143931458e-137,1.2694957607642561e-79,4.0602126799528523e-110,9.406340991276065e-109,3.5216402422633184e-109,3.76,0.0,0.8690755604382737,0.9999999999997357,9.368338825074579e-30,1.322410096533908e-84,1.4445062038724913e-11,1.4445062235967014e-11,2.644339349145709e-13,3.317652107624995e-25,3.9512221265526034e-24,1.9722881871782977e-19,1.9383756730732308e-26,6.697971171971526e-23,6.282571192937998e-23,8.981730019140373e-24
2.0398901334832165e-14,0.7650197358629973,7.892294326998162e-19,1.4244394217919364e-19,2.5148705596814197e-22,5.82355328146404e-26,0.0,0.0,5.288714561653628e-13,2.0631362450680926e-22,3.20782391345103e-36,1.5303277765253332e-25,1.2750907900060078e-36,3.9676249208420357e-44,1.6714949904759735e-29,5.7654246297713365e-61,1.029579516207426e-62,1.635012909756098e-56,2.253934188426205e-67,7.494526890952367e-82,4.075216902373792e-95,4.3223521925995744e-91,1.9108144233883943e-63,6.033678210932154e-93,1.8462277730616455e-73,1.6870017424751007e-86,4.5219598505480696e-98,1.4925749663844133e-111,1.4363920356399114e-133,9.448551479053708e-134,1.62499686041888e-77,4.1478116268240914e-107,9.631712161142025e-106,3.6060235461068223e-106,3.76,0.0,0.869075560423564,0.9999999999994712,7.494906701842947e-29,3.3852113253657704e-82,2.8890319608849065e-11,2.8890320397825488e-11,5.288714563291982e-13,1.3270908327706486e-24,1.580497420851021e-23,7.889232145198911e-19,1.540522197710904e-25,2.6792149815477844e-22,2.513054043631059e-22,3.592728531302976e-23
4.0797941009505874e-14,0.7650197358669237,3.1568388834477598e-18,2.8488923034381225e-19,1.005995531043875e-21,4.658707001869747e-25,0.0,0.0,1.0577464981074736e-12,8.252586908523023e-22,2.5662734765228005e-35,1.224269237734414e-24,1.0200782075384927e-35,3.174115716916123e-43,6.686011248257806e-29,3.689771217067329e-59,6.589130052833446e-61,5.232090077597931e-55,1.4425369548419796e-65,4.7965593065378936e-80,2.0860484944042918e-92,5.532693222376611e-89,1.2228966481916831e-61,3.0892574789569477e-90,2.3631063707148483e-71,2.1594297012493465e-84,2.3151964700512127e-95,1.5283691207804593e-108,1.1765986280749503e-129,7.0761003979618385e-130,2.080022305867914e-75,4.242306418421625e-104,9.862672544291878e-103,3.692496623490952e-103,3.76,0.0,0.8690755603941447,0.9999999999989423,5.996195653797353e-28,8.66593883089324e-80,5.7780833564235796e-11,5.778083672015747e-11,1.0577464986684971e-12,5.3085222499125004e-24,6.321961779238013e-23,3.1557082232164003e-18,1.22834532399552e-24,1.071690850190965e-21,1.0052267321559012e-21,1.4370987031727608e-22
8.159602035885329e-14,0.7650197358747763,1.2627195716582147e-17,5.697812014667793e-19,4.024329883228193e-21,3.726910774239114e-24,0.0,0.0,2.1154965793316654e-12,3.3010431211155783e-21,2.0530234607622863e-34,9.794178988855113e-24,8.160642232076678e-35,2.5392952834572077e-42,2.674409124490118e-28,3.1201963482417475e-57,5.571994220238664e-59,1.6742761502319024e-53,1.2198861208314986e-63,4.0562237265459855e-78,1.994458160724466e-89,1.2397024001526105e-86,1.0341378286814364e-59,2.9542545101639395e-87,3.989052073801072e-69,4.838718267290877e-82,2.2137902262827486e-92,4.641407900455067e-105,1.0951445550445766e-124,6.050263943193526e-125,2.6624448984228734e-73,1.2872492608765876e-100,1.8861912069552624e-99,1.121350233799586e-99,3.76,0.0,0.8690755603353059,0.9999999999978846,4.797346296281304e-27,2.92851176364139e-77,1.1556185673556338e-10,1.155618693592816e-10,2.1154965813884973e-12,2.123519832681118e-23,2.528743096176936e-22,1.2622859509359337e-17,9.810456159886328e-24,4.286769555906303e-21,4.020917169171562e-21,5.748409281206767e-22
