Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21)
0.0,0.0785887239581125,3.76,0.0,0.5015858060795181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.842075764011139e-23,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999999996,1.6772156244480487e-52,0.0,2.1309774912698577e-38,2.3339245567396082e-20,2.3339245567396052e-20,9.601607883604904e-22,4.372444481324653e-40,5.3320578913369174e-39,6.61437961995053e-33,2.655579051974459e-35,1.479821199153623e-23,8.458677058496612e-50,9.601607883539028e-22,2.3395724183298905e-38,2.764915308637554e-29,2.6960834017755995e-37,2.1331184981505108e-38,6.554699455287263e-51,6.149238100116727e-45,7.14398920127695e-50,1.479821199153623e-23,3.663736528751797e-46,3.6546987528751575e-39,5.344055862022994e-65,4.579005700106101e-38,3.410320970351607e-39,5.866180133303158e-55,3.504284646809128e-46,7.906537397220776e-43,3.2990688413157743e-40,4.2130748736319007e-16,1.4837117130190567e-41,8.502583449946453e-68,3.4074740675905363e-50,1.6242480165491474e-58,4.245225719550048e-58,2.9026983614660676e-43,5.0424869114528306e-74,3.2954463965056905e-66,2.420482505607881e-64,3.418735367110576e-66,5.128287922439917e-69,4.1466049824541424e-81,1.3081263651880395e-43,1.4932830516825784e-63,2.4233044718676865e-59,1.745761813737443e-60,7.208572901896268e-75,7.897343907998783e-63,2.1708302600195927e-62,6.881926837921709e-57,3.2730468381580277e-90,4.445846211809418e-64,3.041041954032472e-57,9.337551977816878e-57,6.566535492710496e-85,1.5393705636828283e-72,3.4047833012919545e-64,9.251640172716004e-78,3.6850406452240666e-85,4.6396643498157275e-90,2.4798022711255525e-94,6.635745458532928e-87,2.3382439688156815e-38,3.922132370601929e-104,6.161915907221483e-103,4.764021399660061e-97
2.4757812139231187e-22,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999999988,1.9911903893457974e-51,0.0,1.2871104047277525e-37,6.534988758870901e-20,6.534988758870886e-20,2.68845020740937e-21,2.6409564667368306e-39,3.2205629663583987e-38,1.8606313304974115e-32,1.6039697473925677e-34,4.143499357630144e-23,1.0042141403841374e-48,2.688450207390926e-21,1.4131017406741275e-37,7.741762880212741e-29,1.628434374672448e-36,1.2884035728829658e-37,3.9590384780832203e-50,3.714139812472687e-44,4.31496947921851e-49,4.143499357630144e-23,2.2128968633703268e-45,2.2074380467360063e-38,6.344463121611254e-64,2.7657194428640802e-37,2.0598338660923696e-38,6.964329054257497e-54,2.116587926674127e-45,4.7755485880736765e-42,1.9926375801547245e-39,1.1796609646152766e-15,8.961618746619364e-41,1.0094267071939973e-66,2.0581153491791388e-49,2.4545635833847825e-57,6.415385074230629e-57,1.7532298103255183e-42,1.4220619817318344e-72,3.912353961939902e-65,2.873596830657692e-63,4.058722627833696e-65,6.088303421535678e-68,9.275839005634315e-80,7.901083245718249e-43,1.7728256389575376e-62,2.8769470690013083e-58,2.6381904486382664e-59,2.032929364156786e-73,1.193415469499388e-61,3.280555931838975e-61,8.170223541978457e-56,1.6942204210520722e-88,5.278109111940294e-63,3.610325007821447e-56,1.1085541708052501e-55,1.8518214642148572e-83,1.8752049965467784e-71,4.0421587352938433e-63,1.0983547217455961e-76,8.243288521740482e-84,1.0378743563963877e-88,1.2836148871844011e-92,1.5069935490655533e-85,1.4122993571632581e-37,1.6425273565261827e-102,2.5805134783576222e-101,2.8981867016575017e-95
5.658928488967129e-22,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999999972,1.9549625318599763e-50,0.0,6.196882544624124e-37,1.493711716313349e-19,1.493711716313341e-19,6.14502904550712e-21,1.2715068551943194e-38,1.550562434787128e-37,4.293438215147185e-32,7.722423883141643e-34,9.470855674583186e-23,9.859433979365662e-48,6.145029045464967e-21,6.8034765925464266e-37,1.7695458087473483e-28,7.840210532363233e-36,6.203108592622541e-37,1.906106612029543e-49,1.7881984395171593e-43,2.077472062155122e-48,9.470855674583186e-23,1.0654145825672652e-44,1.062786397335213e-37,6.229031519521686e-63,1.3315748575908468e-36,9.917213381782456e-38,6.837619563378125e-53,1.019045975294175e-44,2.2992210753402964e-41,9.59369219054622e-39,2.6963679191128277e-15,4.314633661435811e-40,9.910611269747344e-66,9.908949484625976e-49,2.6405074882451195e-56,6.901378500680388e-56,8.441046835143525e-42,3.0932954220374667e-71,3.84117231979198e-64,2.8213144085365927e-62,3.984877943904148e-64,5.977532402440672e-67,1.8327538550212408e-78,3.804031469940555e-42,1.7405707250411535e-61,2.824603692408946e-57,2.8380432432765646e-58,4.4220627048157705e-72,1.2838111829697204e-60,3.529071422022968e-60,8.02157392227474e-55,7.397624736867923e-87,5.18207903926072e-62,3.544638501601949e-55,1.088385058530709e-54,4.0280805271281147e-82,1.936746501682176e-70,3.96861541598601e-62,1.0783711798848602e-75,1.6287349006037818e-82,2.0506648314519696e-87,5.604761413598693e-91,2.997550900835921e-84,6.799613461294797e-37,6.542503586109019e-101,1.0278683407698143e-99,1.308380013346001e-93
1.2025223039055148e-21,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999999942,1.7291422201879568e-49,0.0,2.7063414139244788e-36,3.1741373971658664e-19,3.1741373971658327e-19,1.3058186721702586e-20,5.553004491541787e-38,6.771713521856864e-37,9.29673257502695e-32,3.372585396007477e-33,2.012556830848927e-22,8.720557700189901e-47,1.305818672161303e-20,2.9712569713235043e-36,3.760284875843644e-28,3.4240259202547965e-35,2.7090604926520367e-36,8.324468415066937e-49,7.809532387181175e-43,9.072866310447878e-48,2.012556830848927e-22,4.652945391578728e-44,4.641467416142334e-37,5.509507845554628e-62,5.8153372391346744e-36,4.331107632346525e-37,6.0477970702301494e-52,4.450441501468903e-44,1.0041302496831503e-40,4.189817428470983e-38,5.729781828081445e-15,1.8843138755098097e-39,8.76582343457115e-65,4.327507323467837e-48,2.427081298678306e-55,6.343555840800194e-55,3.6864269190621113e-41,5.7344483879286026e-70,3.3974734169931465e-63,2.4954206439815994e-61,3.524579414076444e-63,5.287059716611064e-66,3.2612911394495435e-77,1.661320483761672e-41,1.5395150949625465e-60,2.498329978316652e-56,2.608650092908593e-57,8.197756997137689e-71,1.1800397725999735e-59,3.243824298285481e-59,7.094991292809485e-54,2.7539495165485894e-85,4.583490310191145e-61,3.135192612890888e-54,9.626642586973952e-54,7.467356159808385e-81,1.8818944987317487e-69,3.510195392300178e-61,9.538070981025558e-75,2.8982467326526714e-81,3.6490485009673645e-86,2.0865116215496787e-89,5.350312875563624e-83,2.9695698403740076e-36,2.3423263314506326e-99,3.6799415516992106e-98,4.940193981082366e-92
2.4757812139231186e-21,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999999881,1.453448224709383e-48,0.0,1.1298442658818626e-35,6.534988758870901e-19,6.53498875887076e-19,2.6884502074093373e-20,2.3182700642318615e-37,2.8270570938599157e-36,1.985404365710732e-31,1.4079880133567808e-32,4.143499357630144e-22,7.330154199991709e-46,2.6884502073909067e-20,1.2404412962385972e-35,7.741763112612822e-28,1.4294634196212297e-34,1.1309794277202001e-35,3.4753017469550837e-48,3.2603260407114034e-42,3.787743096766449e-47,4.143499357630144e-22,1.942513107601513e-43,1.9377212787662048e-36,4.6310733305018205e-61,2.4277888221961895e-35,1.8081521784804086e-36,5.083537844638253e-51,1.857971719757298e-43,4.192046130131462e-40,1.749166299665578e-37,1.1796609645912736e-14,7.866639502207512e-39,7.368202778217434e-64,1.806656424652746e-47,2.076419148946119e-54,5.427045575026827e-54,1.5390106712494937e-40,9.856051617880605e-69,2.855781120162583e-62,2.0975514116398776e-60,2.962621369372377e-62,4.444092261146159e-65,5.5006470990795e-76,6.935685987982744e-41,1.29405520005907e-59,2.099996882448882e-55,2.2317548472979e-56,1.4089848210029793e-69,1.0095473870601208e-58,2.7751598501688318e-58,5.963767686887637e-53,9.487772577111143e-84,3.8526998154762154e-60,2.635318300623557e-53,8.0917731430063295e-53,1.283445714498093e-79,1.865565021315069e-68,2.9505307323671947e-60,8.017323400391952e-74,4.8883167312670295e-80,6.154653653023402e-85,7.188348089089837e-88,9.037375941204203e-82,1.2397369522463573e-35,7.926198866733253e-98,1.2452555463979687e-96,1.713982787157857e-90
5.022299033958327e-21,0.0785887239581125,3.76,0.0,0.5015858060795181,0.999999999999976,1.1916246682709334e-47,0.0,4.615782485279777e-35,1.325669148228097e-18,1.3256691482280396e-18,5.453713277887437e-20,9.47088964630568e-37,1.1549450673876855e-35,4.31715552705512e-31,5.752090449738105e-32,8.4053844111925775e-22,6.009703282355912e-45,5.45371327785008e-20,5.067607441338702e-35,1.570471999645753e-27,5.839824491580388e-34,4.620419991740704e-35,1.4197742017238952e-47,1.3319495694626217e-41,1.5474166557523198e-46,8.4053844111925775e-22,7.935799871221775e-43,7.916223686608244e-36,3.796833736242636e-60,9.918309506657274e-35,7.386891634620282e-36,4.16779145945433e-50,7.590420716535804e-43,1.712587628186782e-39,7.145915073043236e-37,2.3930265281151543e-14,3.213778918681932e-38,6.040897807244754e-63,7.380840663592855e-47,1.7168235060000904e-53,4.487186229587087e-53,6.287360758871521e-40,1.633568274558825e-67,2.341341901418651e-61,1.7196993759809762e-59,2.4289359926555393e-61,3.643535336578335e-64,9.03483173271895e-75,2.8334540318451122e-40,1.0609446365303086e-58,1.721704320699074e-54,1.845257976232633e-55,2.3352888906738356e-68,8.34712722722022e-58,2.294555779132617e-57,4.889457065354743e-52,3.1486456308224615e-82,3.1586760924669847e-59,2.160593162015206e-52,6.6341245068564036e-52,2.1272155661122915e-78,1.994666765370474e-67,2.4190233579533327e-59,6.573086160901405e-73,8.029074909803171e-79,1.010903710636026e-83,2.3855505198423272e-86,1.4854666120543969e-80,5.064729966046585e-35,2.6079072713418144e-96,4.0971858627600684e-95,5.708278297913443e-89
1.0115334674028743e-20,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999999517,9.650085513397545e-47,0.0,1.865773080600057e-34,2.6700096929101108e-18,2.6700096929098777e-18,1.0984239418843406e-19,3.828285022361267e-36,4.6684726217603404e-35,9.861813629456964e-31,2.3250869277975964e-31,1.6929154518317445e-21,4.866813530033689e-44,1.098423941876829e-19,2.0484079520031044e-34,3.1630635405372346e-27,2.3605504302564815e-33,1.8676476348242537e-34,5.738954663554262e-47,5.383953120285929e-41,6.254905611677831e-46,1.6929154518317441e-21,3.207777190673494e-42,3.1998641836252007e-35,3.0747744351764596e-59,4.009139282716047e-34,2.9858997049493165e-35,3.3751855811566016e-49,3.068169414077033e-42,6.922553019861508e-39,2.8884931258760265e-36,4.819757654993405e-14,1.29906082275752e-37,4.892075667751701e-62,2.9835020439654016e-46,1.3960923626544407e-52,3.648905320354176e-52,2.541451744986173e-39,2.659842459985013e-66,1.8960793752888457e-60,1.392657140886864e-58,1.967015341271028e-60,2.9506293808297586e-63,1.4645853471535638e-73,1.145327422617557e-39,8.591804735091558e-58,1.3942807971008811e-53,1.5005331056323108e-54,3.802412479229577e-67,6.787742942823424e-57,1.865894632274402e-56,3.9596090992223453e-51,1.0259403105792576e-80,2.55797779922535e-58,1.7497043596610783e-51,5.372486026748453e-51,3.4636178512149406e-77,2.3687161782909747e-66,1.9589878326870328e-58,5.323055685843683e-72,1.3015476425119706e-77,1.6387184777396186e-82,7.772968851293094e-85,2.408870509065019e-79,2.0472448302713157e-34,8.461821971549131e-95,1.329405295116828e-93,1.8632771096781963e-87
2.0301405954169577e-20,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999999032,7.76722835993936e-46,0.0,7.502191497713107e-34,5.358690782274139e-18,5.358690782273203e-18,2.2045291700754423e-19,1.5393365707474845e-35,1.8771723081597757e-34,2.4475752953111414e-30,9.349072275633808e-31,3.397669473256718e-21,3.917234932021862e-43,2.204529170060417e-19,8.236558283891781e-34,6.34824727881036e-27,9.491669459276203e-33,7.509728997523984e-34,2.307608701045945e-46,2.1648638702646296e-40,2.5150700995015843e-45,3.397669473256716e-21,1.2898331002157755e-41,1.2866513146983668e-34,2.4748460227189773e-58,1.61205727274479e-33,1.2006171388960905e-34,2.7166429902238058e-48,1.233697427155235e-41,2.783528128845326e-38,1.1614503818603268e-35,9.673219908071868e-14,5.223466432912013e-37,3.937568102544464e-61,1.1996918423144578e-45,1.1259990673435266e-51,2.942974331443451e-51,1.0219065689486129e-38,4.2929964539226144e-65,1.5261296366224388e-59,1.1209316254191655e-57,1.583225073122577e-59,2.37492322502601e-62,2.358669703069613e-72,4.6053111923193965e-39,6.91543192091527e-57,1.122238485194461e-52,1.2102342961664858e-53,6.13710899595142e-66,5.474559674213178e-56,1.504911609530563e-55,3.1870378812009276e-50,3.3126990517201226e-79,2.0588830739615456e-57,1.4083142893342678e-50,4.32424414973112e-50,5.590292177640391e-76,3.1193182223081477e-65,1.5767638358371352e-57,4.284458499359824e-71,2.096102353788235e-76,2.639105589525209e-81,2.5098445081926446e-83,3.880105999323588e-78,8.231881420860575e-34,2.7265925731694304e-93,4.2836479152939365e-92,6.0217896488890574e-86
4.0673548514451237e-20,0.0785887239581125,3.76,0.0,0.5015858060795181,0.9999999999998062,6.232711596363027e-45,0.0,3.0087143345405973e-33,1.0736052961002195e-17,1.0736052960998436e-17,4.416739626457276e-19,6.173428139141825e-35,7.528300538656121e-34,6.780212407581132e-30,3.749396130004919e-30,6.807177516106665e-21,3.143334333856251e-42,4.416739626427375e-19,3.303228261829679e-33,1.2718617381317253e-26,3.806583978457806e-32,3.0117372088641142e-33,9.254545173444889e-46,8.682072379464111e-40,1.0086556497876265e-44,6.807177516106659e-21,5.17280762512334e-41,5.160047240618609e-34,1.9859081658895935e-57,6.46507067394268e-33,4.8150117161130135e-34,2.1799349114546303e-47,4.947678467987586e-41,1.1163192808606594e-37,4.657935502638627e-35,1.9380144411516638e-13,2.0948436643424157e-36,3.1596504296127204e-60,4.811612011492724e-45,9.044636853238344e-51,2.363957028789211e-50,4.0983024003721303e-38,6.898730052673419e-64,1.2246229214430176e-58,8.99477035591565e-57,1.2704384131493322e-58,1.9057263212522137e-61,3.786187361909057e-71,1.846935765139435e-38,5.549198597836296e-56,9.005257082570524e-52,9.721259964318879e-53,9.862169340946217e-65,4.397463685848275e-55,1.208826842159491e-54,2.5573971869333456e-49,1.0648375023181089e-77,1.6521240037271422e-56,1.1300835243980304e-49,3.469933598266361e-49,8.983448655554534e-75,4.4493956255749255e-64,1.265253677142951e-56,3.438008539603316e-70,3.36470849447985e-75,4.236348944916056e-80,8.067670849413218e-82,6.228985855532302e-77,3.301352629209882e-33,8.75532487403368e-92,1.3755164420893351e-90,1.9365173061463226e-84
