Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231),S(268),S(3108),S(711),CHO3(226),S(2070),FO2(124),S(3821),CHO2(141),S(579),CHF2O(164)
0.0,0.8606671002228476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9836590725613785,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0961199871198142e-22,0.8606671002228478,3.994395576291532e-30,1.953036310235698e-26,1.0698711733951182e-36,1.4998591705532993e-20,0.0,0.0,1.4615664197350015e-20,1.1670227819826544e-37,3.755701343127945e-52,1.1827200899663033e-35,1.2339874904366293e-58,2.4156255963951765e-64,1.581787422564167e-43,1.7763566724905924e-47,9.996911857976779e-56,2.7378505241146746e-63,9.129130439381334e-92,1.7311084662170575e-83,1.431437906688632e-104,2.2899931188754314e-108,4.528810741804957e-55,-1.0689527177853933e-106,3.821203335813091e-74,7.05205886005892e-104,-1.8499637300629267e-112,-6.665434051798912e-116,1.5907816576279347e-125,-1.589639387741513e-120,2.277029534493625e-77,-7.624279261069308e-117,6.003949344617405e-124,-8.16842818411431e-130,3.76,0.0,0.9836590725613785,0.9999999999999994,4.220612784092171e-51,5.296995605693476e-71,1.1489561376673049e-18,1.1489561376673053e-18,1.4615664201344096e-20,3.1255278963849788e-40,3.675192865702522e-39,3.1382763157358083e-34,2.9576395621287138e-24,3.480621379625222e-38,6.783807675325371e-38,3.1550717466752793e-38,6.393021350375002e-42,4.462502982358491e-46,1.4998591705532993e-20,6.098160320572493e-42,7.888790632553988e-42,1.0686814200033135e-37,2.9718333266948267e-63,1.3317936968493567e-40,2.0497343879441772e-39,1.710588952401324e-40,1.8381318776915606e-57,3.281262672529026e-57,3.6925133820649124e-45,1.4759199401045687e-40,6.28479393034076e-63,5.024911530786379e-16,5.72549182900039e-65,1.5711781029151108e-62,4.282445635910327e-62,2.959398347090797e-24,1.7779203571521674e-40,2.4644835420320378e-60,2.6956236674538015e-56,5.3280602554301986e-58,9.284646052980272e-72,1.4951138208547537e-56,1.0097289192596881e-36,1.2668694945006233e-88,9.340313668840675e-57,4.689772004628386e-69,1.5400522937270353e-61,1.2929549518781724e-65,4.415737335121133e-78,8.268809691438462e-58,2.457668541445033e-41,4.682060696922154e-71,3.608256547580292e-58,1.9263483983236064e-61,6.208030402198146e-38,6.716726075264889e-59,3.723372512290328e-78,1.7045013258438167e-83,4.707248417939725e-81,5.921532187492232e-82,6.536718372030547e-100,5.707098781429398e-98,2.1443894047048464e-78,1.05619813530862e-92,1.75878496216726e-27,5.713910216836873e-93,4.964925767259783e-38,4.006793020407985e-75,3.7967177638582264e-38
3.06913596393548e-22,0.8606671002228476,1.1185324996395899e-29,5.468501668709517e-26,6.462021887306808e-36,4.1996056775492385e-20,0.0,0.0,4.0923859752580024e-20,7.048817603175232e-37,4.4587686345614967e-51,7.14362934339692e-35,1.4649899486463602e-57,2.867830708040325e-63,9.553996032287534e-43,1.0729194310270931e-46,1.5107332622713125e-54,3.2503761448718755e-62,5.55369541217719e-90,3.872420394589101e-82,6.838150670230192e-103,1.0939571983804512e-106,2.735512367376595e-54,3.1853829584901062e-105,1.0776404402486458e-72,3.3693704058264537e-102,5.518694577338077e-111,1.988390055937426e-114,2.602112609601293e-124,4.742155738102253e-119,7.159345077683257e-76,2.2744271543279536e-115,4.635155520378629e-122,3.237076916344447e-128,3.76,0.0,0.9836590725613785,0.9999999999999986,5.010711497274439e-50,1.493837457697806e-69,3.2170771854684546e-18,3.2170771854684566e-18,4.0923859763763453e-20,1.8878188494167583e-39,2.219816490883536e-38,1.8955188947044233e-33,8.28139077396067e-24,2.1022953132936145e-37,4.097419835896787e-37,1.9056633349918695e-37,3.8613848956265077e-41,2.695351801377477e-45,4.1996056775492385e-20,3.683288833626114e-41,4.764829542062593e-41,6.454835776820014e-37,3.52816052549135e-62,8.044033928990616e-40,1.238039570318046e-38,1.0331957272503996e-39,2.7771503918060603e-56,4.951958913795037e-56,2.23027808287897e-44,8.914556438231616e-40,7.461307354101861e-62,1.4069752286197424e-15,6.797303899390213e-64,1.8653026437819098e-61,5.084119458952554e-61,8.286315371854234e-24,1.073863895719913e-39,2.9258348611004065e-59,4.0732877893820065e-55,8.051407517966901e-57,2.618209057715164e-70,1.7749991281186256e-55,6.098762672328514e-36,6.557166366469491e-87,1.4114809812583107e-55,7.08545179172559e-68,1.828353063424616e-60,1.5349961215779732e-64,1.388378469959524e-76,1.2492540241942386e-56,1.4844318010385446e-40,5.558955602896654e-70,5.452370968726631e-57,2.286960818490734e-60,3.749650362927406e-37,7.974097196554508e-58,8.329035375092986e-77,3.8129012858599026e-82,1.0551096832920643e-79,1.6698408852903766e-80,2.7026868299479117e-98,2.359670378302344e-96,6.742303390697191e-77,5.466756378014248e-91,4.9245978940680914e-27,2.9574521693599075e-91,2.9988151634242815e-37,1.1285103229042342e-73,2.2932175293701053e-37
7.015167917566812e-22,0.8606671002228476,2.557125336772306e-29,1.249943238585541e-25,3.11118537223344e-35,9.599098691541117e-20,0.0,0.0,9.354025086303998e-20,3.393702250005555e-36,4.377645485549922e-50,3.4393500216226787e-34,1.4383358188529139e-56,2.8156531951581277e-62,4.599837824816544e-42,5.165645216003479e-46,1.6251778849848506e-53,3.191238578948781e-61,2.5072036155967865e-88,7.651250141061446e-81,3.560610882183331e-101,5.6962124683674204e-105,1.3171441827064825e-53,4.107941481506545e-103,2.344103313292662e-71,1.7547740151097607e-100,7.119601975984567e-109,2.5651982709003086e-112,7.796728303584701e-122,6.11782522596607e-117,1.597210496819137e-74,2.9342112290330746e-113,5.051392159473278e-120,8.912447582027824e-126,3.76,0.0,0.9836590725613785,0.9999999999999968,4.9195462611384815e-49,3.249422723318389e-68,7.35331928107075e-18,7.353319281070759e-18,9.354025088860209e-20,9.089035122690966e-39,1.0687460853451125e-37,9.126107526159644e-33,1.892889319762568e-23,1.0121646971949831e-36,1.9727312719850093e-36,9.174948639331705e-37,1.8590906086890596e-40,1.2976958673183284e-44,9.599098691541117e-20,1.7733450212229655e-40,2.2940603159466744e-40,3.107725569369633e-36,3.4639689257149075e-61,3.8728560704686815e-39,5.960627600138106e-38,4.9743926735830453e-39,2.987313238424424e-55,5.324790065035805e-55,1.0737828916689268e-43,4.2919751858241105e-39,7.325555805209131e-61,3.2159433797001778e-15,6.673633275885706e-63,1.8313651967611082e-60,4.991618633216486e-60,1.8940149421381106e-23,5.170192398598561e-39,2.872602016592448e-58,4.3817405341449543e-54,8.661213857192374e-56,5.695016159163609e-69,1.7427046695877283e-54,2.936291697207164e-35,2.8630323235136984e-85,1.518397459580902e-54,7.62168352781526e-67,1.7950891856107941e-59,1.5070683002146435e-63,3.0973959918871473e-75,1.343777389063927e-55,7.146900148608322e-40,5.458667103631918e-69,5.865265121383435e-56,2.245351693088882e-59,1.805295240958807e-36,7.829015913328834e-57,1.6456770338681534e-75,7.533650412040631e-81,2.0865907541645308e-78,3.6321723507235985e-79,1.0701424565144737e-96,9.343233656307221e-95,1.504170797105687e-75,2.3869304727514862e-89,1.1256223757868809e-26,1.2913019081624159e-89,1.4438004131182032e-36,2.453632666349351e-72,1.1040855257295758e-36
1.4907231824829473e-21,0.8606671002228476,5.435938823485107e-29,2.6561293820940194e-25,1.3587363902122494e-34,2.0398084719524874e-19,0.0,0.0,1.9877303308395938e-19,1.4821189331179652e-35,3.871977856711154e-49,1.5020545142578946e-33,1.2721917431405014e-55,2.4904133648593794e-61,2.0088700266564357e-41,2.2559729867648796e-45,1.4938184625939698e-52,2.8226143930749374e-60,9.466723855008953e-87,1.3614990821295196e-79,1.420946337634692e-99,2.273208877841729e-103,5.753305171651504e-53,3.525318575743686e-101,4.34557246308186e-70,7.0057907679017275e-99,6.110626368636419e-107,2.201663560115372e-110,1.4813936516135362e-119,5.250868302735682e-115,2.9913984891220737e-73,2.5183807277028206e-111,4.132803556171165e-118,1.5960200885400108e-123,3.76,0.0,0.9836590725613785,0.9999999999999931,4.351282955889011e-48,6.023882064964092e-67,1.562580347227532e-17,1.5625803472275366e-17,1.9877303313827895e-19,3.9694204284124807e-38,4.667494939429992e-37,3.98561092098438e-32,4.022389804496007e-23,4.420389152123708e-36,8.615435747667262e-36,4.0069411182775886e-36,8.119137114976338e-40,5.667378788091835e-44,2.0398084719524874e-19,7.744663607132037e-40,1.0018764103343293e-39,1.3572254034042033e-35,3.063841286737813e-60,1.6913779950304596e-38,2.6031626726854264e-37,2.1724479695496755e-38,2.7457763646782044e-54,4.893565297497384e-54,4.689491996906853e-43,1.8744183239328248e-38,6.479371150432281e-60,6.83387968185395e-15,5.902753056032148e-62,1.619821776988097e-59,4.41503015279686e-59,4.024781752043485e-23,2.257958853583311e-38,2.5407839524931455e-57,4.0275321972727623e-53,7.961103168229036e-55,1.0557481912589582e-67,1.54140254474708e-53,1.2823557274597923e-34,1.0658228260171068e-83,1.3956654657685615e-53,7.005579601608657e-66,1.5877365745858843e-58,1.3329848545569027e-62,5.801079897350508e-74,1.2351219447546601e-54,3.121239078724228e-39,4.829633732644096e-68,5.391135947771671e-55,1.985988144741719e-58,7.884198610787355e-36,6.92467591455524e-56,2.9283943535818323e-74,1.3405728386833648e-79,3.7145063170374625e-77,6.733364404794121e-78,3.820880449734189e-95,3.3359464057720704e-93,2.81714543317278e-74,8.885840935429407e-88,2.3919475485466466e-26,4.8071377272084983e-88,6.305455724410188e-36,4.547793083976574e-71,4.821831560095849e-36
3.06913596393548e-21,0.8606671002228476,1.120007704670019e-28,5.468501669428176e-25,5.672456961344953e-34,4.199605677549239e-19,0.0,0.0,4.0923859752579667e-19,6.187554790071975e-35,3.2546306927331244e-48,6.270781917007536e-33,1.0693538154124508e-54,2.0933424918261678e-60,8.386636914434694e-41,9.418243191379977e-45,1.277993142285007e-51,2.372577488814795e-59,3.284446287641198e-85,2.296367202901779e-78,5.050265866123284e-98,8.079340480544804e-102,2.4027194319082766e-52,2.591084992732533e-99,7.468928748287606e-69,2.4920841242780283e-97,4.4915091185579714e-105,1.618294329857922e-108,2.28051226912164e-117,3.8596307320204237e-113,5.166896978054271e-72,1.851091743953805e-109,2.975320781279326e-116,2.3958664526154624e-121,3.76,0.0,0.9836590725613785,0.9999999999999859,3.657515508892162e-47,1.0353514137330197e-65,3.2170771854684395e-17,3.217077185468458e-17,4.0923859763763114e-19,1.6571548906665158e-37,1.948587257384487e-36,1.6639141026030358e-31,8.281390773964632e-23,1.8454254554769987e-35,3.5967748294611437e-35,1.6728190400872165e-35,3.389579919968903e-39,2.3660190816914848e-43,4.199605677549239e-19,3.233244601971994e-39,4.1826367933798785e-39,5.666148888857516e-35,2.5753432120293847e-59,7.061170180981275e-38,1.086769172484691e-36,9.06954262563175e-38,2.3490392831197896e-53,4.186229889273671e-53,1.957770596680402e-42,7.825327522434612e-38,5.446301863345161e-59,1.4069752286133102e-14,4.9616196111531214e-61,1.361557805148726e-58,3.711098868947437e-58,8.286315371854232e-23,9.426533733621309e-38,2.1356820057879175e-56,3.445622465261791e-52,6.810874368830867e-54,1.8145523167054175e-66,1.2956417153290569e-52,5.353582729914754e-34,3.6719022601766246e-82,1.194019893949143e-52,5.993610550108385e-65,1.3345884648816227e-57,1.1204541054722931e-61,1.0019922895991905e-72,1.0566571894880216e-53,1.3030558886542858e-38,4.0621249567967264e-67,4.612210011031857e-54,1.6693427004237294e-57,3.2914977192415916e-35,5.820607349207609e-55,4.9391651004326915e-73,2.2610720346863266e-78,6.266302665970549e-76,1.1572878515719303e-76,1.2912533659734626e-93,1.1273715788392899e-91,4.865918161217882e-73,3.0612911093564207e-86,4.9245978940646667e-26,1.6561232861084792e-86,2.6324036417923716e-35,7.81585827757389e-70,2.0130197583939408e-35
6.225961526840545e-21,0.8606671002228476,2.2754398492288275e-28,1.1093246245365293e-24,2.317383756424177e-33,8.519200088742742e-19,0.0,0.0,8.301697264094651e-19,2.5278180266856585e-34,2.6683428784066383e-47,2.561819023675857e-32,8.767208655112911e-54,1.7162486492250086e-59,3.426214828770447e-40,3.8476597030626432e-44,1.0566694429313689e-50,1.9451823969144015e-58,1.0938577463352656e-83,3.771790026328329e-77,1.7010686516792508e-96,2.7213444470439905e-100,9.822657554420427e-52,1.7738109057071795e-97,1.2379201641489416e-67,8.408310784514519e-96,3.0748832183100585e-103,1.1078828950545844e-106,3.191734354908742e-115,2.64239800664383e-111,8.584876603658748e-71,1.2672558018613457e-107,2.0180930248902062e-114,3.314344874322502e-119,3.76,0.0,0.9836590725613785,0.9999999999999715,2.9986521919713427e-46,1.7160190373142575e-64,6.526070861950229e-17,6.526070861950302e-17,8.301697266363296e-19,6.770018444712809e-37,7.960614754733236e-36,6.7976320309356275e-31,1.6799392712908875e-22,7.539165133120922e-35,1.469399877709251e-34,6.834011606168377e-35,1.3847539965766907e-38,9.665959963667769e-43,8.519200088742742e-19,1.3208859180810515e-38,1.7087436061735133e-38,2.314806702983932e-34,2.111421961298227e-58,2.884718419365715e-37,4.439806673634567e-36,3.705204094459303e-37,1.942219295508441e-52,3.46113139642066e-52,7.998131698842627e-42,3.1969016270642587e-37,4.4652073192821226e-58,2.8541497494577846e-14,4.0678355256632374e-60,1.1162873505292457e-57,3.0425830679107685e-57,1.6809382611475728e-22,3.851046610406317e-37,1.750961140816517e-55,2.8489009820470655e-51,5.6313559902351955e-53,3.007480272670985e-65,1.0622453575997276e-51,2.187113228273157e-33,1.2185675038601927e-80,9.872382317553678e-52,4.9560531446891086e-64,1.0941763377784962e-56,9.186159982900312e-61,1.6648251752330245e-71,8.736584838365857e-53,5.323408604410025e-38,3.334517513298513e-66,3.813456493473882e-53,1.3686280032547219e-56,1.3446842172344536e-34,4.772085571164399e-54,8.112593508844953e-72,3.713817606551435e-77,1.0293427678117037e-74,1.9181154676021142e-75,4.2457868700444195e-92,3.7069250491493543e-90,8.084795800837443e-72,1.0159284211268191e-84,9.989898585094658e-26,5.496055948106797e-85,1.0754227808841163e-34,1.2953713114414395e-68,8.223842545196222e-35
1.2539612652650674e-20,0.8606671002228476,4.596722138009611e-28,2.2342735402314733e-24,9.367235661265569e-33,1.7158388911129748e-18,0.0,0.0,1.6720319841767765e-18,1.021784462719307e-33,2.160893244394527e-46,1.03552820933413e-31,7.099912874143458e-53,1.3898626528929969e-58,1.3849308142508469e-39,1.555285610921614e-43,8.59266041844908e-50,1.5752591801817517e-57,3.570533871831655e-82,6.114234170154532e-76,5.5830777661869305e-95,8.931725359853558e-99,3.975944237322406e-51,1.1735934459785417e-95,2.0156320763892125e-66,2.769072976839925e-94,2.034436342864584e-101,7.330090637693786e-105,4.2689453501648373e-113,1.7484208557369753e-109,1.3995515572711472e-69,8.384550333821924e-106,1.3305745387612673e-112,4.4081402275919916e-117,3.76,0.0,0.9836590725613784,0.9999999999999425,2.4283862903700446e-45,2.79409215188339e-63,1.3144058214913692e-16,1.3144058214913993e-16,1.672031984633702e-18,2.7365496986463545e-36,3.217807763103563e-35,2.747711551689225e-30,3.3835396590825327e-22,3.0474510876860496e-34,5.939549242541059e-34,2.7624167576579227e-34,5.597397057278652e-38,3.907135564287734e-42,1.7158388911129748e-18,5.339232072387567e-38,6.907014860749636e-38,9.356818799210225e-34,1.7098842472074928e-57,1.166049307888235e-36,1.7946408438726838e-35,1.4977027360970228e-36,1.579375804114478e-51,2.814485351426569e-51,3.2329727171212407e-41,1.292238751718803e-36,3.6160406554931234e-57,5.748498791101307e-14,3.2942386744552547e-59,9.039984381797718e-57,2.4639626526839544e-56,3.38555170907187e-22,1.5566546128642236e-36,1.417973728565884e-54,2.3166764716414896e-50,4.5793225386744305e-52,4.896896346131383e-64,8.602338311511881e-51,8.840661357998993e-33,3.9705200730618004e-79,8.028055340195437e-51,4.0309037636237066e-63,8.860923994110892e-56,7.439190969079202e-60,2.714085215813949e-70,7.10442151193794e-52,2.1518069709931725e-37,2.707086905647286e-65,3.101036349444444e-52,1.1083504411283166e-55,5.435428602556845e-34,3.8645586202028175e-53,1.315086367322425e-70,6.020258379500676e-76,1.66869000884572e-73,3.1231504134962062e-74,1.377179826327875e-90,1.2023925250409501e-88,1.3180257652505441e-70,3.3102509102612844e-83,2.0120499967130448e-25,1.790807684641165e-83,4.3470308256117145e-34,2.1091368643041888e-67,3.324208644684831e-34
2.5166914904270936e-20,0.8606671002228476,9.280958714223834e-28,4.4841713736514445e-24,3.7665242608072194e-32,3.443676655590375e-18,0.0,0.0,3.3557564997112973e-18,4.108550384880867e-33,1.7392748765520718e-45,4.163813385564949e-31,5.7146275595688755e-52,1.1186823783655298e-57,5.568745892631092e-39,6.253735360512162e-43,6.930291916289818e-49,1.2679057017214996e-56,1.1539348498039612e-80,9.846785639729308e-75,1.8092296326306593e-93,2.894378976723564e-97,1.6031078551936255e-50,7.635997557995337e-94,3.2532382968558944e-65,9.034152613622763e-93,1.3237157060235276e-99,4.769358605935148e-103,5.5846659804230405e-111,1.1377873913277653e-107,2.260279503221022e-68,5.455447878239297e-104,8.659961420325269e-111,5.7509059875601035e-115,3.76,0.0,0.9836590725613783,0.9999999999998846,1.9545765513279394e-44,4.5096759968929125e-62,2.6380032920840185e-16,2.6380032920841383e-16,3.3557565006283496e-18,1.1003545980519869e-35,1.2938663490799456e-34,1.1048427300595416e-29,6.790740434677008e-22,1.225366679180911e-33,2.3882666273495023e-33,1.1107556287039159e-33,2.25068873848534e-37,1.5710420274560673e-41,3.4436766555903747e-18,2.14688173352393e-37,2.777280297351743e-37,3.762335686378148e-33,1.3762635997457004e-56,4.6886329831215555e-36,7.216171901945908e-35,6.022196830486534e-36,1.2738219445565664e-50,2.2699648184601606e-50,1.2999641147064667e-40,5.19603518593677e-36,2.9105041080016798e-56,1.1537196874206648e-13,2.6514898775134185e-58,7.276165891614475e-56,1.98321150278094e-55,6.794778604920461e-22,6.25923973417139e-36,1.1413086176753224e-53,1.868482509798064e-49,3.693388478832917e-51,7.903605955842291e-63,6.923910259563162e-50,3.5547910494098314e-32,1.2820561189037565e-77,6.47491667093511e-50,3.2522530471973187e-62,7.132042643770672e-55,5.987708807512083e-59,4.3832548732470185e-69,5.72996370397181e-51,8.652321987495345e-37,2.1896974812936698e-64,2.5010969099933068e-51,8.92096859354043e-55,2.1855619351936143e-33,3.1105329865412638e-52,2.1179060527188918e-69,9.695440526011667e-75,2.687438841434753e-72,5.040774662852853e-73,4.436879135849855e-89,3.8737644900066056e-87,2.1286151315179508e-69,1.068859332403159e-81,4.0381702731105252e-25,5.782406106847151e-82,1.7479219760173526e-33,3.404123945358756e-66,1.3366496756164887e-33
5.0421519407511453e-20,0.8606671002228476,1.8816119861262823e-27,8.983967048611717e-24,1.5105446905078673e-31,6.899352184545176e-18,0.0,0.0,6.723205530779935e-18,1.647712463744337e-32,1.395658552727088e-44,1.669875398731059e-30,4.5856287218780886e-51,8.976721564817117e-57,2.2333161711914252e-38,2.5080278437437952e-42,5.566787351931433e-48,1.0174145865513086e-55,3.71088154426676e-79,1.5806271685937972e-73,5.826008213899592e-92,9.320363148861559e-96,6.464456795532008e-50,4.927404143159926e-92,5.227866606821562e-64,2.9483037089483275e-91,8.54177974014937e-98,3.077610523829353e-101,7.226398084489384e-109,7.344187857638736e-106,3.6333332873430066e-67,3.5203358155403028e-102,5.611363877597594e-109,7.431364043962802e-113,3.76,0.0,0.9836590725613781,0.9999999999997689,1.568424587518036e-43,7.246928260548678e-61,5.285198233269143e-16,5.285198233269621e-16,6.723205532617253e-18,4.4129140838841217e-35,5.18898275542805e-34,4.4309135005253605e-29,1.3605141985910708e-21,4.9142684421511416e-33,9.578017354110994e-33,4.454626868699513e-33,9.026268486469736e-37,6.300581205945645e-41,6.899352184545174e-18,8.609955967856535e-37,1.1138136161347747e-36,1.5088648848139012e-32,1.1043648663878105e-55,1.880351531120747e-35,2.8940076837813555e-34,2.415170278361372e-35,1.0232023180042789e-49,1.8233513779802292e-49,5.2134375574840074e-40,2.0838425079148286e-35,2.3354962495791056e-55,2.3114593039690517e-13,2.1276536417437105e-57,5.838664891543104e-55,1.5914023326754772e-54,1.3613232396617632e-21,2.510235084743337e-35,9.158282885769482e-53,1.5008663686158772e-48,2.9667300640495723e-50,1.2700879010057185e-61,5.556001930564838e-49,1.425630202728696e-31,4.1210536328693624e-76,5.2010048731591386e-49,2.6142934804716586e-61,5.723015113311114e-54,4.804760381787913e-58,7.045954190924742e-68,4.602614618077319e-50,3.469968740844097e-36,1.7744243589875402e-63,2.0090165555255546e-50,7.158515473736935e-54,8.765080876505121e-33,2.496006827175294e-51,3.3997082600514236e-68,1.5563329260592864e-73,4.3139866228377865e-71,8.100387408025905e-72,1.4246066161568685e-87,1.2438000570194351e-85,3.421686655362654e-68,3.43575181291528e-80,8.090410825866777e-25,1.8587022323952272e-80,7.009948900840566e-33,5.470310689350099e-65,5.3605630303168474e-33
