Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145)
0.0,0.20609604373848486,3.76,0.0,0.7413797681894384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.175424578365302e-23,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999998,7.781557877935808e-53,0.0,1.64735794532443e-38,8.070603230981108e-20,8.070603230981105e-20,1.9974356707201104e-21,2.2608258767478863e-40,2.730563182938336e-39,6.157917732572436e-32,3.60428011375736e-35,1.69144606949052e-22,5.618118301912824e-50,1.9974356706585668e-21,7.548462149456561e-41,1.9876675375004546e-28,6.970655281173673e-38,1.659994093765165e-38,3.6624828177781026e-49,6.017557060470776e-44,1.249195327405232e-48,1.69144606949052e-22,9.972844407845973e-45,4.452868994211647e-39,1.201486153622968e-64,4.224852040898551e-38,7.215888649052745e-39,4.334217685669023e-55,1.0160785906615941e-44,3.0702800986865155e-42,9.48603659871608e-40,3.391164799370748e-16,5.493849017254022e-41,2.638953896296007e-66,1.5705639738020518e-48,1.6430736717243208e-58,3.867315048919353e-58,1.8932343940613476e-42,5.946933116326579e-75,3.206513955355814e-65,3.621181950250516e-63,5.519538396066612e-65,1.0739293278031513e-67
2.009118881942285e-22,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999991,9.238265512689477e-52,0.0,9.950041989764357e-38,2.25976890467471e-19,2.259768904674708e-19,5.592819878016307e-21,1.3655388295572435e-39,1.6492601624943055e-38,1.7253849858659654e-31,2.17698518870944e-34,4.736048994573457e-22,6.669830048030887e-49,5.592819877843986e-21,4.559271141548177e-40,5.565469106518791e-28,4.21027578982887e-37,1.0026364326341966e-37,2.2121396223926257e-48,3.634604464524491e-43,7.545139778120471e-48,4.736048994573457e-22,6.023598022341317e-44,2.689532872503455e-38,1.426404361683753e-63,2.5518106327027217e-37,4.358396744027857e-38,5.1455832364262586e-54,6.137114687596408e-44,1.854449179623574e-41,5.7295661056245074e-39,9.495261438232195e-16,3.3182848064196278e-40,3.1329660656852037e-65,9.486206502454976e-48,2.4830119452074517e-57,5.844283964849319e-57,1.143513574013057e-41,1.6771295874870903e-73,3.8067733678022813e-64,4.299067211337415e-62,6.552795983810256e-64,1.274968897968461e-66
4.592271730153794e-22,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999979,9.070183862534632e-51,0.0,4.790516905010641e-37,5.165186067827909e-19,5.165186067827898e-19,1.2783588292608687e-20,6.574481649605657e-39,7.94047773597794e-38,3.949243494066141e-31,1.0481246570806321e-33,1.082525484473933e-21,6.548478692709539e-48,1.2783588292214815e-20,2.195092797976587e-39,1.2721072250625536e-27,2.0270665557652614e-36,4.827262824669655e-37,1.0650500040788594e-47,1.74990559318511e-42,3.6326600129667747e-47,1.082525484473933e-21,2.900103153805066e-43,1.2948943035161774e-37,1.4004522609750164e-62,1.228586973493295e-36,2.0983804191445367e-37,5.0519641344157995e-53,2.954756541644471e-43,8.928374527234155e-41,2.7585394429066286e-38,2.1703454715931487e-15,1.597611294214767e-39,3.075964661530406e-64,4.567200183975364e-47,2.6711106043954735e-56,6.287013126077188e-56,5.505525617930448e-41,3.648122646645315e-72,3.737512666374274e-63,4.2208496812120104e-61,6.433573954455159e-63,1.2517720244889128e-65
9.758577426576812e-22,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999954,8.022474909863275e-50,0.0,2.0921445905694657e-36,1.0976020394134306e-18,1.097602039413426e-18,2.7165125121793414e-20,2.8712488634933794e-38,3.4678152423247217e-37,8.415648842397424e-31,4.577435744471765e-33,2.300366654507108e-21,5.792055244539947e-47,2.7165125120956435e-20,9.586546980594234e-39,2.7032278563119315e-27,8.852732207090119e-36,2.1081924990823343e-36,4.651353185430438e-47,7.642297466800019e-42,1.5864780666981778e-46,2.300366654507108e-21,1.2665512397999796e-42,5.655143622642908e-37,1.2386841655886477e-61,5.365562091941122e-36,9.164178584296963e-37,4.468405065217307e-52,1.2904198101407924e-42,3.899255725594101e-40,1.204726648036935e-37,4.611984127123566e-15,6.97718825188468e-39,2.720655908941473e-63,1.994616398483694e-46,2.4552107140558838e-55,5.7788479032787635e-55,2.4044076804579617e-40,6.763004164097546e-71,3.3057876274375127e-62,3.733293743430288e-60,5.690423304808657e-62,1.1071781797950702e-64
2.0091188819422846e-21,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999906,6.743373552141328e-49,0.0,8.734291826177083e-36,2.25976890467471e-18,2.2597689046746905e-18,5.59281987801627e-20,1.1986898798729364e-37,1.4477445995876369e-36,1.7423212866783715e-30,1.9109893163140784e-32,4.736048994573457e-21,4.8685714305446465e-46,5.592819877843954e-20,4.002194677347827e-38,5.5654691285228e-27,3.6958414300778803e-35,8.801288685148074e-36,1.9418483961269924e-46,3.1905087534635147e-41,6.623233633910456e-46,4.736048994573457e-21,5.2876021050716735e-42,2.3609111407257204e-36,1.0411886781244121e-60,2.2400165520843782e-35,3.825864161727743e-36,3.7559636989177524e-51,5.3872486876928565e-42,1.6278625085595936e-39,5.029496604639198e-37,9.495261438146636e-15,2.912838748922947e-38,2.2868752232969026e-62,8.327131549140524e-46,2.1004844099328662e-54,4.943925926133372e-54,1.0037928757313717e-39,1.1623875899066928e-69,2.7787136895311174e-61,3.13805833917592e-59,4.783143661416666e-61,9.306499726105379e-64
4.075641160511492e-21,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999808,5.528625055557392e-48,0.0,3.568243203947218e-35,4.58410263519727e-18,4.584102635197191e-18,1.1345434609690064e-19,4.8970392822505475e-37,5.914509076718679e-36,3.5737354226451145e-30,7.807014897602371e-32,9.607413674706155e-21,3.991549005456658e-45,1.1345434609340517e-19,1.6350271341186006e-37,1.1289951711792999e-26,1.5098718165230032e-34,3.595613606863476e-35,7.933084334506853e-46,1.303426929527825e-40,2.7058070537388604e-45,9.607413674706155e-21,2.1601579901438859e-41,9.645092356177366e-36,8.536293853249329e-60,9.151198514667616e-35,1.5629903449394016e-35,3.079365966141253e-50,2.2008668705209342e-41,6.6503495069571e-39,2.0547134714282414e-36,1.9261816060041714e-14,1.1899896725120084e-37,1.8749184752656617e-61,3.4019055389382433e-45,1.736721111138329e-53,4.087733514659834e-53,4.100821426913026e-39,1.926572160959203e-68,2.2781573655251484e-60,2.572769819955577e-58,3.9215101589969923e-60,7.630030750539645e-63
8.208685717649906e-21,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999613,4.477223909343319e-47,0.0,1.4423409543595452e-34,9.232770096242388e-18,9.23277009624207e-18,2.28506640730374e-19,1.9794615748825577e-36,2.3907391336516355e-35,7.356169018936527e-30,3.155720245039518e-31,1.9350143034971554e-20,3.232459872515032e-44,2.285066407233341e-19,6.60904125635228e-37,2.2738917033727227e-26,6.1031432901182586e-34,1.4534045088115041e-34,3.206679548777389e-45,5.268660049194323e-40,1.0937304760789114e-44,1.9350143034971554e-20,8.731703975821092e-41,3.898700542107143e-35,6.912912097377363e-59,3.6990607547044142e-34,6.317856874900673e-35,2.4937503973352236e-49,8.896255779001064e-41,2.688177601488428e-38,8.305480371932205e-36,3.879492530322764e-14,4.810128519183665e-37,1.5183575918555635e-60,1.3751050904150092e-44,1.4122727575730937e-52,3.3240769880840366e-52,1.6576175872519414e-38,3.136923313996796e-67,1.844910899881648e-59,2.083495703762123e-57,3.175740598772058e-59,6.1789967237710515e-62
1.6474774831926735e-20,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999999222,3.603659312027106e-46,0.0,5.799589541210699e-34,1.853010501833262e-17,1.8530105018331348e-17,4.586112299973107e-19,7.95932793332401e-36,9.613056907707608e-35,1.5399457508950936e-29,1.268901231168319e-30,3.883560175550235e-20,2.601764923052941e-43,4.586112299831828e-19,2.6574665517575764e-36,4.5636848299171006e-26,2.454047074356054e-33,5.844075606893224e-34,1.289391760496129e-44,2.1185050333777246e-39,4.3978421630173575e-44,3.8835601755502346e-20,3.5109797653384577e-40,1.5676503408582766e-34,5.564113092535576e-58,1.487376060406312e-33,2.540382462453485e-34,2.007187271156624e-48,3.5771453215963762e-40,1.0809043911961621e-37,3.3395971287240163e-35,7.786114378718256e-14,1.9341315217783545e-36,1.2221062841169386e-59,5.529240947596494e-44,1.1390491391848477e-51,2.680988506420938e-51,6.665207413671304e-38,5.063006860868199e-66,1.4849447959438064e-58,1.6769786024174759e-56,2.5561123170789563e-58,4.973394123982281e-61
3.3006953060480396e-20,0.20609604373848486,3.76,0.0,0.7413797681894384,0.999999999999844,2.8917096475430694e-45,0.0,2.3258947991605617e-33,3.7124774862513084e-17,3.712477486250799e-17,9.188204085311436e-19,3.192046491390089e-35,3.855265774326294e-34,3.339971967870505e-29,5.088861466929995e-30,7.780651919656395e-20,2.0877524973178072e-42,9.188204085028436e-19,1.0657630497818286e-35,9.14327133163599e-26,9.841826367539199e-33,2.343735701046004e-33,5.17103779388716e-44,8.496152708422862e-39,1.7637314238900202e-43,7.78065191965639e-20,1.4080599183809976e-39,6.2869790154725296e-34,4.4648503841770735e-57,5.96504324743092e-33,1.0188069888264626e-33,1.6106413768640398e-47,1.4345952657065974e-39,4.334910060393815e-37,1.3393278157504631e-34,1.5599358074542462e-13,7.756732463223077e-36,9.806633275451387e-59,2.2174760160705755e-43,9.149462115892164e-51,2.153515763807298e-50,2.6730462815709205e-37,8.136116093294553e-65,1.1915746803458612e-57,1.3456697160167332e-55,2.0511191561238274e-57,3.99083557127568e-60
