Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71)
0.0,0.2773037096406075,3.76,0.0,0.583704801944428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3764628065954173e-22,0.2773037096406075,3.76,0.0,0.583704801944428,0.9999999999999997,5.4596359482438525e-53,0.0,1.177773570669604e-38,3.318043744075077e-20,3.318043744075075e-20,1.0745349197250824e-21,8.689830635932385e-41,1.055918237564325e-39,2.075835381595326e-32,1.8787417946238244e-35,7.119530758304867e-23,4.426214977454069e-50,1.074534919704343e-21,4.1477756732014233e-41,6.107741701767058e-29,4.709633125696685e-38,1.1847743847008337e-38,5.483130085702409e-50,1.5592065722553967e-44,3.356134515602439e-49,7.119530758304867e-23,2.7729041950116627e-45,2.5098787906365864e-39,4.072043601777661e-65,2.659417490033731e-38,2.944846547727718e-39,2.4383345602738344e-55,2.491508219682575e-45,9.560814814179979e-43,3.4352612527465226e-40,3.674234584176516e-16,1.7388973864249355e-41,5.552816643557942e-67,2.592077804763928e-49,3.7229370698935475e-59,9.441597606180341e-59,4.5143386807225145e-43,1.7365386864032037e-75,5.08790090203501e-66,4.429505183208341e-64,6.507889227150866e-66,1.1741367993538162e-68,6.808032588180478e-81,1.5484918870132177e-43,3.113258520505736e-63,3.0790391362202215e-59,8.118131790109408e-60,1.417942465771042e-74,5.893859405433604e-62,1.0059896321273541e-61
3.8540958584671687e-22,0.2773037096406075,3.76,0.0,0.583704801944428,0.999999999999999,6.4816797977575406e-52,0.0,7.11375236684733e-38,9.290522483410215e-20,9.290522483410204e-20,3.008697775230229e-21,5.248657704111435e-40,6.377746154886244e-39,5.818427204633105e-32,1.134760043952786e-34,1.9934686123253628e-22,5.254802421233454e-49,3.0086977751721584e-21,2.505256509194989e-40,1.7101676774400846e-28,2.844618407920776e-37,7.156037283593288e-38,3.311810572461173e-49,9.417607696423205e-44,2.027105247597584e-48,1.9934686123253628e-22,1.6748341337877157e-44,1.515966789544236e-38,4.834330164409529e-64,1.606288163980372e-37,1.7786873148275405e-38,2.894790789957094e-54,1.504870964688403e-44,5.77473214784123e-42,2.0748977966588974e-39,1.0287856835684984e-15,1.0502940213998202e-40,6.592303919238646e-66,1.56561501683697e-48,5.626100762266902e-58,1.4268137197256432e-57,2.7266605631564088e-42,4.897315251699411e-74,6.0403559509045135e-65,5.258708553504949e-63,7.726166090473479e-65,1.3939352081952223e-67,1.522937554456997e-79,9.352890997550747e-43,3.696060515544398e-62,3.655435262520637e-58,1.226806408723437e-58,3.998806862133291e-73,8.906510180062991e-61,1.520248091009271e-60
8.809361962210672e-22,0.2773037096406075,3.76,0.0,0.583704801944428,0.9999999999999977,6.363751661280594e-51,0.0,3.4249655435115915e-37,2.123547996208049e-19,2.1235479962080435e-19,6.877023486240516e-21,2.527002748941549e-39,3.070610234833639e-38,1.3327963395373436e-31,5.463381138766024e-34,4.556499685315115e-22,5.1591961777204133e-48,6.877023486107785e-21,1.2061731696389678e-39,3.908954695748076e-28,1.3695613129525643e-36,3.445323910710406e-37,1.5944942299477253e-48,4.534172712119588e-43,9.75963917392792e-48,4.556499685315115e-22,8.063605399103797e-44,7.298727523167269e-38,4.7463740233855436e-63,7.733586061018064e-37,8.563613760792192e-38,2.8421227634551727e-53,7.245305902838803e-44,2.780284948078322e-41,9.989739722986856e-39,2.3515101338664887e-15,5.056713599711101e-40,6.472363079751165e-65,7.537762591144132e-48,6.052301868170697e-57,1.5349009147027034e-56,1.3127696883541228e-41,1.0652729087313483e-72,5.930457291437567e-64,5.163031241547661e-62,7.585595683166958e-64,1.3685738533338888e-66,3.009074952615319e-78,4.5030144074208087e-42,3.6288141315014496e-61,3.588928017178257e-57,1.319740401149487e-57,8.698264777154014e-72,9.581117340357291e-60,1.6354123388493779e-59
1.8719894169697677e-21,0.2773037096406075,3.76,0.0,0.583704801944428,0.999999999999995,5.628666277217356e-50,0.0,1.4957724347549262e-36,4.512539491942103e-19,4.51253949194208e-19,1.4613674908261067e-20,1.103608490776238e-38,1.341016161703161e-37,2.844444595551319e-31,2.3860020791721973e-33,9.682561831294618e-22,4.5632505931559415e-47,1.4613674907979017e-20,5.267675144976409e-39,8.306528747488992e-28,5.9812340696344637e-36,1.5046634685704532e-36,6.963575219345601e-48,1.98019234676527e-42,4.262290837433164e-47,9.682561831294618e-22,3.5215883276749344e-43,3.1875460641044094e-37,4.198114074089373e-62,3.377460212342811e-36,3.739955115614191e-37,2.5138253982598933e-52,3.1642154389987884e-43,1.2142234815194674e-40,4.3627817909880507e-38,4.996959034447653e-15,2.2083996807466365e-39,5.7247318468840314e-64,3.2919391550692295e-47,5.5631079198091205e-56,1.4108383170523878e-55,5.733210124517754e-41,1.974836344497712e-71,5.245422314014919e-63,4.5666426636805136e-61,6.709373477623264e-63,1.210488074676459e-65,5.354493809201073e-77,1.9665846964927038e-41,3.2096450043005156e-60,3.174366187877527e-56,1.2130680927534584e-56,1.61251069357326e-70,8.806661312949305e-59,1.5032252667772984e-58
3.854095858467169e-21,0.2773037096406075,3.76,0.0,0.583704801944428,0.9999999999999897,4.731233158601752e-49,0.0,6.244555471731007e-36,9.290522483410214e-19,9.290522483410114e-19,3.0086977752302075e-20,4.6073482032867774e-38,5.5984784955342666e-37,5.906705179042906e-31,9.961088995094984e-33,1.9934686123253625e-21,3.8356870800218655e-46,3.0086977751721395e-20,2.1991506979409367e-38,1.710167691147056e-27,2.4970474832440904e-35,6.281673787687375e-36,2.907155580852782e-47,8.266913246106323e-42,1.779422522518746e-46,1.9934686123253625e-21,1.4701938042042567e-42,1.3307377347918684e-36,3.5287678369392e-61,1.4100231532158596e-35,1.5613576396052258e-36,2.1130217165803066e-51,1.3209976580774184e-42,5.069144015545717e-40,1.8213755162061765e-37,1.0287856835550724e-14,9.219633942707723e-39,4.811982058315949e-63,1.3743199595024252e-46,4.7593558662189004e-55,1.2070018591859273e-54,2.393502368519221e-40,3.394239030162347e-70,4.4090935153844845e-62,3.8385383196854904e-60,5.639632678020951e-62,1.0174881641576288e-64,9.031141081765948e-76,8.210103984817336e-41,2.697900021733801e-59,2.668246050822133e-55,1.0378050230266745e-55,2.771493114627894e-69,7.534270352586967e-58,1.286040700246964e-57
7.818308741461971e-21,0.2773037096406075,3.76,0.0,0.583704801944428,0.9999999999999791,3.87895079251448e-48,0.0,2.551104665047704e-35,1.8846488466346432e-18,1.8846488466346027e-18,6.103358344038371e-20,1.882252075163227e-37,2.2871611392669203e-36,1.2187082631880608e-30,4.069429876826539e-32,4.0438934707171645e-21,3.144728010654091e-45,6.103358343920583e-20,8.984248324061999e-38,3.469197348143265e-27,1.0201253735581578e-34,2.566268708240404e-35,1.1876679170370063e-46,3.3773038037750177e-41,7.269521626000096e-46,4.0438934707171645e-21,6.006221402639731e-42,5.436497855639571e-36,2.893097075695897e-60,5.760404660112458e-35,6.37865541624006e-36,1.732382866647411e-50,5.39670646417575e-42,2.070910732914451e-39,7.440913283898828e-37,2.0869652437519827e-14,3.7665212947925677e-38,3.945153619183473e-62,5.614546805649068e-46,3.9351274347639404e-54,9.97972468800487e-54,9.778238155993415e-40,5.62570221340603e-69,3.614841250205617e-61,3.1470656291952065e-59,4.62371160169595e-61,8.341982710451007e-64,1.4833680100768563e-74,3.3540953668388017e-40,2.2119014380709513e-58,2.1875893211001173e-54,8.580771567346766e-55,4.593545982576535e-68,6.229475025506938e-57,1.0633232565059391e-56
1.5746734507451575e-20,0.2773037096406075,3.76,0.0,0.583704801944428,0.9999999999999579,3.14127492040995e-47,0.0,1.0311972942810222e-34,3.795842043221888e-18,3.795842043221723e-18,1.229267948165455e-19,7.608363834433227e-37,9.245071010408337e-36,2.5371262680974054e-30,1.6449286207989311e-31,8.144743187500767e-21,2.546682275606962e-44,1.2292679481417335e-19,3.631576945909195e-37,6.987256758935259e-27,4.1235098639354525e-34,1.0373268429785217e-34,4.800743645633801e-46,1.3651601959307696e-40,2.93845687915733e-45,8.144743187500766e-21,2.4278107221970746e-41,2.1975193553588638e-35,2.34290502666044e-59,2.328447664563884e-34,2.5783545051698385e-35,1.4029285604699458e-49,2.1814350387385575e-41,8.370952296360228e-39,3.0077361193195076e-36,4.2033243640509896e-14,1.522488128807897e-37,3.1948876859358975e-61,2.2694906722064762e-45,3.1999802642134774e-53,8.115346339630692e-53,3.952520203230239e-39,9.159997640950413e-68,2.9273921656400606e-60,2.5485753397087872e-58,3.7444015328714655e-60,6.755553879804468e-63,2.4046037692303173e-73,1.3557789746023795e-39,1.791255131967092e-57,1.7715665493099284e-53,6.977740515463636e-54,7.479398355719224e-67,5.065703498025998e-56,8.646767876308896e-56
3.1603586039430784e-20,0.2773037096406075,3.76,0.0,0.583704801944428,0.9999999999999156,2.5283713407537184e-46,0.0,4.146398966715457e-34,7.618228436396375e-18,7.618228436395713e-18,2.46713217568863e-19,3.059289635354592e-36,3.717402391895164e-35,5.423332335283239e-30,6.614185637641968e-31,1.6346442621067975e-20,2.0497914517587367e-43,2.467132175641031e-19,1.460241220271027e-36,1.402337596771755e-26,1.6580451804323764e-33,4.17104561233476e-34,1.9303579321768756e-45,5.489249105934235e-40,1.1815405939627012e-44,1.634644262106797e-20,9.762120135217132e-41,8.836128677381561e-35,1.8857738034948285e-58,9.362585650361981e-34,1.0367450065136779e-34,1.1291989574924565e-48,8.771454347817907e-41,3.365923104621585e-38,1.2093974650742585e-35,8.436042604269742e-14,6.121857804141909e-37,2.5715235587591506e-60,9.12553089833846e-45,2.5809000052449426e-52,6.545320806579173e-52,1.5892909899038974e-38,1.4784273086601644e-66,2.3562198924872975e-59,2.0513151544413436e-57,3.0138201092252525e-59,5.4374574829736285e-62,3.872540483100268e-72,5.4515276271895506e-39,1.441757965881303e-56,1.4259108816908646e-52,5.627800345747922e-53,1.2071778720406227e-65,4.085672539093054e-55,6.973931442147845e-55
6.331728910338921e-20,0.2773037096406075,3.76,0.0,0.583704801944428,0.9999999999998309,2.0288587697957547e-45,0.0,1.6628914379724922e-33,1.5263001222745354e-17,1.5263001222742695e-17,4.942860630734741e-19,1.2269119741141487e-35,1.49084462396302e-34,1.2193224699122925e-29,2.6525842673762018e-30,3.2749841488202386e-20,1.6448285486791506e-42,4.942860630639414e-19,5.856221224893238e-36,2.809561593407537e-26,6.649502752359153e-33,1.6727758451289806e-33,7.741598895914827e-45,2.2014344041651824e-39,4.738506292127325e-44,3.274984148820237e-20,3.915046795923128e-40,3.5436828050609857e-34,1.5132147313194558e-57,3.754815597672583e-33,4.157811171657027e-34,9.061110489212213e-48,3.517745506398313e-40,1.3498857119826345e-37,4.850224751183965e-35,1.6901479083190208e-13,2.45513878597537e-36,2.0634857072818005e-59,3.659753034759689e-44,2.0731192375458422e-51,5.257557615707614e-51,6.373767697286585e-38,2.37579299266479e-65,1.8907180745246284e-58,1.6460512241234685e-56,2.4184008338912223e-58,4.3632171919417726e-61,6.216285308118157e-71,2.1863064037459252e-38,1.1569199688740846e-55,1.1442036818258024e-51,4.520555224404294e-52,1.93990240244796e-64,3.2818340328278134e-54,5.601840952802401e-54
