Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63)
7.504936771486389e-19,0.21723896133906273,3.76,0.0,0.7108211622676743,0.999999999999382,1.6809068761250254e-43,0.0,1.292521630032498e-32,5.253945172160484e-18,5.253945172151905e-18,3.4460434866781144e-19,5.782209915561587e-35,7.005186512065469e-34,9.085777733885683e-30,8.551266161795914e-30,2.4598174100525093e-21,3.5307196265157377e-41,3.4460434866743304e-19,2.9532900972485444e-36,5.32477968318582e-28,1.4415411037478762e-31,1.2930084742041855e-32,7.400081982217515e-47,4.311064621255437e-40,4.924019483906488e-45,2.4598174100525003e-21,3.1926503957637196e-41,9.671480721569099e-34,4.8728720441851173e-57,2.724353351632246e-32,1.0097976583196456e-33,1.3841190330505283e-46,2.0773201298842708e-41,3.350876218846816e-38,3.1099064431243215e-35,6.179597442582008e-13,6.328124303235198e-37,1.5640531159435966e-60,5.232336018625653e-46,9.16709755171369e-51,2.9936430280608527e-50,1.9444554244085952e-38,3.73506782538661e-63,3.0199404578464882e-59,2.835884941179824e-57,3.520704210757841e-59
1.5013132308396783e-18,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999987638,1.345236363170967e-42,0.0,5.171770108984896e-32,1.0510171692637147e-17,1.0510171692602817e-17,6.893583301394831e-19,2.313637162661793e-34,2.8029870680537075e-33,3.52861713705883e-29,3.4216203186966147e-29,4.920702912771129e-21,2.8256487589697515e-40,6.893583301390375e-19,1.1817148516783053e-35,1.0652436030020688e-27,5.768042109194036e-31,5.173718118474846e-32,2.9610033153352653e-46,1.7249873932188978e-39,1.970249772212589e-44,4.920702912771095e-21,1.277476023446654e-40,3.869852056007913e-33,3.899779700350432e-56,1.0900962041081725e-31,4.04050595563804e-33,1.1077158884689458e-45,8.311986368391851e-41,1.3407870466209585e-37,1.2443676613205494e-34,1.2361878127535722e-12,2.532073988398128e-36,1.2517178824261791e-59,2.0961149484986025e-45,7.337393512995732e-50,2.3961277613426418e-49,7.780354468203881e-38,5.979352438217935e-62,2.416870198095325e-58,2.2695698362890582e-56,2.8176333825165277e-58
3.002952338221757e-18,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999975273,1.0763934795444023e-41,0.0,2.06904481021276e-31,2.102262473359047e-17,2.1022624733453138e-17,1.3788662930810312e-18,9.256055430468214e-34,1.121377343120807e-32,1.3903011370837664e-28,1.368870929996978e-28,9.842473918208369e-21,2.260948321991491e-39,1.3788662930813857e-18,4.7277419430503763e-35,2.1309442764860274e-27,2.3075924359925375e-30,2.069824139782765e-31,1.1845994296790859e-45,6.901072837576822e-39,7.882286802514291e-44,9.842473918208232e-21,5.110735961573458e-40,1.5481928109780185e-32,3.120418033036877e-55,4.361094644435596e-31,1.616465484201305e-32,8.863410115450874e-45,3.3253358026718776e-40,5.364021952628182e-37,4.978280928822986e-34,2.472643937983983e-12,1.0129944667082481e-35,1.0015645528640374e-58,8.405819938121786e-45,5.871401361999605e-49,1.9173876631949622e-48,3.1126484136109005e-37,9.569559773798633e-61,1.9338633819837058e-57,1.8160006960701096e-55,2.2545348030808406e-57
6.0062305529859144e-18,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999950544,8.611965486568912e-41,0.0,8.27685282909937e-31,4.204753081549712e-17,4.2047530814947736e-17,2.7578822189569448e-18,3.7027236874983746e-33,4.4858744083313997e-32,5.5189061863417045e-28,5.475929356660864e-28,1.9686015929082846e-20,1.8089304018353255e-38,2.7578822189626397e-18,1.8913411363912697e-34,4.263023239922512e-27,9.231120981911147e-30,8.27997039250805e-31,4.7388257262934676e-45,2.7606538161921765e-38,3.1531751409133052e-43,1.96860159290823e-20,2.0444607852515474e-39,6.19327525060602e-32,2.496574273097663e-54,1.7445798334753353e-30,6.466388178165295e-32,7.091401367324104e-44,1.3302425866024118e-39,2.1457839656148375e-36,1.991474439767385e-33,4.945556141403482e-12,4.0523075885641957e-35,8.013278298576865e-58,3.3785991179348277e-44,4.697715782766158e-48,1.534104335945858e-47,1.2451606979694409e-36,1.531337262889726e-59,1.5472376303924189e-56,1.4529385024417983e-54,1.8037990996369797e-56
1.201278698251423e-17,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999901086,6.88989947775324e-40,0.0,3.310875859720813e-30,8.409734297931042e-17,8.409734297711277e-17,5.515914070680047e-18,1.4811498905180187e-32,1.7944227555437092e-31,2.1991021094281067e-27,2.190460873093449e-27,3.9373099950831804e-20,1.4472130227856578e-37,5.515914070711379e-18,7.566396002416509e-34,8.529891632674761e-27,3.6925986455531604e-29,3.312122928961856e-30,1.8956413136526457e-44,1.1043064740868186e-37,1.2613244292950473e-42,3.9373099950829625e-20,8.178176075830073e-39,2.4774109000919734e-31,1.9973587418017355e-53,6.978603295334286e-30,2.5866605232798847e-31,5.673390418168418e-43,5.321186939277321e-39,8.583489595214674e-36,7.966221906996898e-33,9.891380360077192e-12,1.6209889465592607e-34,6.410928696103097e-57,1.364293153222888e-43,3.7584105178776937e-47,1.227361155706432e-46,4.980845464488464e-36,2.4503057907211e-58,1.2378489089110015e-55,1.1624059831898566e-53,1.4431077863189553e-55
2.4025899841570862e-17,0.21723896133906273,3.76,0.0,0.7108211622676742,0.9999999999802169,5.512050438606002e-39,0.0,1.324377294491939e-29,1.68196967306937e-16,1.6819696729814625e-16,1.1031977774011346e-17,5.924721277739938e-32,7.177836868731152e-31,8.779487014317203e-27,8.762021755773597e-27,7.874726799432972e-20,1.1577978994114021e-36,1.1031977774153783e-17,3.027198875471406e-33,1.7074470281736443e-26,1.4770695091945648e-28,1.3248761268440787e-29,7.582990661880226e-44,4.417315871389136e-37,5.045424761833655e-42,7.874726799432099e-20,3.2713371158665704e-38,9.90984516302862e-31,1.5979321311312725e-52,2.791498111367568e-29,1.0346852600848518e-30,4.538820067038445e-42,2.128518138328274e-38,3.433469266834314e-35,3.186553593466083e-32,1.978302804476353e-11,6.48408732636373e-34,5.128867448184467e-56,5.559673831500389e-43,3.0068235736764636e-46,9.819200003764945e-46,1.9923787213146425e-35,3.9206222027608277e-57,9.90302700053634e-55,9.299468597238477e-53,1.1545136325612485e-54
4.805212555968413e-17,0.21723896133906273,3.76,0.0,0.710821162267674,0.9999999999604336,4.4096927221616325e-38,0.0,5.29756311571647e-29,3.3639621596219016e-16,3.3639621592702683e-16,2.206410518021432e-17,2.369913560431801e-31,2.871163804691137e-30,3.508410451355496e-26,3.504844354801222e-26,1.574956040813255e-19,9.262493120243491e-36,2.2064105180818273e-17,1.2113549908285684e-32,3.420699503440916e-26,5.908338138304499e-28,5.299558421476866e-29,3.0334440447059447e-43,1.7669444063016696e-36,2.018209951420206e-41,1.5749560408129067e-19,1.3085482614799598e-37,3.963978345600409e-30,1.2783724119397144e-51,1.1166106032438764e-28,4.138783142223099e-30,3.631099147052739e-41,8.514159625501807e-38,1.3734045373704146e-34,1.2746344035774868e-31,3.956632040349229e-11,2.5936610112145687e-33,4.103147059965745e-55,2.305805140162494e-42,2.4054969229585778e-45,7.855484309483266e-45,7.969595959222705e-35,6.273101866142462e-56,7.922516700716723e-54,7.439663173064938e-52,9.236218678066932e-54
9.610457699591065e-17,0.21723896133906276,3.76,0.0,0.7108211622676737,0.9999999999208671,3.527775171206546e-37,0.0,2.119036062733749e-28,6.727947132726961e-16,6.727947131320421e-16,4.41283599907818e-17,9.479709988513814e-31,1.148471243444155e-29,1.4026873023990586e-25,1.4019448720461577e-25,3.1499227625531704e-19,7.410038464474158e-35,4.4128359993266013e-17,4.849149609717531e-32,6.864551436051683e-26,2.363347274916275e-27,2.1198341539404636e-28,1.2135573510776753e-42,7.067814241479917e-36,8.073036999823516e-41,3.1499227625517756e-19,5.234220499568497e-37,1.5855993683521635e-29,1.022722455215956e-50,4.466465130062094e-28,1.6555216772739703e-29,2.904896554878264e-40,3.405681541662029e-37,5.493668968973981e-34,5.098563546344872e-31,7.913289307837791e-11,1.0374694385703123e-32,3.2825441754654284e-54,9.878574684973092e-42,1.9244127635889645e-44,6.284437172681132e-44,3.187854600317271e-34,1.0037048027153014e-54,6.338052692671821e-53,5.95176585904929e-51,7.38901879311955e-53
1.9220947986836368e-16,0.21723896133906279,3.76,0.0,0.710821162267673,0.9999999998417339,2.8222286061068956e-36,0.0,8.476166114672895e-28,1.3455917078937074e-15,1.34559170733109e-15,8.825686960456283e-17,3.791899663103064e-30,4.5938956977540055e-29,5.609395443644074e-25,5.607793745232326e-25,6.299856206033001e-19,5.928048355757645e-34,8.82568696146365e-17,1.9426287851544647e-31,1.382164323162995e-25,9.453413132793388e-27,8.479358206362244e-28,4.855630585694464e-42,2.8271334203595887e-35,3.2293479192453518e-40,6.299856206027418e-19,2.0936941891797898e-36,6.342413325655086e-29,8.182099229419079e-50,1.7865905951256954e-27,6.622103549666955e-29,2.3239241384235855e-39,1.3622763765219594e-36,2.1974914779656574e-33,2.039430604586399e-30,1.5826599025789073e-10,4.149886365892297e-32,2.626054410268319e-53,4.475687025807261e-41,1.5395363001816044e-43,5.027569631661208e-43,1.2751450848703242e-33,1.605934477180818e-53,5.070459953797328e-52,4.761426819128579e-50,5.911232580168625e-52
3.844192856132698e-16,0.21723896133906284,3.76,0.0,0.7108211622676716,0.9999999996834679,2.2577863873042685e-35,0.0,3.3904710032580145e-27,2.691185697135726e-15,2.691185694885253e-15,1.7651388880270922e-16,1.5167666134354165e-29,1.8375598485528597e-28,2.2434874213829917e-24,2.2431203469173405e-24,1.2599723092992664e-18,4.74244571318177e-33,1.7651388884327757e-16,7.794237118409245e-31,2.801337856062821e-25,3.781370054857032e-26,3.391747616552146e-27,1.9433663186085626e-41,1.1308552332965402e-34,1.2918407359383995e-39,1.2599723092970321e-18,8.37479272432228e-36,2.5369683343041636e-28,6.546161594544237e-49,7.146371464102043e-27,2.6488447877960523e-28,1.8591420679175072e-38,5.449114798267256e-36,8.790123504180405e-33,8.15773278749343e-30,3.165319919361173e-10,1.6599551034181337e-31,2.1008646903747336e-52,2.2096753018043167e-40,1.2316314745914772e-42,4.022063668194862e-42,5.100586840259835e-33,2.569500564170613e-52,4.056378389739779e-51,3.809147113832836e-49,4.7289930909727087e-51
