Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50)
0.0,0.3084035057325985,3.76,0.0,0.8720626045610486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6475558289544362e-23,0.3084035057325986,3.76,0.0,0.8720626045610486,0.9999999999999998,1.1791691333949238e-52,0.0,5.623551951685833e-38,2.4549911628358686e-18,2.4549911628358682e-18,2.6304371934358016e-20,1.4568522438184606e-39,1.5994546097399047e-38,1.6482281880500993e-29,3.6592221198385623e-34,3.6191725410411396e-20,2.1611996594763393e-49,2.6304371917876097e-20,4.038789676120235e-39,2.0141912045597804e-25,4.553814675451116e-38,6.338727466621446e-38,1.5846366922591717e-44,2.7268352706128474e-41,1.2337520418519766e-45,3.6191725410411396e-20,1.8965536066518157e-41,5.697655318220892e-38,6.231423945024802e-63,1.365285636081963e-37,2.0054859869692052e-37,2.5583539937409824e-54,3.3721473647428735e-41,6.958217599826013e-40,8.446466559492652e-38,3.5353633764187973e-16,9.719491085805259e-39,3.308821874697989e-62,3.660047670214057e-44,8.823095088502628e-57,1.2710331386188674e-56,4.478210081403502e-40,1.3355785262147835e-74,1.0658085043524315e-61,1.4920837586994303e-59,2.7861843792885647e-61,3.1161815887423893e-63,2.350293545503627e-76,1.3188424252389947e-40,3.346639300472789e-59,1.2961343771344507e-54
4.6131563210724217e-23,0.3084035057325985,3.76,0.0,0.8720626045610486,0.999999999999999,1.3999095951674785e-51,0.0,3.3966253788206313e-37,6.873975255940434e-18,6.873975255940432e-18,7.365224141620242e-20,8.799387552663951e-39,9.660705842828517e-38,4.6151576196251804e-29,2.210170160382489e-33,1.0133683114915194e-19,2.5657762357303078e-48,7.365224137005306e-20,2.4394289645026616e-38,5.639735372773954e-25,2.7505040639724563e-37,3.828591389839573e-37,9.571205621292212e-44,1.6470085034501613e-40,7.451862332878994e-45,1.0133683114915194e-19,1.1455183784177675e-40,3.4413838122052003e-37,7.397946507617718e-62,8.246325241935054e-37,1.2113135361294003e-36,3.037277861369294e-53,2.036777008304696e-40,4.202763430298942e-39,5.101665801933563e-37,9.899017453971456e-16,5.870572615825925e-38,3.928233329641811e-61,2.2106687928634634e-43,1.3329593865491827e-55,1.9198907845063604e-55,2.7048388891677193e-39,3.7648532829288006e-73,1.2653278563675084e-60,1.7714018383279517e-58,3.307758095091306e-60,3.699530782155947e-62,5.257838698209835e-75,7.965808248442563e-40,3.973130177521292e-58,1.538770732534018e-53
1.0544357305308393e-22,0.3084035057325985,3.76,0.0,0.8720626045610486,0.9999999999999978,1.3744395418880914e-50,0.0,1.635328907553821e-36,1.5711943442149563e-17,1.5711943442149554e-17,1.6834798037989113e-19,4.2365263250247527e-38,4.651214005122879e-37,1.0549491255114951e-28,1.0641017924490503e-32,2.3162704262663297e-19,2.519094323085613e-47,1.6834798027440686e-19,1.1744800380048222e-37,1.2890823709228565e-24,1.3242493076211572e-36,1.8433019472938454e-36,4.608123501158551e-43,7.929636966942177e-40,3.5877509378424674e-44,2.3162704262663297e-19,5.515177888144518e-40,1.656878166538306e-36,7.263347750577314e-61,3.970250629726342e-36,5.831953250106443e-36,2.9820174151044862e-52,9.806204536672258e-40,2.0234496780354492e-38,2.4562324755004627e-36,2.2626325609072064e-15,2.8264280077514877e-37,3.856762777149053e-60,1.0643418625779578e-42,1.4338037469677346e-54,2.0650229704943033e-54,1.302263491672143e-38,8.188084338768065e-72,1.242306392674095e-59,1.7391728291400158e-57,3.247576512498502e-59,3.632221259841059e-61,1.0388891528023273e-73,3.835193772593549e-39,3.9008427686310716e-57,1.5107742299879097e-52
2.2406759273780336e-22,0.3084035057325985,3.76,0.0,0.8720626045610486,0.9999999999999952,1.2156762097708722e-49,0.0,7.141910978678009e-36,3.338787981456783e-17,3.3387879814567784e-17,3.577394583072681e-19,1.8502023496501348e-37,2.0313073543688888e-36,2.242005761545292e-28,4.647212092194935e-32,4.922074655815951e-19,2.2281104009337096e-46,3.5773945808311396e-19,5.129262890626293e-37,2.7393000382242856e-24,5.783344637822633e-36,8.050183882612631e-36,2.0124885992397004e-42,3.4630807936783307e-39,1.5668650932922514e-43,4.922074655815951e-19,2.408623080448868e-39,7.236022254137124e-36,6.424348830896376e-60,1.7339127578240854e-35,2.5469672034508836e-35,2.6375606333871954e-51,4.2826271532234266e-39,8.836936351841492e-38,1.0727012530555653e-35,4.808094191925444e-15,1.2343753678965625e-36,3.4112629999408705e-59,4.648260541988295e-42,1.3178644100725866e-53,1.8980002711343076e-53,5.687326803382489e-38,1.517837464860356e-70,1.098805935649046e-58,1.5382786718686783e-56,2.872444647670811e-58,3.212658570735913e-60,1.848671296698284e-72,1.674929880052026e-38,3.4502512532154016e-56,1.33626269745052e-51
4.613156321072422e-22,0.3084035057325985,3.76,0.0,0.8720626045610486,0.9999999999999901,1.0218491043047042e-48,0.0,2.9816072448171274e-35,6.873975255940435e-17,6.873975255940416e-17,7.365224141620201e-19,7.72423059673168e-37,8.480308340833855e-36,4.616878669356258e-28,1.9401195679383688e-31,1.0133683114915192e-18,1.872861045707611e-45,7.36522413700526e-19,2.1413662880371818e-36,5.639735372869171e-24,2.414432540923924e-35,3.360793302805743e-35,8.40174374299042e-42,1.4457680604789435e-38,6.541353327156029e-43,1.0133683114915192e-18,1.005552722247745e-38,3.020896849717647e-35,5.400052288939202e-59,7.238744442506494e-35,1.0633086702910651e-34,2.2170286373120197e-50,1.7879125327866481e-38,3.6892469714839608e-37,4.4783165698429843e-35,9.899017453954387e-15,5.1532741736875955e-36,2.867372095467307e-58,1.940557275479194e-41,1.1274423377607616e-52,1.6237366094093739e-52,2.3743469851601694e-37,2.6087015575829456e-69,9.236125969391052e-58,1.2930159119486269e-55,2.4144628041404386e-57,2.700433105909653e-59,3.118073521303365e-71,6.992502538603675e-38,2.900144071560864e-55,1.1232093130746557e-50
9.358117108461198e-22,0.3084035057325985,3.76,0.0,0.8720626045610484,0.9999999999999799,8.377736332408485e-48,0.0,1.21808384697115e-34,1.3944349804907738e-16,1.3944349804907661e-16,1.4940883258715157e-18,3.155600234205786e-36,3.4644826628749925e-35,9.369663027951676e-28,7.926021480454802e-31,2.0556900033113673e-18,1.5354846387694006e-44,1.4940883249353418e-18,8.748180004949838e-36,1.1440606042327046e-23,9.863744739611942e-35,1.3729937241826543e-34,3.4323864614352894e-41,5.906434269558344e-38,2.672356273794987e-42,2.0556900033113673e-18,4.108010974160145e-38,1.234134932545318e-34,4.4272891247343225e-58,2.957263299178912e-34,4.3439628672147084e-34,1.817654024096758e-49,7.304206077927447e-38,1.507177765040303e-36,1.8295384426523284e-34,2.008086397798214e-14,2.1052806471443818e-35,2.3508448831927514e-57,7.92780966177272e-41,9.321839291526023e-52,1.3425201797590385e-51,9.699982164723506e-37,4.323674088724899e-68,7.572334092963167e-57,1.060092565346279e-54,1.9795224825317904e-56,2.21397821353049e-58,5.1214606265689916e-70,2.856665446753261e-37,2.377713329190082e-54,9.208748563069363e-50
1.884803868323875e-21,0.3084035057325986,3.76,0.0,0.8720626045610483,0.9999999999999596,6.784508089618475e-47,0.0,4.9236896644265266e-34,2.8085098902842337e-16,2.8085098902842016e-16,3.009220149290477e-18,1.2755440683750804e-35,1.4003992846435925e-34,1.8887385917036468e-27,3.20382460858015e-30,4.140333386951063e-18,1.24347527060304e-43,3.0092201474049406e-18,3.536154235592951e-35,2.3042347381915215e-23,3.9870833314600685e-34,5.549860155966717e-34,1.3874254870731324e-40,2.3874751675146098e-37,1.0802091336120446e-41,4.140333386951063e-18,1.6605237172033956e-37,4.988570718536272e-34,3.58533351979985e-57,1.1953731081002368e-33,1.755899244918855e-33,1.471983354576502e-48,2.9524768809057185e-37,6.09225350348392e-36,7.3952869032305165e-34,4.0444557025917125e-14,8.509880981150354e-35,1.9037751361847156e-56,3.2045474226407826e-40,7.58033642524578e-51,1.0917085285777749e-50,3.920887880352883e-36,7.039936919447749e-67,6.132272474548346e-56,8.584904441729796e-54,1.6030686289390257e-55,1.7929369585939363e-57,8.302120853141065e-69,1.1547098477237643e-36,1.9255339003590827e-53,7.457483339302625e-49
3.782788183279386e-21,0.3084035057325986,3.76,0.0,0.872062604561048,0.9999999999999188,5.460762349633228e-46,0.0,1.9797939589868994e-33,5.636659709871152e-16,5.636659709871023e-16,6.039483796128274e-18,5.128906598487639e-35,5.630943931733475e-34,3.7971448382781826e-27,1.2882437841774312e-29,8.309620154230453e-18,1.0008570776848688e-42,6.039483792344006e-18,1.421872070569076e-34,4.6245830063781243e-23,1.6031886717498026e-33,2.231574359551177e-33,5.578776864125059e-40,9.599932643603936e-37,4.3434734204959535e-41,8.309620154230453e-18,6.6768928344155846e-37,2.005882345383585e-33,2.8857883359038167e-56,4.8065426932515553e-33,7.060393636564085e-33,1.1847802634207622e-47,1.1871779683470445e-36,2.44966833920666e-35,2.9736123381354967e-33,8.117194312130498e-14,3.421785714686176e-34,1.5323238543042899e-55,1.2885344266080526e-39,6.113804616870188e-50,8.804998584305235e-50,1.5765717719985972e-35,1.136245035197925e-65,4.9357863832410954e-55,6.909877964507193e-53,1.2902890963866715e-54,1.443111646291423e-56,1.337031970845185e-67,4.6430375116747506e-36,1.5498372006722243e-52,6.002431377857767e-48
7.578756813190406e-21,0.30840350573259867,3.76,0.0,0.8720626045610474,0.9999999999998374,4.3819178791722557e-45,0.0,7.939859260788641e-33,1.1292959349044983e-15,1.1292959349044466e-15,1.210001108980337e-17,2.0569209419620108e-34,2.258260366731691e-33,7.633404006457563e-27,5.166433755665622e-29,1.664819368878923e-17,8.031247730648968e-42,1.2100011082221608e-17,5.702342990981489e-34,9.265279543827208e-23,6.42950361736958e-33,8.949611277896806e-33,2.2373390408466236e-39,3.850002357567123e-36,1.7419271110756175e-40,1.6648193688789227e-17,2.6777326579532253e-36,8.044485357724383e-33,2.315663402495698e-55,1.927638597869952e-32,2.8315336320855094e-32,9.507115465403665e-47,4.761114631395116e-36,9.824265682446348e-35,1.1925515456547266e-32,1.626267153101522e-13,1.3722891146812674e-33,1.2295933907083707e-54,5.167599378455889e-39,4.9109358330020065e-49,7.072643249143232e-49,6.322757944674469e-35,1.8259123777485275e-64,3.9606577277051183e-54,5.544741897597061e-52,1.0353757402778076e-53,1.1580062121918762e-55,2.1462332235868495e-66,1.8620657070790543e-35,1.2436467482016885e-51,4.816573160805767e-47
