Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20)
0.0,0.09595729295950003,3.76,0.0,0.6877255882378218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.609863889664947e-24,0.09595729295950003,3.76,0.0,0.6877255882378218,0.9999999999999998,1.712550457753249e-52,0.0,6.576377558527975e-38,1.3720805201149363e-18,1.372080520114936e-18,1.8370946691468725e-20,4.111419576303911e-39,4.6272559414771884e-38,5.19813533718004e-30,3.303526374668418e-34,7.994335701466749e-21,1.3078697705255986e-49,1.837094668627092e-20,1.243427284148706e-39,7.894782746081944e-26,1.7775131656276147e-37,6.739313503402203e-38,1.443349183057602e-45,1.0480531892328095e-41,2.2755724879983278e-46,7.994335701466749e-21,2.48492815600358e-42,5.356270586499847e-38,6.29658653922035e-63,1.5135979898837424e-37,1.3137729273628487e-37,3.399299006094295e-54,4.3291107868118375e-42,4.242471998169492e-40,5.100645120164412e-38,3.427772366818705e-16,6.496710789689739e-39,4.1664555527135294e-63,3.7333906007132346e-45,1.7414742408933267e-56,2.6954824762084234e-56,1.9004181746971196e-40,1.5110159167400138e-73,3.7953133084713014e-62,4.210407765979843e-60,7.6010876616905616e-62,7.607237618472501e-64,1.5487334336898124e-78
2.690761889106185e-23,0.09595729295950003,3.76,0.0,0.6877255882378218,0.999999999999999,2.033139903446253e-51,0.0,3.9721320453541935e-37,3.8418254563218214e-18,3.84182545632182e-18,5.1438650736112414e-20,2.4832974240880584e-38,2.794862588651951e-37,1.4555850156919113e-29,1.9953299302997212e-33,2.2384139964106893e-20,1.5527029915679884e-48,5.143865072155856e-20,7.510300797020895e-39,2.210539168909687e-25,1.0736179520390714e-36,4.070545356055202e-37,8.717829065961639e-45,6.330241262966187e-41,1.374445782821194e-45,2.2384139964106893e-20,1.50089660622642e-41,3.23518743424563e-37,7.475307539711687e-62,9.142131858897796e-37,7.935188481271601e-37,4.0356477800351437e-53,2.614782915234388e-41,2.5624530868992385e-39,3.0807896525793025e-37,9.597762627090886e-16,3.9240133169721e-38,4.946416032182575e-62,2.2549679239161544e-44,2.6316835919508536e-55,4.0733575916782086e-55,1.1478525775170616e-39,4.2612506198593613e-72,4.505795959818477e-61,4.998596099771255e-59,9.024011271958932e-61,9.03131250065359e-63,3.474607245206432e-77
6.150312889385566e-23,0.09595729295950003,3.76,0.0,0.6877255882378218,0.9999999999999978,1.996148813562049e-50,0.0,1.9124105940248796e-36,8.781315328735592e-18,8.781315328735583e-18,1.1757405882539967e-19,1.1956008127899216e-37,1.3456060277811605e-36,3.3275564647657255e-29,9.606654697535722e-33,5.116374848938719e-20,1.524453004524632e-47,1.175740587921337e-19,3.615886543448505e-38,5.052660957539642e-25,5.169008285644982e-36,1.9597923667897688e-36,4.1972594247636964e-44,3.047738674289036e-40,6.61736479613214e-45,5.116374848938719e-20,7.226171077662216e-41,1.557603486553739e-36,7.339301271178043e-61,4.4015429545819115e-36,3.820451672771157e-36,3.962222921503501e-52,1.2589054168049388e-40,1.2337108570749863e-38,1.4832676009438084e-36,2.1937743147629293e-15,1.889243497641023e-37,4.8564205922461416e-61,1.0856699882844397e-43,2.8310340050757546e-54,4.381913104480177e-54,5.526416052019244e-39,9.269108022659499e-71,4.4238171923581787e-60,4.907651292026059e-58,8.859827778466196e-60,8.866996168100619e-62,6.874214918964069e-76
1.306941488994433e-22,0.09595729295950003,3.76,0.0,0.6877255882378218,0.9999999999999953,1.7655710199354224e-49,0.0,8.35199949938163e-36,1.8660295073563135e-17,1.8660295073563095e-17,2.4984487500397393e-19,5.221502861913658e-37,5.876615045671837e-36,7.073213303417356e-29,4.195478495828854e-32,1.0872296553994777e-19,1.34836141862106e-46,2.4984487493328373e-19,1.5791526520510606e-37,1.073690453490743e-24,2.2574417203469466e-35,8.558928149325025e-36,1.833053462925834e-43,1.3310275503256946e-39,2.889977060815951e-44,1.0872296553994777e-19,3.1558587581284467e-40,6.802463644850505e-36,6.491528860686521e-60,1.9222694471523413e-35,1.6684916177508113e-35,3.5045413033229554e-51,5.49797069925161e-40,5.387939437750669e-38,6.47781930260878e-36,4.661770418868228e-15,8.250822702898187e-37,4.295449016632299e-60,4.7414060792637495e-43,2.602203967013561e-53,4.027726151843057e-53,2.413531081865364e-38,1.7183332543986715e-69,3.9128162085099166e-59,4.3407619904144827e-57,7.8364173356958305e-59,7.842757695159192e-61,1.2239633314616506e-74
2.6907618891061853e-22,0.09595729295950003,3.76,0.0,0.6877255882378218,0.9999999999999905,1.4840688258999596e-48,0.0,3.4867953815775263e-35,3.8418254563218216e-17,3.8418254563218043e-17,5.143865073611211e-19,2.1798746593632564e-36,2.453371100167433e-35,1.457138274273662e-28,1.751529683849164e-31,2.238413996410689e-19,1.1333790172211363e-45,5.143865072155824e-19,6.592651471196274e-37,2.2105391690074526e-24,9.424374804156499e-35,3.573184019507654e-35,7.652637372538735e-43,5.5567780093125934e-39,1.2065085340849691e-43,2.238413996410689e-19,1.3175089083165943e-39,2.8398946649583493e-35,5.456521153499065e-59,8.025096542363505e-35,6.965624060877768e-35,2.945778129897185e-50,2.2952945391681506e-39,2.2493586534973364e-37,2.7043620427111514e-35,9.597762627069302e-15,3.444556060686499e-36,3.6105837187049024e-59,1.9794437111582852e-42,2.226238742859771e-52,3.445801877782531e-52,1.007601716224433e-37,2.9533734029843267e-68,3.28895778812334e-58,3.648672003473702e-56,6.586980950217232e-58,6.592310404400231e-60,2.0649900327730505e-73
5.45840268932969e-22,0.09595729295950003,3.76,0.0,0.6877255882378218,0.9999999999999806,1.2167292871506616e-47,0.0,1.424469684726335e-34,7.793417354252838e-17,7.793417354252766e-17,1.04346977207541e-18,8.905499259115939e-36,1.0022821459445313e-34,2.9595144669439164e-28,7.155570268586519e-31,4.540782678433112e-19,9.292125941938728e-45,1.043469771780174e-18,2.6933132435658563e-36,4.4842366002134755e-24,3.850164617275097e-34,1.4597622620941532e-34,3.126352067822156e-42,2.2701251300060355e-38,4.9289810399158805e-43,4.540782678433112e-19,5.382453783059539e-39,1.1601896341149363e-34,4.4735857142624816e-58,3.2785137900077e-34,2.845684711584978e-34,2.415126887307886e-49,9.377027128670258e-39,9.189364047489692e-37,1.104820135608076e-34,1.946974704343334e-14,1.4072135438840298e-35,2.960174674885052e-58,8.086673500634961e-42,1.8406966430008856e-51,2.849054594335203e-51,4.11638178312112e-37,4.8949979234251044e-67,2.6964863051765115e-57,2.9914017519249104e-55,5.400404951613498e-57,5.404774360175483e-59,3.392235119319307e-72
1.09936842897767e-21,0.09595729295950003,3.76,0.0,0.6877255882378217,0.9999999999999608,9.853389225976804e-47,0.0,5.757934218934381e-34,1.569660115011487e-16,1.5696601150114582e-16,2.101636301503966e-18,3.599745187241954e-35,4.051384685022201e-34,5.975236071510029e-28,2.8923959102879702e-30,9.145520042477959e-19,7.52500450241567e-44,2.1016363009093354e-18,1.0886802791919611e-35,9.03163146331595e-24,1.556298097138153e-33,5.900592459303302e-34,1.263721493282243e-41,9.176208737265725e-38,1.992372947305722e-42,9.145520042477959e-19,2.1756738771569025e-38,4.689671999441815e-34,3.6228257026228e-57,1.3252276928466645e-33,1.1502712590066493e-33,1.955832369734903e-48,3.7903442911750986e-38,3.714487873525996e-36,4.465859633669577e-34,3.9213715876008986e-14,5.688182138442527e-35,2.397226199450429e-57,3.268762775458906e-41,1.4968237029088165e-50,2.3168034714085926e-50,1.663907332019855e-36,7.970233666282946e-66,2.1836845210818087e-56,2.4225146960363915e-54,4.373387944768415e-56,4.376926405156204e-58,5.499347873168589e-71
2.206424749067072e-21,0.09595729295950003,3.76,0.0,0.6877255882378216,0.9999999999999213,7.93086487497395e-46,0.0,2.3152400252498317e-33,3.1502968741838935e-16,3.1502968741837777e-16,4.217969360360993e-18,1.4474417075552075e-34,1.629043963199504e-33,1.2050556157544666e-27,1.163019674307342e-29,1.8354994770567646e-18,6.056778284139749e-43,4.21796935916757e-18,4.37753555104127e-35,1.8126421192282593e-23,6.257806200112364e-33,2.3726022761482634e-33,5.081368555252505e-41,3.6897131748230096e-37,8.011244020272087e-42,1.8354994770567646e-18,8.748288970533686e-38,1.885696485037756e-33,2.915965313312482e-56,5.328682267304773e-33,4.625190141697695e-33,1.574224044733183e-47,1.5240807689431451e-37,1.493579237226969e-35,1.7957025171342544e-33,7.87016535405506e-14,2.2871930203138937e-34,1.9294961993114983e-56,1.3143551770609487e-40,1.2072424480171902e-49,1.868585769042063e-49,6.690498200749344e-36,1.2863988071492816e-64,1.7576192788607418e-55,1.9498505813850944e-53,3.520083094099054e-55,3.5229311549382916e-57,8.856842048801266e-70
4.420537389245876e-21,0.09595729295950005,3.76,0.0,0.6877255882378213,0.9999999999998423,6.364019594415217e-45,0.0,9.285148018713206e-33,6.311570392528705e-16,6.311570392528236e-16,8.4506354780747e-18,5.804888631581073e-34,6.533194900064372e-33,2.4376703837223495e-27,4.664229067234694e-29,3.677394422674703e-18,4.860183130448726e-42,8.450635475683684e-18,1.7555875703406463e-34,3.631600066126267e-23,2.509660173465578e-32,9.515196299745766e-33,2.0378560694471626e-40,1.4797400095597417e-36,3.212867185352751e-41,3.677394422674701e-18,3.5084551540510385e-37,7.562486303279515e-33,2.3398785375027102e-55,2.1370399203284826e-32,1.8549081135057933e-32,1.2632156547308725e-46,6.112245545258185e-37,5.989920762471903e-35,7.201570241288545e-33,1.5767752886719498e-13,9.172666983379729e-34,1.5482991845660428e-55,5.2711524533225316e-40,9.697227491958927e-49,1.5009496428822253e-48,2.6831890183467373e-35,2.0672082530540053e-63,1.4103787803450373e-54,1.5646322942605294e-52,2.82464499592014e-54,2.826930385507488e-56,1.4217442854796852e-68
