Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536)
0.0,0.7931803724615357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6611218077869309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1917184217898164e-22,0.7931803724615358,1.581233772424637e-30,9.92112524868525e-27,4.919581792263145e-37,6.123924933449671e-21,0.0,0.0,7.894713824519213e-21,4.003010329174581e-38,1.3427108941609791e-52,5.334710339735119e-36,2.8513275090195472e-59,3.136855102726559e-66,3.221401413355247e-44,3.39690312882228e-48,1.7826737070089165e-56,6.134977309402787e-64,1.1095894647153578e-92,1.0801651302433785e-84,6.576571976619851e-106,9.114654469931502e-110,2.766795433742851e-60,-1.1613795586447058e-107,6.642253067817219e-75,5.049288076109306e-105,-7.925830150450914e-114,-2.681428646088216e-117,6.775534648215722e-127,-6.464367187962549e-122,4.0473627846921956e-78,-3.282999576842177e-118,3.18569521413391e-125,-4.548473599370165e-131,3.76,0.0,0.6611218077869309,0.9999999999999994,1.417885591979744e-51,6.296943667964355e-72,4.757403008528553e-19,4.757403008528555e-19,7.894713826100304e-21,1.4300159049624258e-40,1.6977692375573974e-39,1.4319579114844574e-34,1.078446464573452e-24,2.456021795210779e-38,4.0091480550061405e-38,1.175616101439212e-38,1.684457237322465e-42,1.087914992681177e-46,6.123924933449671e-21,1.415322934991376e-42,1.730179081512951e-42,5.221250724793977e-38,9.43930928963396e-64,5.315071660903519e-41,8.386602891063563e-40,5.14127372399564e-41,4.8572211486939654e-58,9.050390651766574e-58,6.722335424797177e-46,3.4687140903573243e-41,1.2281723809620429e-63,4.743411716713398e-16,9.093079384373722e-66,2.9055967155070464e-63,5.207012701618004e-63,1.0784464645734307e-24,4.2306621039599815e-41,3.051094900829418e-61,5.161378186628769e-57,9.647474703710622e-59,2.1683486509612748e-72,4.604172558047267e-61,4.553882885163048e-37,3.492713112350921e-89,2.2046766391376861e-57,8.642896087290487e-73,1.0087589592470642e-76,2.4077472168869777e-66,1.03790598617474e-78,2.3188026582663568e-58,1.1098112431368639e-41,1.022036303467785e-71,6.652560100700934e-59,4.78729632391587e-62,2.8233671376588606e-38,8.857886532656755e-60,3.404124552688307e-79,1.6850815849378953e-84
3.336811581011486e-22,0.7931803724615357,4.427918777133528e-30,2.777915069649983e-26,2.9714274025270836e-36,1.714698981365908e-20,0.0,0.0,2.2105198708653787e-20,2.4178182388214467e-37,1.5940663735479132e-51,3.222165045200211e-35,3.3850960187079896e-58,3.7240743779569335e-65,1.9457264536665607e-43,2.0517294917990483e-47,2.6939764285344307e-55,7.283445068759501e-63,6.750174093136507e-91,2.4162861897493438e-83,3.1417073619845443e-104,4.354179843550623e-108,3.2847395389407887e-59,3.461710888519995e-106,1.8732215891969492e-73,2.412105649552487e-103,2.36438330445046e-112,7.999067632832454e-116,1.1083043540789582e-125,1.9284243742813877e-120,1.2725556064163743e-76,9.79363765617202e-117,2.4591602166498603e-123,1.8025203582506937e-129,3.76,0.0,0.6611218077869309,0.9999999999999987,1.6833137747984286e-50,1.7758388161906332e-70,1.3320728423879944e-18,1.3320728423879954e-18,2.2105198713080844e-20,8.637296065974402e-40,1.0254526194842624e-38,8.649025785366097e-34,3.0196501008057345e-24,1.4834371643072975e-37,2.4215254252237096e-37,7.100721252692837e-38,1.0174121713427716e-41,6.5710065558888736e-46,1.714698981365908e-20,8.548550527348661e-42,1.0450281652338197e-41,3.1536354377755608e-37,1.120634798880037e-62,3.210303283195257e-40,5.06550814620129e-39,3.105329329293367e-40,7.339210324917255e-57,1.3667585898473113e-56,4.060290596872803e-45,2.0951033105758286e-40,1.4580862506784066e-62,1.3281552806792918e-15,1.0795303845129984e-64,3.449524420652137e-62,6.18176547936069e-62,3.019650100805606e-24,2.555319910791837e-40,3.622259866264656e-60,7.799344833325789e-56,1.4578743511473263e-57,6.114689947826723e-71,5.466073660921363e-60,2.7505452626384777e-36,1.8078128683263004e-87,3.3316497543137776e-56,1.0401604753306926e-71,3.1716994367465544e-75,2.8584774999545635e-65,3.2633424854911524e-77,3.503733274600209e-57,6.703259914910189e-41,1.213512174028282e-70,1.0052517806215084e-57,5.683478195754834e-61,1.705313751145824e-37,1.0516082891570132e-58,7.614890459381643e-78,3.7694601022428376e-83
7.626997899454825e-22,0.7931803724615357,1.0123145643929485e-29,6.349520159285349e-26,1.4306143851903387e-35,3.9193119574077904e-20,0.0,0.0,5.052616847692289e-20,1.1640754037239666e-36,1.565063818234033e-50,1.5513337667952705e-34,3.3235073445131287e-57,3.6563183077379606e-64,9.36783531003693e-43,9.878194327902371e-47,2.898056881963882e-54,7.150929573248166e-62,3.0473512761236996e-89,4.774174331897711e-82,1.6358805128735196e-102,2.2672124254900158e-106,3.224976757574547e-58,4.4646891779200585e-104,4.0746660795301544e-72,1.255978453538301e-101,3.0502626861372466e-110,1.0319501712222035e-113,3.320820146041995e-123,2.487846588641784e-118,2.839001547875663e-75,1.263465475573775e-114,2.6801041716605385e-121,4.9627700340295515e-127,3.76,0.0,0.6611218077869309,0.999999999999997,1.6526874460118237e-49,3.862837279249958e-69,3.044737925458271e-18,3.044737925458275e-18,5.052616848704187e-20,4.158486251632758e-39,4.937112942810826e-38,4.164133606596761e-33,6.902057373270576e-24,7.1421113804727366e-37,1.1658602543957844e-36,3.418691622985221e-37,4.898401646133763e-41,3.163656798856005e-45,3.9193119574077904e-20,4.1157590949560217e-41,5.031360769039618e-41,1.5183397107700857e-36,1.1002458908444385e-61,1.5456228390050394e-39,2.4388241207196287e-38,1.495082398937931e-39,7.89483564652441e-56,1.469974154940868e-55,1.9548551419655427e-44,1.0087020574759158e-39,1.4315577272501648e-61,3.0357834986933552e-15,1.059889333043049e-63,3.386763531601502e-61,6.0692940050053126e-61,6.902057373269956e-24,1.2302765398315746e-39,3.556356216406672e-59,8.389996857561842e-55,1.5682967906029383e-56,1.3300480084016862e-69,5.366623533682735e-59,1.3242691430054095e-35,7.893431197163086e-86,3.584016951206796e-55,1.0502468159544282e-70,7.075886885052634e-74,2.806470168433182e-64,7.280337568911369e-76,3.7690044558383326e-56,3.2273311045872937e-40,1.1917439997086828e-69,1.0813753858998444e-56,5.580072595162145e-60,8.210351636310042e-37,1.0324752542464813e-57,1.5045740328946774e-76,7.44781795367824e-82
1.6207370536341503e-21,0.7931803724615358,2.1521026807034104e-29,1.3492730338845877e-25,6.247868876176426e-35,8.328537909491553e-20,0.0,0.0,1.073681080134609e-19,5.0838231180516974e-36,1.3842812234441915e-49,6.775082131466677e-34,2.9396046086986717e-56,3.233972136706726e-63,4.091179794961029e-42,4.314067003602331e-46,2.663813556087928e-53,6.324916251455508e-61,1.1506218631237787e-87,8.495388140457927e-81,6.528369715243057e-101,9.047849687777824e-105,2.852455420379601e-57,3.831588365839954e-102,7.55374416885441e-71,5.012280630065819e-100,2.617985625043988e-108,8.85704281930379e-112,6.309623356631893e-121,2.1352910423536414e-116,5.3171356958252834e-74,1.0844096994514752e-112,2.1927700674036688e-119,8.887211521579612e-125,3.76,0.0,0.6611218077869309,0.9999999999999936,1.4617833299079246e-48,7.161049274677031e-68,6.470068091598815e-18,6.470068091598835e-18,1.0736810803496372e-19,1.8161201993043713e-38,2.156166931691604e-37,1.8185865475852163e-32,1.4666871918201364e-23,3.11914767991747e-36,5.0916180298577825e-36,1.4930324488277905e-36,2.139260691399565e-40,1.381652040847613e-44,8.328537909491553e-20,1.7974601274401747e-40,2.1973274335214003e-40,6.630988420488316e-36,9.731550306171366e-61,6.75014100949519e-39,1.0650985671633613e-37,6.529417629474443e-39,7.25658656483628e-55,1.3510426573224765e-54,8.537365993943111e-44,4.4052668947538565e-39,1.266196597878301e-60,6.451039934714121e-15,9.374601122123197e-63,2.995553989832573e-60,5.368221814858763e-60,1.4666871918198657e-23,5.372940872029297e-39,3.1455567989588853e-58,7.711786465015705e-54,1.441528452735507e-55,2.4656622838634924e-68,4.746717740491674e-58,5.783431264157016e-35,2.9384987596332685e-84,3.2943218649965813e-54,9.801885031493744e-70,1.3252352971785487e-72,2.4822910966817825e-63,1.3635266536002234e-74,3.4643093735164014e-55,1.4094602886472859e-39,1.0546327579125925e-68,9.939599151586826e-56,4.935511018116381e-59,3.5856762648247636e-36,9.132126699708006e-57,2.677309102453949e-75,1.3252994113186278e-80
3.336811581011486e-21,0.7931803724615358,4.434649885129414e-29,2.777915069912612e-25,2.6083622662599285e-34,1.714698981365908e-19,0.0,0.0,2.2105198708653607e-19,2.1223960765283442e-35,1.1635717775055762e-48,2.8284634221303285e-33,2.4709147980759762e-55,2.718348442340745e-62,1.7079870293608313e-41,1.801038065786068e-45,2.2789485764564424e-52,5.316473257167311e-60,3.9920417673176786e-86,1.4328713810923064e-79,2.320284862579714e-99,3.215747534179338e-103,2.3976606541691915e-56,2.8162276193725965e-100,1.2982956213784381e-69,1.781443273070604e-98,1.9243045811111391e-106,6.510214575390933e-110,9.713267965392526e-119,1.5695333677115717e-114,9.1840296324497e-73,7.970764027030813e-111,1.5786481573709215e-117,1.3341042578879322e-122,3.76,0.0,0.6611218077869309,0.9999999999999867,1.2287169678410585e-47,1.2308014025843864e-66,1.3320728423879874e-17,1.3320728423879956e-17,2.210519871308066e-19,7.581944328129594e-38,9.001572497472701e-37,7.592240846690189e-32,3.019650100806735e-23,1.3021827558205567e-35,2.1256502987642398e-35,6.233116569830622e-36,8.930992272284012e-40,5.768125292472859e-44,1.714698981365908e-19,7.50404220133438e-40,9.173409490181229e-40,2.7683071342857337e-35,8.179954403128574e-60,2.8180509947439927e-38,4.446576852826497e-37,2.7259033284624676e-38,6.208113918325943e-54,1.1558008582900124e-53,3.564182246216213e-43,1.8391122107075018e-38,1.0643145345866293e-59,1.3281552806726208e-14,7.879917105244816e-62,2.5179436241351643e-59,4.5123138950165125e-59,3.0196501008056065e-23,2.24309704751969e-38,2.644030023539973e-57,6.597570456834899e-53,1.2332554640086305e-54,4.2378261592455684e-67,3.989902272128027e-57,2.4144687057133987e-34,1.0123531012471888e-82,2.818358971677272e-53,9.099934869359242e-69,2.2890144084672345e-71,2.086515261184866e-62,2.3551532089631902e-73,2.963768597126872e-54,5.884219299882867e-39,8.874038953666913e-68,8.503496778182809e-55,4.148594397586116e-58,1.4969492563849372e-35,7.676102743016174e-56,4.5156731250137005e-74,2.235311167023901e-79
6.768960635766157e-21,0.7931803724615357,9.011628181201746e-29,5.635199142432337e-25,1.065601094533067e-33,3.4783893621994135e-19,0.0,0.0,4.484197452326833e-19,8.670680493405148e-35,9.539664432447952e-48,1.155519598430329e-32,2.025805237846616e-54,2.2286662887257912e-61,6.977684317382977e-41,7.357828280306161e-45,1.884278752116147e-51,4.358766054540716e-59,1.3295165840097444e-84,2.3534955460894654e-78,7.815358552731872e-98,1.0831523640030648e-101,1.9657470648558433e-55,1.9279510084144686e-98,2.1518297781741943e-68,6.000393138009993e-97,1.3173772353431639e-104,4.4568872649542695e-108,1.359438907866997e-116,1.0745353849166672e-112,1.5259402590100286e-71,5.456778179859946e-109,1.0707625300516973e-115,1.8455459425313082e-120,3.76,0.0,0.6611218077869309,0.999999999999973,1.0073764061892386e-46,2.0399630604070775e-65,2.7022049088441867e-17,2.7022049088442206e-17,4.484197453224893e-19,3.0974716508007403e-37,3.6774360792708865e-36,3.10167811459145e-31,6.125575918781698e-23,5.319841449296675e-35,8.683975053065355e-35,2.5464315003613244e-35,3.648601754330206e-39,2.3564673918263142e-43,3.4783893621994135e-19,3.06564609011726e-39,3.747637097719939e-39,1.1309437919932462e-34,6.706420833186244e-59,1.1512657821509073e-37,1.8165717326028895e-36,1.1136204537123339e-37,5.132969613607265e-53,9.5562107092774e-53,1.4560847457229342e-42,7.513373468277987e-38,8.725893586324767e-59,2.69425785506326e-14,6.460432127433018e-61,2.0643623108333064e-58,3.699467553655019e-58,6.125575918777086e-23,9.163783343662389e-38,2.167735558863234e-56,5.45498897571542e-52,1.0196784981232949e-53,7.023872484556041e-66,3.271162942506893e-56,9.863892484578147e-34,3.3596241289311497e-81,2.330272627735485e-52,8.871839888095431e-68,3.8032316710928164e-70,1.710651314326643e-61,3.913122280987857e-72,2.45049297597196e-53,2.4038956202438013e-38,7.290579221667693e-67,7.030840110283725e-54,3.4012683346763775e-57,6.115526154839436e-35,6.293332799318581e-55,7.417006667552505e-73,3.6715053040584876e-78
1.36332587452755e-20,0.7931803724615358,1.8213120322227687e-28,1.1349767289326487e-24,4.3073299990664026e-33,7.005770123866424e-19,0.0,0.0,9.03155261524965e-19,3.5048276876880115e-34,7.725467589898746e-47,4.670794968553677e-32,1.640549604155502e-53,1.8048317426850518e-60,2.820491564659519e-40,2.9741519272938095e-44,1.532264187340674e-50,3.529841873834044e-58,4.339763567174735e-83,3.8151176992253155e-77,2.565079002308176e-96,3.555014709744358e-100,1.5919129385752884e-54,1.2755796613292548e-96,3.5036969668932455e-67,1.969390138803014e-95,8.716168826403722e-103,2.9488123620888106e-106,1.818249816928459e-114,7.109905857651135e-111,2.4876677493916156e-70,3.6103706863412945e-107,7.059746498355442e-114,2.454610374290203e-118,3.76,0.0,0.6611218077869309,0.9999999999999457,8.157995317303757e-46,3.321551016637715e-64,5.4424690417565356e-17,5.442469041756672e-17,9.031552617058423e-19,1.2520475655711433e-36,1.4864784603654704e-35,1.2537478854841103e-30,1.2337427554738687e-22,2.150364970751823e-34,3.510201561264398e-34,1.0293083263828441e-34,1.4748231652234182e-38,9.525217968988225e-43,7.005770123866424e-19,1.2391831650928476e-38,1.5148548344601922e-38,4.571455629591682e-34,5.431033468801222e-58,4.653600363486662e-37,7.342873387957635e-36,4.501431926496787e-37,4.174038117225799e-52,7.770882898765957e-52,5.885727364204304e-42,3.0370256843845083e-37,7.066454860317344e-58,5.4264630037974275e-14,5.231825434832917e-60,1.671774121554368e-57,2.9959247401198325e-57,1.233742755472005e-22,3.704147743798702e-37,1.7554884579065874e-55,4.4359025397020786e-51,8.291852372476155e-53,1.1436544758092276e-64,2.6490725615893403e-55,3.987143052338389e-33,1.0946835445527415e-79,1.8949385767409678e-51,9.470065746953753e-67,6.200227507071354e-69,1.3853298528073083e-60,6.379376939078526e-71,1.99269694227369e-52,9.716930761308502e-38,5.928564580116957e-66,5.717356294190852e-53,2.754435281288484e-56,2.471993450630467e-34,5.096504066560045e-54,1.2023287428617466e-71,5.951668313791027e-77
2.736185496429418e-20,0.7931803724615358,3.6806246799804643e-28,2.2778903590533594e-24,1.731958448304758e-32,1.4060531647200446e-18,0.0,0.0,1.8126262941094766e-18,1.4092757984271179e-33,6.218128416840498e-46,1.8781061139607403e-31,1.3204570460137554e-52,1.4526856033248543e-59,1.1341072531766862e-39,1.1958934854391335e-43,1.2358265769454866e-49,2.8411240132380714e-57,1.4025365951515525e-81,6.144129441097212e-76,8.312291506546713e-95,1.1520237847553971e-98,1.281310026294329e-53,8.299583481722419e-95,5.654981029290475e-66,6.381932533046745e-94,5.6712168031884596e-101,1.9186589143346463e-104,2.3786479013523183e-112,4.626683142801869e-109,4.0175900600072826e-69,2.3491050678551824e-105,4.594732628249411e-112,3.202310446345913e-116,3.76,0.0,0.6611218077869307,0.9999999999998911,6.566264360938663e-45,5.360996731283846e-63,1.0922997307581036e-16,1.092299730758158e-16,1.8126262944724986e-18,5.034428194162685e-36,5.977064511270469e-35,5.041265105695193e-30,2.476113082668091e-22,8.64652297090013e-34,1.411436609357035e-33,4.138803509760358e-34,5.930199082284921e-38,3.8300482555230866e-42,1.4060531647200444e-18,4.982701005611439e-38,6.091164663627094e-38,1.838162202666428e-33,4.3713682287639285e-57,1.8711922392587408e-36,2.9525370941234693e-35,1.8100059796274414e-36,3.366509962498516e-51,6.26747115154882e-51,2.366625098093015e-41,1.2211746703669277e-36,5.687697639331064e-57,1.0890873301077316e-13,4.211028268517621e-59,1.3455892541437124e-56,2.411380870404677e-56,2.476113082660598e-22,1.4894215163481335e-36,1.4129698349665268e-54,3.577714547996232e-50,6.68767780769144e-52,1.8458620779912424e-63,2.1322040618657017e-54,1.6032126852529098e-32,3.534665135402775e-78,1.5283364423618473e-50,1.1301270684168585e-65,1.0013383983264876e-67,1.1150340941023882e-59,1.0302710796791189e-69,1.6071809818948167e-51,3.907135375381325e-37,4.811206107611034e-65,4.611252542900092e-52,2.2170091448844827e-55,9.939776942712353e-34,4.1021098586013686e-53,1.9363133746488908e-70,9.584978339675442e-76
5.481904740233154e-20,0.7931803724615358,7.475306853705853e-28,4.563717622262306e-24,6.945928015096996e-32,2.8170054693868487e-18,0.0,0.0,3.6315683592782955e-18,5.651826265698728e-33,4.989656450464513e-45,7.532045520535899e-31,1.059583619945189e-51,1.1656887097228414e-58,4.5482773271022983e-39,4.796068364794649e-43,9.926831136443243e-49,2.2798233879758836e-56,4.510347500710808e-80,9.862688472440742e-75,2.676690605469967e-93,3.70970096397559e-97,1.0281706020677898e-52,5.355610709669551e-93,9.087402701104552e-65,2.0550882599116093e-92,3.659568634920182e-99,1.2380878565741783e-102,3.077902366881291e-110,2.986303647584879e-107,6.458158683192111e-68,1.5158497295594096e-103,2.977151032693739e-110,4.138049684868896e-114,3.76,0.0,0.6611218077869306,0.9999999999997818,5.269013620800679e-44,8.6149778264919e-62,2.1884053839229245e-16,2.1884053839231427e-16,3.6315683600056114e-18,2.0190308762066184e-35,2.3970701996342213e-34,2.021772783475584e-29,4.960853737067835e-22,3.467642436518285e-33,5.660492083974056e-33,1.6598453199250562e-33,2.3782750666335226e-37,1.5360206564661893e-41,2.817005469386848e-18,1.998285960022536e-37,2.4428294641116204e-37,7.371852570830729e-33,3.5077477105898212e-56,7.504317793649213e-36,1.1840994301574317e-34,7.25893352326613e-36,2.704162686246483e-50,5.034362728393291e-50,9.49122523306192e-41,4.897456611893139e-36,4.564019156988105e-56,2.1819693894883311e-13,3.3790849842494974e-58,1.0797506342877375e-55,1.934981285028116e-55,4.960853737037785e-22,5.973246440613352e-36,1.13381930682723e-53,2.873814270364712e-49,5.371905898863239e-51,2.9662501220278223e-62,1.7109594784377024e-53,6.429599922262125e-32,1.1361862525966697e-76,1.2276428777335224e-49,1.49727609912362e-64,1.6096222299228532e-66,8.947448107907284e-59,1.6561306703607124e-68,1.2909746513455566e-50,1.5669362392560936e-36,3.923892036101538e-64,3.7040078422712437e-51,1.7790102164907312e-54,3.986295121376223e-33,3.2916848196737433e-52,3.108211795037476e-69,1.5386012987759698e-74
