Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134),CF3O(47),CHO3(229),CH2F(45),FO2(124),CH3F(39),CH2CO(28),S(455),S(1290),CH2(S)(25),CH2(T)(18)
0.0,0.4188261664694591,3.76,0.0,0.9507939120046034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.27206414486291e-22,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999999996,1.3948594062797894e-51,0.0,1.687147280693051e-37,7.576469088464005e-20,7.576469088463999e-20,1.9327392114479644e-21,8.75201828928868e-41,1.0721760052914981e-39,4.3897992254365133e-32,4.966285088469223e-35,1.7592582305268125e-22,1.7050486903835872e-36,1.9327392114041157e-21,1.7324618019599872e-26,7.285967351712928e-29,7.025306348242837e-38,2.3454362609976846e-38,4.234126431101012e-42,5.91803975704691e-44,1.4945560774512848e-48,1.7592582305268125e-22,1.36393134201795e-44,4.9571252871480405e-39,1.5158443484602811e-64,3.142337549222444e-38,9.480954405175618e-39,4.093711600213283e-53,1.17952355275961e-44,1.9271966474372336e-42,8.640262274141479e-40,4.555216663469386e-16,3.491911588171339e-41,3.012268976628465e-66,1.1595399885260634e-48,1.1967296711942109e-58,3.043960130163358e-58,1.8610362980326877e-42,4.600827665975937e-75,2.318126510492311e-65,3.2866816644670304e-63,4.8313438530094424e-65,5.377237318712533e-68,3.023112777054585e-67,3.0698727939640577e-43,4.93758250825453e-63,1.4545716165089008e-37,5.320152810997802e-59,1.0155293948016982e-73,3.6265362143655315e-61,6.437832518754713e-61,1.8441756446094024e-57,1.0815788932631281e-89,9.249927056463996e-64,8.048909771814604e-57,6.191212555157952e-39,3.3532602036973066e-84,1.3101400091420087e-58,1.2594038047426662e-62,1.3509977994213428e-72,3.497165044369641e-83,2.181429336789107e-88,7.599698461075087e-94,1.8900956163727018e-85,1.7658758187553194e-38,1.3252184539431036e-103,9.24019917675217e-102,1.0978901887936525e-94,1.3807479300012342e-77,6.245456987626422e-42,9.390380324748986e-64,2.6171283784491595e-81,1.733108161047807e-26,6.4635909015811e-30,8.381108612264988e-43,6.401879282324922e-110,5.707136625378763e-79,5.714981499596113e-79,1.1843139933648884e-59,4.891024090887535e-52
6.361779605616148e-22,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999999988,1.6559770871354804e-50,0.0,1.0190369575386795e-36,2.1214113447699215e-19,2.1214113447699184e-19,5.411669792054298e-21,5.286219046739261e-40,6.475943071950989e-39,1.2307530798523803e-31,2.9996361934353976e-34,4.925923045475076e-22,1.0298494089917981e-35,5.4116697919315215e-21,4.8508930454955423e-26,2.040070859664871e-28,4.243285034338635e-37,1.4166435016426636e-37,2.557412364385011e-41,3.5744960132565162e-43,9.027118708481503e-48,4.925923045475076e-22,8.238145305791935e-44,2.994103673436787e-38,1.7996104106152763e-63,1.8979718797303544e-37,5.726496460726072e-38,4.860054411773206e-52,7.124322258668566e-44,1.1640267750698882e-41,5.218718413581448e-39,1.275460665770011e-15,2.1091145992534846e-40,3.576165729056635e-65,7.003621603687136e-48,1.8084964488881264e-57,4.5999493674147133e-57,1.1240659240117487e-41,1.2974843844955043e-73,2.7520797932612848e-64,3.901948472055263e-62,5.735771422292769e-64,6.383856144788997e-67,3.589040812371301e-66,1.854203167552174e-42,5.861897953799812e-62,8.78561256371375e-37,8.039779634418764e-58,2.863943283082278e-72,5.48022611602691e-60,9.728832047435934e-60,2.189405325279812e-56,5.598540659350161e-88,1.0981514850320106e-62,9.555665681089631e-56,3.739492383314914e-38,9.45640506124984e-83,1.9798796762301732e-57,1.4951641969905032e-61,2.0493261610184768e-71,7.82301831765315e-82,4.879770169223845e-87,3.93380650252527e-92,4.2498993657961675e-84,1.0665889945274565e-37,5.4961029429284095e-102,3.832204851776023e-100,6.679001788843874e-93,3.095909440361382e-76,3.772256024940694e-41,1.1148259521553502e-62,8.228670362409317e-80,4.85270285093386e-26,1.8098054524425424e-29,5.062189601808074e-42,3.789057590718787e-108,1.7944150692048176e-77,1.2795818948896463e-77,7.155168466835314e-59,2.954179739225189e-51
1.4541210527122624e-21,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999999971,1.6258481239600758e-49,0.0,4.90622429225654e-36,4.848940216616964e-19,4.848940216616949e-19,1.236953095326695e-20,2.545086918538496e-39,3.1178878233731857e-38,2.8207365813904654e-31,1.4441957037268287e-33,1.12592526753716e-21,4.95828159163714e-35,1.2369530952986321e-20,1.1087755532596967e-25,4.663019113393031e-28,2.0429590860689587e-36,6.8205286469821905e-37,1.2312839661641727e-40,1.720965961349509e-42,4.3461690742226393e-47,1.12592526753716e-21,3.9663123425933765e-43,1.4415320335017047e-37,1.7668681729402675e-62,9.137917593138838e-37,2.7570615410250653e-37,4.771630241208584e-51,3.430054491425709e-43,5.604287851014462e-41,2.5125882693203324e-38,2.9153386646104857e-15,1.015447889837218e-39,3.511100719168135e-64,3.3719423940329416e-47,1.9454974609538047e-56,4.948386986975022e-56,5.411893554679129e-41,2.822294634889159e-72,2.702008260644221e-63,3.830956148102778e-61,5.631414395067669e-63,6.267707818731561e-66,3.5237442799372577e-65,8.927190084815718e-42,5.755246171621572e-61,4.2298942608078645e-36,8.648815904926083e-57,6.229692947095409e-71,5.8953099091762e-59,1.0465826523122682e-58,2.1495711313552586e-55,2.4445382121825572e-86,1.0781717034429113e-61,9.381809230000224e-55,1.8004046110391977e-37,2.0569497811831303e-81,2.1298628641309497e-56,1.4679610748080812e-60,2.223016740635615e-70,1.5456965904347643e-80,9.641603542783856e-86,1.7176512416129335e-90,8.416387327545819e-83,5.135166880929121e-37,2.1793396132034638e-100,1.5195632116296823e-98,3.015220670437761e-91,6.123389258377609e-75,1.8161788986232653e-40,1.094542730656242e-61,1.83577109202237e-78,1.109189223070597e-25,4.136698177010744e-29,2.4372263844466907e-41,2.4673195734216213e-106,4.003241308759553e-76,2.52926683208586e-76,3.446853013072438e-58,1.422311554171511e-50
3.0900072370135575e-21,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999999938,1.4380442534989516e-48,0.0,2.1426770464813584e-35,1.0303997960311049e-18,1.0303997960310981e-18,2.6285253275692205e-20,1.111506322753455e-38,1.361663526705228e-37,6.026452332149141e-31,6.307182062355687e-33,2.3925911935164653e-21,2.165411836788878e-34,2.6285253275095877e-20,2.3561480506921065e-25,9.908915639813371e-28,8.922139062267797e-36,2.9787040514680115e-36,5.377340567498267e-40,7.515910491452315e-42,1.898086219381567e-46,2.3925911935164653e-21,1.7321928043681016e-42,6.295549114668236e-37,1.5627748902689845e-61,3.990768687512471e-36,1.2040812094572991e-36,4.2204529113558424e-50,1.4979949120054847e-42,2.4475397425211724e-40,1.0973133088159582e-37,6.195094662268757e-15,4.4347277169465255e-39,3.1055288241656185e-63,1.472615895434026e-46,1.7882471678566817e-55,4.548409794059138e-55,2.363516098501587e-40,5.2320458473224515e-71,2.3898957072869213e-62,3.388437328798939e-60,4.980922258698324e-62,5.543716586183106e-65,3.1167167296669205e-64,3.898738448301529e-41,5.090450062710276e-60,1.8473059529662827e-35,7.949747472625267e-56,1.154879399562126e-69,5.418781096497507e-58,9.61989512560987e-58,1.9012713225634372e-54,9.100397295052138e-85,9.53630687002855e-61,8.29810401829354e-54,7.862839945043002e-37,3.813219896952154e-80,1.9577104278738267e-55,1.29839494653756e-59,2.0774964539947614e-69,2.750484496426758e-79,1.7156718355484316e-84,6.394381006241187e-89,1.4992284453061893e-81,2.2426622898075287e-36,7.786332794290979e-99,5.429087231782404e-97,1.1384899536670499e-89,1.090146878833324e-73,7.931730442707734e-40,9.681106499676063e-61,3.43819608671391e-77,2.3570270990250196e-25,8.790483626144491e-29,1.064400793757687e-40,1.401292826619322e-104,7.4976279240026e-75,4.501535737807685e-75,1.5070422892868734e-57,6.21161850524458e-50
6.361779605616147e-21,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999999872,1.2087628437329065e-47,0.0,8.945254882245204e-35,2.1214113447699227e-18,2.121411344769894e-18,5.411669792054252e-20,4.6403200971049905e-38,5.684677179920747e-37,1.2540878824396512e-30,2.6331243539061776e-32,4.925923045475076e-21,9.04016815642928e-34,5.411669791931479e-20,4.850893045605427e-25,2.040070876851012e-27,3.7248174258378083e-35,1.24355030558183e-35,2.2449338337697396e-39,3.1377446791887264e-41,7.924136331774018e-46,4.925923045475076e-21,7.231563975426719e-42,2.628267827237095e-36,1.3136064602756802e-60,1.6660673685977095e-35,5.0268020256240735e-36,3.547544973359147e-49,6.253833876738436e-42,1.0217996627195183e-39,4.581067057749725e-37,1.2754606657494585e-14,1.8514115240204772e-38,2.6103840988800127e-62,6.147882005047676e-46,1.5298830330882945e-54,3.891256379463477e-54,9.867214452169958e-40,8.992540221952384e-70,2.0088513440221323e-61,2.84818574352051e-59,4.186765281515799e-61,4.6598278247491965e-64,2.6197963013717784e-63,1.6276465553302011e-40,4.278830000333576e-59,7.71213871073e-35,6.801174653629396e-55,1.9849420910525856e-68,4.635872010474404e-57,8.230021839801949e-57,1.598133106802618e-53,3.1352239952070098e-83,8.015840629810936e-60,6.975056425595782e-53,3.282580896737908e-36,6.553936642445991e-79,1.6748623020081782e-54,1.0913791867292272e-58,1.8358478051371388e-68,4.639094122489415e-78,2.8937313185201246e-83,2.202960608779899e-87,2.5299515913051562e-80,9.362673590935159e-36,2.632201558505079e-97,1.8353250818353058e-95,3.949950531112456e-88,1.839117271838083e-72,3.3113413564194884e-39,8.137553343473874e-60,5.938628721088022e-76,4.85270285093387e-25,1.8098054524401376e-28,4.443663786223199e-40,7.971213991653996e-103,1.2950287710313261e-73,7.593182065502788e-74,6.305904452251631e-57,2.5932370239197196e-49
1.2905324342821328e-20,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999999741,9.9101680966838e-47,0.0,3.65442849588139e-34,4.303434442247558e-18,4.303434442247443e-18,1.0977958721024233e-19,1.8957221696381844e-37,2.3223761143874868e-36,2.5981711771811304e-30,1.0757172153026143e-31,9.992586749392295e-21,3.693203665331589e-33,1.0977958720775188e-19,9.840383035626072e-25,4.1384295329327905e-27,1.52170945625433e-34,5.080308758778683e-35,9.171287214821889e-39,1.2818710835374627e-40,3.2372682537144046e-45,9.992586749392295e-21,2.9543298441047363e-41,1.073733165689966e-35,1.07697394212885e-59,6.806428825117524e-35,2.0536126479786264e-35,2.908491702799264e-48,2.5548951962253245e-41,4.1743850283171933e-39,1.871515369628067e-36,2.5873630647583393e-14,7.563620176205862e-38,2.1401505970589483e-61,2.5116108297368857e-45,1.2649368501743402e-53,3.2173644758402653e-53,4.0310790629912695e-39,1.4904468254254195e-68,1.6469777015623913e-60,2.335114752672693e-58,3.4325631314900214e-60,3.820408385799497e-63,2.1478805570698298e-62,6.6494672663877845e-40,3.508043350293625e-58,3.150660304222776e-34,5.62334206853708e-54,3.289895536424045e-67,3.8330249901222313e-56,6.804740829448337e-56,1.3102460760872652e-52,1.0404664008393169e-81,6.571870484772162e-59,5.7185726727724255e-52,1.3410414042916427e-35,1.086265830160274e-77,1.3848084672684107e-53,8.947785956338397e-58,1.61467785404952e-67,7.619726026516883e-77,4.7529623800017173e-82,7.310822127249449e-86,4.156491236199192e-79,3.8249576583674116e-35,8.6563328983598e-96,6.035702256163307e-94,1.3154984439470151e-86,3.0210995289304945e-71,1.3527910174855322e-38,6.67165788135982e-59,9.867120440694588e-75,9.84405435475159e-25,3.6713196320872704e-28,1.8153816498513015e-39,4.7036718727659155e-101,2.1517096718563802e-72,1.2472377580745556e-72,2.5878534871895947e-56,1.059428943903774e-48
2.599241381723169e-20,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999999479,8.025511063172556e-46,0.0,1.477178427323653e-33,8.667480637202837e-18,8.66748063720237e-18,2.2110536578963875e-19,7.662812110014651e-37,9.387415569870966e-36,5.451129751832074e-30,4.348220976637621e-31,2.0125914157226737e-20,1.4928519707787648e-32,2.2110536578462315e-19,1.9819363016443376e-24,8.33514696646606e-27,6.150992922587524e-34,2.0535420274499713e-34,3.7071809284975087e-38,5.181527873219949e-40,1.3085555908374265e-44,2.0125914157226734e-20,1.1941873586741472e-40,4.3402011308506256e-35,8.721614227717183e-59,2.751267356546399e-34,8.301030667542428e-35,2.355371988666386e-47,1.0327294875764166e-40,1.6873531719996437e-38,7.564964353599418e-36,5.2111678626309577e-14,3.057336207005465e-37,1.733149440702651e-60,1.0152336023746787e-44,1.0286256284924085e-52,2.616306746707857e-52,1.6294266086703728e-38,2.426805673532761e-67,1.3337652435817661e-59,1.8910364686527073e-57,2.7797786190888616e-59,3.0938657618092787e-62,1.739430850230072e-61,2.6878209848038953e-39,2.840904457234082e-57,1.2735472696910003e-33,4.572808120188263e-53,5.356741705959631e-66,3.116950826012734e-55,5.5335020816382425e-55,1.0610712428310516e-51,3.39020807095522e-80,5.3220711216517575e-58,4.6310484142739004e-51,5.420703770195806e-35,1.768701433739099e-76,1.1261032185112859e-52,7.246149054461315e-57,1.4704073331285477e-66,1.2351904245270428e-75,7.7047568370400075e-81,2.382124801055073e-84,6.738686945300671e-78,1.546109041286076e-34,2.80802025275034e-94,1.9579161724088228e-92,4.294006021605164e-85,4.8976092950992956e-70,5.468197803476955e-38,5.402881526923478e-58,1.6085896653884342e-73,1.9826757362387107e-24,7.394347991364554e-28,7.338062883253492e-39,2.869525434768633e-99,3.5078298285877815e-71,2.0218706791235276e-71,1.0554992685331358e-55,4.282437802742302e-48
5.216659276605241e-20,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999998954,6.459629507354778e-45,0.0,5.939669487631242e-33,1.7395573027113414e-17,1.739557302711154e-17,4.437569229484186e-19,3.081183047518462e-36,3.774638512907587e-35,1.181621484180567e-29,1.748400530534782e-30,4.0392568972895615e-20,6.002692116530597e-32,4.437569229383537e-19,3.977732298118204e-24,1.672858231901146e-26,2.473287201121207e-33,8.257202174341212e-34,1.4906411465747379e-37,2.0834695686412082e-39,5.261644504285183e-44,4.03925689728956e-20,4.8017748470955275e-40,1.745175785791921e-34,7.019913925962767e-58,1.106272503553785e-33,3.3378079221594747e-34,1.895808289210395e-46,4.152559848471597e-40,6.784772899194964e-38,3.041838894660112e-35,1.0458777457795628e-13,1.2293414421040884e-36,1.3949894505565147e-59,4.082212460441412e-44,8.296238297128976e-52,2.110145929829539e-51,6.551852728679638e-38,3.9168736567427245e-66,1.0735303031107781e-58,1.5220706664263383e-56,2.237407667915739e-58,2.4902123256844112e-61,1.400079864758396e-60,1.0807609964393378e-38,2.286607060284738e-56,5.12087755878315e-33,3.6881353069167086e-52,8.645802451168832e-65,2.5139331881736758e-54,4.462969833818902e-54,8.540424473294749e-51,1.0946776085765231e-78,4.2836658547111883e-57,3.727470655679101e-50,2.1796411448549427e-34,2.8546905484463485e-75,9.082430301815848e-52,5.832331159753297e-56,1.4398010584663855e-65,1.9892360999021316e-74,1.2408273361646847e-79,7.691736394805096e-83,1.0853118133555371e-76,6.216836454364629e-34,9.046988591579155e-93,6.308090284927593e-91,1.3877485468405071e-83,7.887670901974643e-69,2.198738462186799e-37,4.3487090932384083e-57,2.597876607312722e-72,3.979216337765844e-24,1.4840404709851206e-27,2.9506028113840474e-38,1.7892004366540269e-97,5.665154542998034e-70,3.256196131566772e-70,4.320092895504617e-55,1.7219949411550456e-47
1.0451495066369386e-19,0.4188261664694591,3.76,0.0,0.9507939120046034,0.9999999999997905,5.183445866445008e-44,0.0,2.3820731227752675e-32,3.4851757806934666e-17,3.485175780692715e-17,8.890600372659273e-19,1.2356922116185396e-35,1.5137988682017626e-34,2.7183056784437764e-29,7.011868118689805e-30,8.092587860423337e-20,2.407348015730978e-31,8.890600372457674e-19,7.969324292307559e-24,3.351545496601767e-26,9.918987881221185e-33,3.311507384324071e-33,5.9781377033121445e-37,8.355644824847248e-39,2.110154799789539e-43,8.092587860423332e-20,1.9257264784226373e-39,6.998935449772296e-34,5.633038878535658e-57,4.436647531720477e-33,1.3386102638939233e-33,1.521266758255346e-45,1.6653622270316075e-39,2.7209973946350848e-37,1.2199134463282748e-34,2.0953996645802696e-13,4.9302090185970054e-36,1.1193911808417368e-58,1.6371520214005803e-43,6.663989752338324e-51,1.6949838683247545e-50,2.627585982977494e-37,6.2943104283989235e-65,8.6144045986593e-58,1.2213658531448281e-55,1.7953787464872847e-57,1.998238563816562e-60,1.1235314289240225e-59,4.3343349772168125e-38,1.8348581603970994e-55,2.0537009379183358e-32,2.962510806683773e-51,1.3893572229496603e-63,2.0193276220005016e-53,3.5849000533455218e-53,6.8531527824673205e-50,3.518743302117978e-77,3.4373720749963234e-56,2.9910604529030607e-49,8.741335859040972e-34,4.587410518758096e-74,7.295501896537632e-51,4.680078448319415e-55,1.5643624467177588e-64,3.193164489686128e-73,1.991802676351118e-78,2.472439895406275e-81,1.7422195536194326e-75,2.4932294727654572e-33,2.9048908581521316e-91,2.0254600321515116e-89,4.462791353119085e-82,1.2661636634276656e-67,8.817926050181204e-37,3.489565175673932e-56,4.1760107754055356e-71,7.972297540820232e-24,2.973251814655284e-27,1.183323696301903e-37,1.1295905682977548e-95,9.106570470479714e-69,5.226944562985369e-69,1.7934907636505996e-54,6.906335129666238e-47
