Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188)
0.0,0.6111870774285706,3.76,0.0,0.8983227083265958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3432905082326615e-22,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999996,5.750328662228825e-53,0.0,1.0495618032096556e-38,4.658841619373702e-20,4.658841619373699e-20,1.2369834311262654e-21,4.5094643702714934e-41,5.4806504225107905e-40,2.9348160222602036e-32,2.0273726607270924e-35,1.4190102365070562e-22,6.070967415524689e-50,1.2369834310969375e-21,6.793886026048599e-41,4.677715628775686e-29,2.3375751934941272e-38,1.0611072200320063e-38,1.2384715502339396e-49,2.5892991736328557e-44,7.81058228267354e-49,1.4190102365070562e-22,7.891293437883649e-45,2.203014019952139e-39,4.153676140522298e-65,2.8933738658008794e-38,3.96218439448315e-39,2.128431037904169e-55,6.500078790440872e-45,7.587112704004817e-43,3.656721658060261e-40,3.278719195902377e-16,1.3716405495220642e-41,1.187676070064492e-66,5.885021692794622e-49,2.271635370411456e-59,5.810020803608767e-59,1.7066780077454641e-57,4.512168753864172e-76,1.4380645456306429e-80
6.561213423051453e-22,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999991,6.826790187800444e-52,0.0,6.339353291388735e-38,1.3044756534246367e-19,1.3044756534246352e-19,3.463553607153543e-21,2.7237164796467082e-40,3.310312855195631e-39,8.22405453017032e-32,1.22453308707916e-34,3.9732286622197583e-22,7.20745251571089e-49,3.463553607071425e-21,4.1035071632738545e-40,1.3097603770698486e-28,1.4118954168704445e-37,6.409087608993518e-38,7.480368164249988e-49,1.5639367008742892e-43,4.7175916989270313e-48,3.9732286622197583e-22,4.766341236482823e-44,1.3306204680508902e-38,4.931244314211789e-64,1.7475978149437303e-37,2.3931593742678217e-38,2.5268733281998285e-54,3.926047589426435e-44,4.5826160732671335e-42,2.2086598814683973e-39,9.18041374851919e-16,8.284708919107786e-41,1.4100090303813745e-65,3.554553116282788e-48,3.432891162350183e-58,8.780087627640452e-58,2.5791318050965594e-56,1.272501573081124e-74,4.05557210871929e-79
1.4997059252689036e-21,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999979,6.702583088701297e-51,0.0,3.052125723737298e-37,2.9816586363991694e-19,2.981658636399163e-19,7.916693959208088e-21,1.3113522388790389e-39,1.5937731428648065e-38,1.8828810217357545e-31,5.895599697394318e-34,9.081665513645162e-22,7.076319619535504e-48,7.916693959020393e-21,1.975662061685685e-39,2.9937380095050335e-28,6.797668662680783e-37,3.0856997958533703e-37,3.6014752693118706e-48,7.529681996924993e-43,2.271317328084292e-47,9.081665513645162e-22,2.2947881317381802e-43,6.406364770017784e-38,4.8415249099517977e-63,8.413931201748938e-37,1.1522032219156985e-37,2.480899217781094e-53,1.8902229122604203e-43,2.2063323743969344e-41,1.0633746581639217e-38,2.0983802853722946e-15,3.988730718001939e-40,1.384355227269605e-64,1.7113643286216478e-47,3.692946211600328e-57,9.445212168713253e-57,2.7745123033357326e-55,2.767967180236928e-73,8.821755184008455e-78
3.1868750911964197e-21,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999956,5.928358837626919e-50,0.0,1.3329434900800018e-36,6.336024602348235e-19,6.336024602348209e-19,1.6822974663317163e-20,5.727019750287039e-39,6.960426036574941e-38,4.014343627719997e-31,2.574763279123337e-33,1.929853921649597e-21,6.258924566709174e-47,1.682297466291831e-20,8.628235307959491e-39,6.361693290577902e-28,2.9687204957373954e-36,1.3476061694409541e-36,1.5728588700585698e-47,3.2884099505143864e-42,9.919439501892305e-47,1.929853921649597e-21,1.0021942666128773e-42,2.7978278053360763e-37,4.282273954996265e-62,3.674584809567094e-36,5.031974180993589e-37,2.1943272628376697e-52,8.255100063862102e-43,9.63563313483355e-41,4.6440365057365054e-38,4.459058106401099e-15,1.741983497884521e-39,1.224446521198733e-63,7.473977758359895e-47,3.394453281834104e-56,8.681775277012119e-56,2.5502548131158874e-54,5.131343414006798e-72,1.6354047359402984e-76
6.561213423051453e-21,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999908,4.983142813457003e-49,0.0,5.564776680651244e-36,1.3044756534246366e-18,1.3044756534246258e-18,3.463553607153522e-20,2.3909180091559634e-38,2.9058408540028334e-37,8.319314713875668e-31,1.0749129847174403e-32,3.9732286622197584e-21,5.261003226814755e-46,3.463553607071406e-20,3.60211842040096e-38,1.3097603917533638e-27,1.239382367590454e-35,5.625990480612451e-36,6.566376170645715e-47,1.372846421860731e-41,4.141170728869744e-46,3.9732286622197584e-21,4.183963780780733e-42,1.1680380333757976e-36,3.5995092866597965e-61,1.534066823647605e-35,2.1007501659549552e-36,1.844464282551123e-51,3.446341774693713e-42,4.0226871563360414e-40,1.938793823103526e-37,9.18041374841092e-15,7.27243819348947e-39,1.0292210795098666e-62,3.1202386883887975e-46,2.904026047742313e-55,7.427440779593599e-55,2.1817966847008232e-53,8.819467308033033e-71,2.810842893382174e-75
1.3309890086761518e-20,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999813,4.0854815473044804e-48,0.0,2.273392848252731e-35,2.6462220398042625e-18,2.646222039804219e-18,7.026065888797098e-20,9.767680204904742e-38,1.1871308041070382e-36,1.709744038293574e-30,4.3913702780407674e-32,8.059978143360081e-21,4.3132883017692587e-45,7.02606588863052e-20,1.4715829306030905e-37,2.65694254306851e-27,5.063281372114894e-35,2.2984006828804574e-35,2.6825789262208302e-46,5.608525582060702e-41,1.6918033669498233e-45,8.059978143360081e-21,1.709285723831873e-41,4.7718164877531994e-36,2.951095188236502e-60,6.267163528279156e-35,8.582249885826185e-36,1.5122032566735546e-50,1.4079430663263112e-41,1.6433989607078003e-39,7.920605380224639e-37,1.86231250322394e-14,2.9710282958219906e-38,8.438176239086196e-62,1.2747193966351487e-45,2.4011048162825904e-54,6.141151374912125e-54,1.803951690717768e-52,1.4617619523675148e-69,4.658765958406506e-74
2.6807243414181647e-20,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999625,3.308528880309304e-47,0.0,9.189417377000414e-35,5.329714812563515e-18,5.329714812563337e-18,1.4151090452084102e-19,3.948252510727231e-37,4.798572516042194e-36,3.532642570805073e-30,1.775062078353836e-31,1.623347710564073e-20,3.4930126963233714e-44,1.4151090451748614e-19,5.948373666312193e-37,5.3513069493948e-27,2.046659285512469e-34,9.290503042865001e-35,1.084341296713569e-45,2.26705571288e-40,6.838539714455959e-45,1.623347710564073e-20,6.909206187055058e-41,1.9288445191213684e-35,2.3898733987262497e-59,2.5332877014540774e-34,3.469082622220852e-35,1.2246214037712453e-49,5.691130984826531e-41,6.64288135845094e-39,3.201635334271172e-36,3.750854759913174e-14,1.2009371397996558e-37,6.833453893033796e-61,5.152620270519669e-45,1.952538529070111e-53,4.9938821920167765e-53,1.4669435556186077e-51,2.3801003429393508e-68,7.585592657328106e-73
5.380195006902191e-20,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999247,2.6629918784447546e-46,0.0,3.6950243108617936e-34,1.0696700358082019e-17,1.0696700358081304e-17,2.840113957865753e-19,1.587574969626314e-36,1.929484903776627e-35,7.44753323062594e-30,7.137446546992512e-31,3.2580475030202026e-20,2.8114805032369883e-43,2.8401139577984254e-19,2.3918150300183983e-36,1.0740036176831369e-26,8.229526971696285e-34,3.735670412427028e-34,4.3600886950950957e-45,9.11573131277465e-40,2.7497467495577595e-44,3.2580475030202014e-20,2.778161420064116e-40,7.755798977642615e-35,1.923578030383011e-58,1.0186238429505395e-33,1.3949028648153045e-34,9.856818454093181e-49,2.2883787385008973e-40,2.67107337969571e-38,1.2873634866066058e-35,7.527939272985791e-14,4.828915419782172e-37,5.500158190374022e-60,2.0718464788649835e-44,1.5747930469326816e-52,4.027746857368907e-52,1.1831431212855887e-50,3.841491502022709e-67,1.2243177132782653e-71
1.0779136337870244e-19,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999998492,2.136883273184882e-45,0.0,1.4818700127339983e-33,2.1430671449119028e-17,2.143067144911616e-17,5.690123783180207e-19,6.366885689329966e-36,7.738097447076694e-35,1.635368892945857e-29,2.862435295441679e-30,6.527447087932461e-20,2.2560360429891497e-42,5.690123783045334e-19,9.592249164271106e-36,2.151749629084047e-26,3.300408390237131e-33,1.4981709173323934e-33,1.7485906021913308e-44,3.655815967483952e-39,1.1027714379095936e-43,6.527447087932458e-20,1.1141669857859131e-39,3.110422276557674e-34,1.5435502343750835e-57,4.0851372008800714e-33,5.594184373463856e-34,7.909476048665493e-48,9.177422243839515e-40,1.0712198934717606e-37,5.162903368684192e-35,1.508210829790762e-13,1.9366110616787346e-36,4.413530560244761e-59,8.309035288390039e-44,1.2649594112982886e-51,3.235305295647875e-51,9.503648970993391e-50,6.173173678343523e-66,1.9674456978810782e-70
2.157701899980635e-19,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999996981,1.7121069787025249e-44,0.0,5.9352094444961705e-33,4.2898613631193044e-17,4.289861363118157e-17,1.1390143433808182e-18,2.550075226369523e-35,3.09927514880078e-34,3.8471497843882903e-29,1.1464671564977538e-29,1.3066246257756977e-19,1.8075741906442416e-41,1.1390143433538279e-18,3.8419038602665214e-35,4.307242315540249e-26,1.321884839967905e-32,6.0004980873912136e-33,7.003483214985795e-44,1.4642332504877867e-38,4.416837824238848e-43,1.3066246257756968e-19,4.462479407553557e-39,1.2457912982161162e-33,1.2367185365452473e-56,1.6361856766013572e-32,2.2405916604607995e-33,6.337205831230504e-47,3.675755815595984e-39,4.290467039494575e-37,2.067854303571078e-34,3.0190446342857674e-13,7.756545554975596e-36,3.536195246668306e-58,3.327951491307277e-43,1.014021536758734e-50,2.59349763756607e-50,7.618350966026291e-49,9.89855673496444e-65,3.1547586289345927e-69
4.317278432367856e-19,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999993959,1.3707266175672187e-43,0.0,2.3756305385123923e-32,8.583449799534109e-17,8.583449799529513e-17,2.279018273506042e-18,1.0206946598883424e-34,1.2405177537527353e-33,9.992910573973154e-29,4.58885640561911e-29,2.614384459740601e-19,1.4471584350042116e-40,2.2790182734520658e-18,1.5377634967881058e-34,8.618230343070183e-26,5.290984291166224e-32,2.4017630099291404e-32,2.803218611356812e-43,5.860748904015517e-38,1.767886228735246e-42,2.6143844597405966e-19,1.786154718934359e-38,4.986411818271492e-33,9.901268268226945e-56,6.549006729335721e-32,8.968205792227298e-33,5.073617957428303e-46,1.4712602558784954e-38,1.7173049536335307e-36,8.276806198122538e-34,6.040712241318331e-13,3.10463963497908e-35,2.831106356287114e-57,1.3320506124126097e-42,8.120396362751299e-50,2.076901526266826e-49,6.100859527325479e-48,1.5854893472230626e-63,5.0530964708282435e-68
8.636431497142298e-19,0.6111870774285706,3.76,0.0,0.8983227083265957,0.9999999999987916,1.096997886280734e-42,0.0,9.505616560069129e-32,1.7170626672363718e-16,1.7170626672345328e-16,4.559026133755002e-18,4.084108160373599e-34,4.963686862760566e-33,2.917322817991382e-28,1.8361402884668833e-28,5.229904127670408e-19,1.1581665689905845e-39,4.559026133647141e-18,6.153062807869492e-34,1.7240217016600177e-25,2.117082899069995e-31,9.61018048123404e-32,1.1216527126886787e-42,2.345062959571936e-37,7.073847996554922e-42,5.229904127670391e-19,7.146945451730413e-38,1.9952142371945058e-32,7.92402412860159e-55,2.6204557393618233e-31,3.588450479790189e-32,4.060436342012477e-45,5.886957428972387e-38,6.871456786696805e-36,3.3118005831790666e-33,1.208404744755368e-12,1.2422602511341251e-34,2.265745517416269e-56,5.32995934663267e-42,6.499608325369395e-49,1.662362998719967e-48,4.883160331524025e-47,2.538159955968408e-62,8.089342994456855e-67
1.727473762669118e-18,0.6111870774285706,3.76,0.0,0.8983227083265954,0.9999999999975829,8.777649820384208e-42,0.0,3.802865595762589e-31,3.4344980418022933e-16,3.4344980417949367e-16,9.119041854246975e-18,1.6339092088683084e-33,1.9857979598197292e-32,9.50890474986466e-28,7.345756776559851e-28,1.0460943463530022e-18,9.267092211807156e-39,9.119041854031691e-18,2.4616304200939703e-33,3.44842328375407e-25,8.469710157749454e-31,3.844697970123797e-31,4.487342283413109e-42,9.381778852134117e-37,2.830000062510133e-41,1.0460943463529948e-18,2.8592435632163872e-37,7.982156151613626e-32,6.340423745633501e-54,1.0483529295730337e-30,1.4356138577774465e-31,3.2489659958514427e-44,2.3551663074185628e-37,2.749030220182056e-35,1.3249358847723283e-32,2.417071782870527e-12,4.969849908654641e-34,1.8129406620859487e-55,2.132348264172505e-41,5.2010034759144913e-48,1.330227192349585e-47,3.907517590662649e-46,4.0621578436067106e-61,1.2946460731323322e-65
3.455134988578895e-18,0.6111870774285707,3.76,0.0,0.8983227083265951,0.9999999999951656,7.022786627750127e-41,0.0,1.5212700433626102e-30,6.869368790934132e-16,6.869368790904703e-16,1.8239073295207124e-17,6.536168784193048e-33,7.943838307772291e-32,3.3714142256165936e-27,2.9385418521559598e-27,2.092302213524924e-18,7.414377708510198e-38,1.8239073294778372e-17,9.8473601372098e-33,6.897243437494399e-25,3.388159794954224e-30,1.5380043526437996e-30,1.795083844168175e-41,3.7530169657040645e-36,1.1320923499077647e-40,2.0923022135248953e-18,1.1437905092510959e-36,3.1931223181263743e-31,5.072821432894587e-53,4.193753010240737e-30,5.742922796108218e-31,2.5994195919340918e-43,9.421431957032253e-37,1.0997016334179037e-34,5.300174872793011e-32,4.834405846573199e-12,1.9881017514995437e-33,1.450490246269943e-54,8.530226930673535e-41,4.1613295712890274e-47,1.0643164877570036e-46,3.1264098510166807e-45,6.500334205950863e-60,2.0717147208147107e-64
6.910457440398448e-18,0.6111870774285708,3.76,0.0,0.8983227083265944,0.999999999990331,5.618496038081229e-40,0.0,6.08532780753605e-30,1.3739110289197805e-15,1.3739110289080085e-15,3.647913617703224e-17,2.614573924331194e-32,3.1776646158312653e-31,1.2621291183750049e-26,1.1754645708426824e-26,4.184717947868766e-18,5.931783757336294e-37,3.647913617618208e-17,3.939133996655907e-32,1.3794951703184096e-24,1.3553190662560749e-29,6.152267749916609e-30,7.18063431962948e-41,1.5012678736915442e-35,4.528555220520883e-40,4.184717947868651e-18,4.575348218210232e-36,1.2773008993240546e-30,4.058451103701338e-52,1.6775694649065727e-29,2.2972625947658826e-30,2.07963439690971e-42,3.768726134623067e-36,4.398985933704871e-34,2.1201562189182566e-31,9.669073923867963e-12,7.952730559133558e-33,1.1604472908050756e-53,3.4123413708179032e-40,3.329274386113355e-46,8.515070871730957e-46,2.501286201858028e-44,1.0401240102645165e-58,3.3149683997647e-63
1.3821102344037556e-17,0.6111870774285709,3.76,0.0,0.898322708326593,0.9999999999806616,4.494903548560741e-39,0.0,2.434180662836488e-29,2.7478593285725118e-15,2.747859328525423e-15,7.295926194030171e-17,1.0458508659397174e-31,1.2710917008732924e-30,4.875636292632027e-26,4.701953944801533e-26,8.369549416556446e-18,4.7455396448688836e-36,7.295926193863087e-17,1.5757093833461038e-31,2.7590640067400718e-24,5.421386563056103e-29,2.4609571697178946e-29,2.8723175742465173e-40,6.005193673879617e-35,1.8114601846596182e-39,8.369549416555982e-18,1.830176529506595e-35,5.109307533108067e-30,3.2468400240385594e-51,6.71041438359827e-29,9.189237334994345e-30,1.6637470079089955e-41,1.5075211254600664e-35,1.759630496501848e-33,8.48079741825611e-31,1.9338409878015162e-11,3.1811569078632636e-32,9.283798774784805e-53,1.365053723577891e-39,2.6635038030906657e-45,6.812272293863024e-45,2.0010922918153056e-43,1.6642548476259842e-57,5.30412941090717e-62
2.7642392151315768e-17,0.6111870774285713,3.76,0.0,0.8983227083265902,0.9999999999613228,3.5959655600875674e-38,0.0,9.736821828858234e-29,5.4957559278779625e-15,5.4957559276896054e-15,1.4591951346531775e-16,4.183446166133341e-31,5.084418477322653e-30,1.9156777770715788e-25,1.8808007101908435e-25,1.6739212353931774e-17,3.79647677174577e-35,1.4591951346209392e-16,6.303091469391641e-31,5.5183104127191304e-24,2.168576684640732e-28,9.843928827198527e-29,1.1489430444997798e-39,2.4021019072869087e-34,7.245924385134779e-39,1.6739212353929928e-17,7.32078064568197e-35,2.0437437924420948e-29,2.5975061657778595e-50,2.6841930584135373e-28,3.675732325482637e-29,1.3310134026613405e-40,6.030145851230349e-35,7.038596171691879e-33,3.392353476053692e-30,3.8677080984540315e-11,1.2724756780469599e-31,7.427127308027747e-52,5.46098568568081e-39,2.1308367606584038e-44,5.449904078243598e-44,1.6008991659355814e-42,2.662852899867009e-56,8.486751317715188e-61
5.52849717658722e-17,0.6111870774285717,3.76,0.0,0.8983227083265846,0.9999999999226453,2.8767895901689937e-37,0.0,3.894748644723125e-28,1.0991549126488814e-14,1.0991549125735384e-14,2.918400165092581e-16,1.673387094631066e-30,2.0337776971710248e-29,7.593556923754948e-25,7.523241103984297e-25,3.347853822868233e-17,3.037199439295835e-34,2.9184001650328216e-16,2.5214012678700877e-30,1.1037238157226976e-23,8.674350854520466e-28,3.937591566980425e-28,4.5958301711751284e-39,9.608456518394243e-34,2.8983924457689323e-38,3.347853822867494e-17,2.9283271979083643e-34,8.175016663162738e-29,2.0780225748504652e-49,1.0736826843339976e-27,1.4703004084960473e-28,1.0648170406581046e-39,2.412070614922675e-34,2.8154548570831605e-32,1.3569482921444168e-29,7.735441999051382e-11,5.089928365662127e-31,5.941737334234081e-51,2.1849775848942476e-38,1.7046828958901722e-43,4.359957765312869e-43,1.2807294657634866e-41,4.260600748319525e-55,1.3578918415740743e-59
1.1057013099498505e-16,0.611187077428573,3.76,0.0,0.8983227083265732,0.9999999998452903,2.301438614580583e-36,0.0,1.5579035026054004e-27,2.1983135523710324e-14,2.198313552069659e-14,5.836810225727718e-16,6.693566336237194e-30,8.135131172654311e-29,3.0235918615297933e-24,3.0093040930630596e-24,6.695718997818301e-17,2.4297667593222354e-33,5.836810225627062e-16,1.0086845574598383e-29,2.207683337649585e-23,3.469749162559007e-27,1.5750406390984784e-27,1.838364438089859e-38,3.843392396075951e-33,1.1593662865372561e-37,6.695718997815344e-17,1.1713338943276259e-33,3.2700149118117257e-28,1.6624314904313057e-48,4.2947416588929164e-27,5.88121659040529e-28,8.518561598716417e-39,9.648307044589711e-34,1.1261864614853536e-31,5.427806971590049e-29,1.547090851741559e-10,2.03597633581586e-30,4.753404338233551e-50,8.744510179257505e-38,1.3637517116560153e-42,3.487980021699783e-42,1.0245876257432612e-40,6.816990062756812e-54,2.1726365385626474e-58
2.2114044945321077e-16,0.6111870774285755,3.76,0.0,0.8983227083265506,0.9999999996905804,1.8411538055800126e-35,0.0,6.231622596433662e-27,4.396630831815254e-14,4.39663083060976e-14,1.1673630346023312e-15,2.6774306870968573e-29,3.2540563630125923e-28,1.2066705554236712e-23,1.2037231665672987e-23,1.3391449347718268e-16,1.9438162891797398e-32,1.1673630345897465e-15,4.035715244727574e-29,4.4162982736480504e-23,1.3879014272074722e-26,6.300170621632984e-27,7.35368866257906e-38,1.5373589248539546e-32,4.637521921655887e-37,1.3391449347706445e-16,4.685341825489989e-33,1.3080075723152733e-27,1.329960762397549e-47,1.7178988475473493e-26,2.3524896272751354e-27,6.814859387172383e-38,3.85932776360782e-33,4.504764810964433e-31,2.1711255488701966e-28,3.094183642282372e-10,8.143914193134372e-30,3.8027297000138566e-49,3.501470614350836e-37,1.0910035272711483e-41,2.7903895544455956e-41,8.196717217082931e-40,1.0907207123990413e-52,3.476227055068158e-57
