Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64)
0.0,0.3420057579793978,3.76,0.0,0.8466990554334988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0987720523883114e-22,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999999996,6.767313333500851e-53,0.0,1.3930831418275807e-38,7.743864681262575e-20,7.743864681262572e-20,1.8448437062627543e-21,1.207905734758751e-40,1.4607523659065987e-39,6.018176941069945e-32,3.124047576343704e-35,2.0721232327020435e-22,6.206678398068633e-50,1.844843706202604e-21,8.936947792252904e-41,1.4269247398181992e-28,4.140141505439836e-38,1.4082460237602244e-38,3.853721944334968e-49,5.753228148915604e-44,1.4674315321523477e-48,2.0721232327020435e-22,1.3268361389584787e-44,3.5933271007250253e-39,9.16059366662215e-65,3.788604831385807e-38,6.543403234339568e-39,3.380102541583856e-55,1.2598059615288096e-44,2.1691848121159575e-42,7.712217243575317e-40,3.316624609441012e-16,3.8725767090099355e-41,2.8926069153232243e-66,1.6836134689587825e-48,8.41220434869364e-59,2.0209787172580663e-58,1.7156541865201163e-42,1.955559851749561e-75,2.3407916881807114e-65,3.005083358656946e-63
3.076561746687272e-22,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999999991,8.034154389535455e-52,0.0,8.414222176642293e-38,2.1682821107535208e-19,2.1682821107535186e-19,5.165562377535711e-21,7.295750637949367e-40,8.822944290073728e-39,1.6861019260874166e-31,1.8869247361115912e-34,5.801945051565722e-22,7.368568594187062e-49,5.16556237736729e-21,5.397916470140396e-40,3.995389272840025e-28,2.500645469285646e-37,8.505805983512049e-38,2.3276480546919493e-48,3.4749498019451168e-43,8.863286454662778e-48,5.801945051565722e-22,8.014090279311471e-44,2.1703695688376184e-38,1.0875456801533049e-63,2.288317318157025e-37,3.9522155535410985e-38,4.012857737368351e-54,7.609228007634324e-44,1.3101876265292075e-41,4.6581792151194884e-39,9.286548906428888e-16,2.339036332240781e-40,3.4341029298737774e-65,1.0169025403841834e-47,1.2712511943918847e-57,3.054099582343519e-57,1.0362551286581528e-41,5.514985653510082e-74,2.7789878922110178e-64,3.5676349633975253e-62
7.032141135285193e-22,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999999979,7.887980421538635e-51,0.0,4.05108577644016e-37,4.956073396008047e-19,4.956073396008038e-19,1.1806999720081615e-20,3.512589876688215e-39,4.247867880053196e-38,3.858719920399588e-31,9.08473035200741e-34,1.326158868929308e-21,7.23450434078874e-48,1.1806999719696652e-20,2.5988644234166066e-39,9.132318344279945e-28,1.20395314978188e-36,4.095179437095169e-37,1.120662341874091e-47,1.6730387457047924e-42,4.267290896179707e-47,1.326158868929308e-21,3.85843949209458e-43,1.0449395208903928e-37,1.0677587979394689e-62,1.1017262849669896e-36,1.902821660545944e-37,3.939847522470134e-53,3.663515736126238e-43,6.307989433800738e-41,2.242712774431697e-38,2.122639750038086e-15,1.1261453069782579e-39,3.3716226205069086e-64,4.895948043261723e-47,1.3675536365269985e-56,3.28545977472105e-56,4.98912237440054e-41,1.19962938174825e-72,2.7284267917520364e-63,3.502725162850535e-61
1.4943299912481035e-21,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999999954,6.97682935432712e-50,0.0,1.7692155901267665e-36,1.0531655966517098e-18,1.053165596651706e-18,2.5089874405173387e-20,1.5340402831537065e-38,1.8551555046980804e-37,8.220154030429239e-31,3.967540421956422e-33,2.8180875964747796e-21,6.398837161272715e-47,2.5089874404355346e-20,1.134992375226563e-38,1.940617650874485e-27,5.2579797119083346e-36,1.7884724501759338e-36,4.89422687403224e-47,7.306599749124197e-42,1.863638046530682e-46,2.8180875964747796e-21,1.685081896480673e-42,4.563525417916184e-37,9.444205649828878e-62,4.811528135859943e-36,8.310122107611229e-37,3.4847505162712716e-52,1.5999535711420565e-42,2.754864711560383e-40,9.794515899340595e-38,4.5106094688189666e-15,4.918172420423692e-39,2.9821620254344057e-63,2.1381891829404783e-46,1.2570172601173407e-55,3.0199031367217956e-55,2.1788808168805895e-40,2.223910358074539e-71,2.413262598864584e-62,3.0981207394409617e-60
3.076561746687272e-21,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999999907,5.864445457836747e-49,0.0,7.386126818021486e-36,2.1682821107535206e-18,2.1682821107535044e-18,5.16556237753568e-20,6.404316205781737e-38,7.744909044007087e-37,1.7007814736109775e-30,1.6563700249773585e-32,5.801945051565723e-21,5.3786081929116866e-46,5.1655623773672604e-20,4.738369769946489e-38,3.995389292401492e-27,2.1951030261839685e-35,7.46652041798075e-36,2.043243379122625e-46,3.05036156455629e-41,7.780321989720113e-46,5.801945051565723e-21,7.034885208788372e-42,1.9051820288002685e-36,7.938423907935339e-61,2.0087182816007266e-35,3.469312394846819e-36,2.929142780895867e-51,6.67949120802994e-42,1.1501017875396849e-39,4.089017582543583e-37,9.286548906342676e-15,2.0532401711000345e-38,2.5066868711315085e-62,8.926519305751691e-46,1.07540467715098e-54,2.583590548869002e-54,9.096398496930037e-40,3.8223334334755987e-70,2.0284926243424793e-61,2.6041571572783656e-59
6.2410252575656084e-21,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999999811,4.8080267012389603e-48,0.0,3.0174738085679445e-35,4.3985151389571425e-18,4.398515138957075e-18,1.0478712251572306e-19,2.6163721377937574e-37,3.164048054623183e-36,3.4842306089955765e-30,6.766812012262895e-32,1.1769659961747609e-20,4.409707958368358e-45,1.0478712251230659e-19,1.935778682344733e-37,8.104932609991613e-27,8.967712106440927e-35,3.0503172173090164e-35,8.347315916099942e-46,1.24617222996876e-40,3.178515401182626e-45,1.1769659961747609e-20,2.873980150455408e-41,7.783290233219382e-36,6.508399544301497e-60,8.206269608974678e-35,1.4173273141708705e-35,2.401488223131148e-50,2.7287901049134007e-41,4.698541071754786e-39,1.670497103827345e-36,1.8838427781237878e-14,8.388156054639665e-38,2.0551333446155367e-61,3.64677470411238e-45,8.891653623834712e-54,2.1361625632382064e-53,3.7161755941703536e-39,6.335237145031649e-69,1.663080809826303e-60,2.135045374085191e-58
1.2569952279322282e-20,0.3420057579793978,3.76,0.0,0.8466990554334988,0.999999999999962,3.893664679228076e-47,0.0,1.2197111586968276e-34,8.858981195364385e-18,8.858981195364112e-18,2.110501199964534e-19,1.0575794503198216e-36,1.2789588124441065e-35,7.154796856758728e-30,2.7352536073720675e-31,2.3705089782111382e-20,3.5710958340858374e-44,2.110501199895725e-19,7.824727117277715e-37,1.632401938331629e-26,3.6248926148032143e-34,1.2329869896140303e-34,3.3741185703308055e-45,5.037227399335342e-40,1.2848067474511775e-44,2.370508978211138e-20,1.1617087278140072e-40,3.1461303563567626e-35,5.270670701058698e-59,3.317105382909987e-34,5.729063615019399e-35,1.944787425878325e-49,1.1030205900075327e-40,1.8992254249635986e-38,6.752416383177532e-36,3.7942185530419424e-14,3.390626792301604e-37,1.664300265432487e-60,1.4740848869022104e-44,7.230544975098414e-53,1.737091894498104e-52,1.502137591699579e-38,1.0315291225800082e-67,1.346805958124576e-59,1.7290150987235977e-57
2.522780632283563e-20,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999999238,3.1339600751018752e-46,0.0,4.904404924421451e-34,1.7779913308178873e-17,1.777991330817777e-17,4.2357611495790526e-19,4.2524804559607353e-36,5.142637134101045e-35,1.491060126026074e-29,1.0998334454416926e-30,4.757594942283892e-20,2.8743286055878478e-43,4.2357611494409605e-19,3.146288503294221e-36,3.276219348254336e-26,1.4575533775547983e-33,4.957786456511637e-34,1.356718249235336e-44,2.025446982745291e-39,5.166151441373775e-44,4.757594942283891e-20,4.671179700820661e-40,1.2650451790952609e-34,4.242294331770085e-58,1.3337934853085413e-33,2.3036312822620677e-34,1.5653341130289977e-48,4.435197279824193e-40,7.636701907248042e-38,2.7151169294693804e-35,7.614970102634713e-14,1.363356120617563e-36,1.3395736445234218e-59,5.927232464566612e-44,5.831696433897197e-52,1.4010275332707827e-51,6.040029189813671e-38,1.6648921497698346e-66,1.0840266046421264e-58,1.3916617723667353e-56
5.0543514409862324e-20,0.3420057579793978,3.76,0.0,0.8466990554334988,0.9999999999998475,2.5148055904985873e-45,0.0,1.966885729682542e-33,3.5621777533807836e-17,3.5621777533803424e-17,8.486281048807737e-19,1.7054348598848309e-35,2.0624275007741886e-34,3.208089769916676e-29,4.410824028750885e-30,9.531766870429401e-20,2.3064676870907496e-42,8.486281048531101e-19,1.261802526384038e-35,6.563854389130836e-26,5.845440950670856e-33,1.988294111489297e-33,5.441047082895853e-44,8.122948304141073e-39,2.0718578039794866e-43,9.531766870429396e-20,1.8733519837169777e-39,5.07339697336267e-34,3.404174052659042e-57,5.349108429803363e-33,9.238591766143708e-34,1.256082044406587e-47,1.778712478265727e-39,3.06265902820722e-37,1.0888833252898234e-34,1.5256473200846087e-13,5.467667819215802e-36,1.0749234864131205e-58,2.3770868979011954e-43,4.684335703799733e-51,1.1253815018351021e-50,2.422321852024356e-37,2.675436979152295e-65,8.698630807318486e-58,1.1167209285272121e-55
