Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72)
0.0,0.07995426632056102,3.76,0.0,0.5269027447965369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.214010572780775e-21,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999999998,1.3226362603365533e-52,0.0,2.1389683105503825e-39,2.1960573214006836e-23,2.1960573214006618e-23,7.877375319276937e-24,4.7474253999041744e-42,5.242939685880813e-41,2.975672282419315e-37,2.1418127028031195e-37,6.115790262329482e-28,1.6692062325598e-51,7.877375319276997e-24,1.3888623051006524e-45,4.6168437622161086e-35,1.4112218279302174e-37,2.1389707076909386e-39,5.540830391501908e-59,3.293590759628233e-50,1.1292676478401307e-55,6.115790262329482e-28,4.7213803749814e-52,2.8651453500911154e-41,5.484170752940868e-69,2.4230763315025385e-39,1.5259147812746829e-41,4.958068586777136e-57,2.1708129178941443e-52,1.2560016757115326e-47,5.144910556421477e-44,3.5707142141840523e-16,2.1748690380900795e-46,3.1444328148828904e-75,7.070141148861197e-58,2.877015406077476e-62,1.2005442366707326e-61,3.644416567090216e-48,7.544616459954525e-76,2.9054135237781394e-73,1.495746913587019e-71,1.3780317411168358e-73,7.489252680048375e-78,1.9300048906245887e-88,8.666273904246871e-49,1.531306587377409e-70,2.191167674996008e-63,4.253899887103936e-67
6.19922960378617e-21,0.07995426632056102,3.76,0.0,0.5269027447965369,0.999999999999999,1.5702337682716472e-51,0.0,1.2919368595725129e-38,6.148960499921914e-23,6.148960499921784e-23,2.2056650893974955e-23,2.86744494251077e-41,3.166735570165086e-40,1.5271386970663883e-36,1.293654872493063e-36,1.712421273452255e-27,1.981681639294965e-50,2.2056650893975587e-23,8.388738057615399e-45,1.2927956894793396e-34,8.523779840698335e-37,1.291938307445323e-38,3.3466618254369586e-58,1.9893288200669797e-49,6.820776623155045e-55,1.712421273452255e-27,2.8517137486985734e-51,1.730547791453121e-40,6.510807544291084e-68,1.4635381042275197e-38,9.216525278899083e-41,5.8862190262217675e-56,1.3111710034708315e-51,7.586250128024648e-47,3.1075259760785412e-43,9.997999799432306e-16,1.313620898938142e-45,3.733071765087129e-74,4.288901341929961e-57,4.347745681663017e-61,1.8142624504566344e-60,2.201227606522709e-47,2.127702555570144e-74,3.449306935536459e-72,1.775750735810561e-70,1.6359992830540522e-72,8.891240781944067e-77,4.317343917691989e-87,5.234429437850359e-48,1.8179671805342822e-69,2.601354263755238e-62,6.428492924995928e-66
1.416966766579696e-20,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999999977,1.5416648250485687e-50,0.0,6.220119847081737e-38,1.4054766856964376e-22,1.4054766856963748e-22,5.04152020433691e-23,1.380551307745108e-40,1.524646860493753e-39,6.762083466670682e-36,6.228391339751149e-36,3.914105767890869e-27,1.9456267846716098e-49,5.041520204337273e-23,4.0388261854438854e-44,2.955336060230116e-34,4.1038330756208036e-36,6.220126817965188e-38,1.6112738736192224e-57,9.577761947414229e-49,3.283910364357199e-54,3.914105767890869e-27,1.3729774162961646e-50,8.331842678036274e-40,6.392349509958318e-67,7.046305972009172e-38,4.4373601839467755e-40,5.779124744747271e-55,6.312723980874046e-51,3.6524528830596215e-46,1.4961399898073195e-42,2.2852570968796663e-15,6.324519161741966e-45,3.66515425825435e-73,2.083271575600735e-56,4.67710640534989e-60,1.9517007546705095e-59,1.0597963377101546e-46,4.6282178067376876e-73,3.386550003635762e-71,1.743442602477177e-69,1.6062337974462101e-71,8.729472924411539e-76,8.530344203824705e-86,2.5201524508828623e-47,1.7848909582465557e-68,2.5540250419752736e-61,6.9154791386253215e-65
3.0110543789818544e-20,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999999951,1.3635850789571644e-49,0.0,2.7164897544002504e-37,2.9866379571049297e-22,2.9866379571046546e-22,1.071323043421498e-22,6.029230272892365e-40,6.65853339941129e-39,2.833518033369646e-35,2.720102132559626e-35,8.317474756768097e-27,1.7208848575196537e-48,1.0713230434216688e-22,1.7638702164293897e-43,6.2816877786729405e-34,1.7922517214710972e-35,2.716492798767426e-37,7.03685865098541e-57,4.182860283590155e-48,1.4341699582736556e-53,8.317474756768097e-27,5.996153109531332e-50,3.63873459458607e-39,5.653960846637262e-66,3.0773069410080042e-37,1.9379117722188433e-39,5.111570390223418e-54,2.756932421742999e-50,1.595122138580482e-45,6.534036406654794e-42,4.8561713302996756e-15,2.7620836773162836e-44,3.241791428767387e-72,9.258444585607583e-56,4.299066580990587e-59,1.7939492419717364e-58,4.628409040207844e-46,8.57993580898762e-72,2.995365127136597e-70,1.5420552380319714e-68,1.4206956038226877e-70,7.721119944136209e-75,1.517929186503976e-84,1.1006167853514867e-46,1.578715839321453e-67,2.2590062262137297e-60,6.356516687615626e-64
6.19922960378617e-20,0.07995426632056102,3.76,0.0,0.5269027447965369,0.99999999999999,1.146175421028564e-48,0.0,1.1340809982549506e-36,6.148960499921914e-22,6.148960499920767e-22,2.20566508939681e-22,2.5170849605418504e-39,2.7798066199623976e-38,1.1589420337898216e-34,1.1355890950259114e-34,1.712421273452255e-26,1.4465074138362425e-47,2.205665089397546e-22,7.363883742207703e-43,1.2939475123323687e-33,7.482298131683498e-35,1.1340822692176759e-36,2.937751906627164e-56,1.7462618376594418e-47,5.987377476772811e-53,1.7124212734522548e-26,2.5032759046633216e-49,1.519100064591626e-38,4.752494929752317e-65,1.2847150709624482e-36,8.09040017031833e-39,4.296582908203062e-53,1.1509650234224372e-49,6.659320978464064e-45,2.727831577014233e-41,9.997999795328245e-15,1.1531155630430538e-43,2.7249277388500862e-71,3.9989584259950124e-55,3.677941970940771e-58,1.534761345628066e-57,1.9322696638741608e-45,1.474671747256138e-70,2.517784874283704e-69,1.296190343364424e-67,1.1941802583455628e-69,6.490066546479223e-74,2.560209448877617e-83,4.594858419640897e-46,1.3270057877137585e-66,1.8988308484684598e-59,5.43813382610742e-63
1.2575580053394803e-19,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999999797,9.397038591623157e-48,0.0,4.633090919394183e-36,1.2473605585555884e-21,1.2473605585551192e-21,4.47434918134622e-22,1.0283113427615602e-38,1.135641706457632e-37,4.686635667142135e-34,4.6392519867771044e-34,3.4737688690031465e-26,1.1859341721595114e-46,4.474349181349276e-22,3.0084462851511034e-42,2.6275385443685636e-33,3.056762928167837e-34,4.6330961116863705e-36,1.200169095790671e-55,7.134049471814751e-47,2.446039240590343e-52,3.473768869003146e-26,1.0226698999617397e-48,6.206019433885437e-38,3.8963827417277506e-64,5.248480257086083e-36,3.3051924528321785e-38,3.5225982567497116e-52,4.702067733963091e-49,2.720549949110692e-44,1.1144082061627497e-40,2.0281656718139593e-14,4.710853323201775e-43,2.234071395322879e-70,1.7429626339044905e-54,3.040993545995721e-57,1.2689703599389644e-56,7.893952061004826e-45,2.4441602737631596e-69,2.0642321591374304e-68,1.0626951560126188e-66,9.79061125125325e-69,5.3209486698396375e-73,4.205151716726571e-82,1.8771495890379496e-45,1.0879595190786186e-65,1.5567762521019213e-58,4.496354199744713e-62
2.532828095261207e-19,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999999591,7.609965486189792e-47,0.0,1.8727694263736896e-35,2.5122895756823825e-21,2.5122895756804855e-21,9.011717365240195e-22,4.156598908144418e-38,4.590445345705238e-37,1.8848075623611013e-33,1.8752598283117555e-33,6.996464060104929e-26,9.604002400340383e-46,9.011717365252642e-22,1.2161101920281222e-41,5.302854860865188e-33,1.2355924489988925e-33,1.872771525176966e-35,4.8512881929298416e-55,2.8836969197797067e-46,9.887283137540725e-52,6.996464060104926e-26,4.133795351790895e-48,2.5085722807957347e-37,3.1553921934318567e-63,2.1215196358930048e-35,1.3360116349154554e-37,2.852691397842301e-51,1.9006510083032364e-48,1.0996898205219566e-43,4.504616147850684e-40,4.084897053477912e-14,1.9042022299293395e-42,1.8092267567740447e-69,7.928570220945532e-54,2.472885448057485e-56,1.0319056221747866e-55,3.1908616365030254e-44,3.9796813986073364e-68,1.67166872299449e-67,8.60598089572276e-66,7.92869083002541e-68,4.309042190550048e-72,6.8167321540862155e-81,7.587738753735778e-45,8.810578258022227e-65,1.2607177711017159e-57,3.656360557367676e-61
5.08336827510466e-19,0.07995426632056102,3.76,0.0,0.5269027447965369,0.999999999999918,6.125162275344725e-46,0.0,7.530323496089307e-35,5.0421476099359706e-21,5.042147609928344e-21,1.8086453733008757e-21,1.671350178070814e-37,1.8457978797469885e-36,7.55951662954286e-33,7.540337292709374e-33,1.4041854442308492e-25,7.73013666111111e-45,1.8086453733059004e-21,4.890312436498527e-41,1.0686024503555787e-32,4.968262894087221e-33,7.530331935250845e-35,1.950691953779585e-54,1.1595218964407959e-45,3.975634221010922e-51,1.4041854442308483e-25,1.6621810145401455e-47,1.0086858809302396e-36,2.539734840184743e-62,8.530537148096751e-35,5.372044024068521e-37,2.296094215524713e-50,7.642434517960633e-48,4.4218046695198685e-43,1.811286341027951e-39,8.198359805212547e-14,7.656713389561892e-42,1.4562517768097958e-68,3.8983265517998115e-53,1.9944717002802754e-55,8.322692676304831e-55,1.2830314301268516e-43,6.423221822165935e-67,1.3455044228820072e-66,6.926842128306465e-65,6.381700160552956e-67,3.4682920376658553e-71,1.0978136998514904e-79,3.050996368282145e-44,7.091519884993019e-64,1.0147353421492756e-56,2.9489872485609714e-60
1.0184448634791566e-18,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999998357,4.915056976757547e-45,0.0,3.0199965239079856e-34,1.0101863678443145e-20,1.0101863678412556e-20,3.623592646846833e-21,6.702862052443227e-37,7.402475016983811e-36,3.02786190673166e-32,3.024012504197715e-32,2.813263520671562e-25,6.20294784352611e-44,3.623592646867021e-21,1.961544293230943e-40,2.1582511827729684e-32,1.9924956315122476e-32,3.019999908361841e-34,7.823229895511333e-54,4.6502017982296453e-45,1.5944080654328262e-50,2.813263520671557e-25,6.666089976122266e-47,4.0452815277073324e-36,2.037978369683064e-61,3.421126933981425e-34,2.1544299241928337e-36,1.84247100499352e-49,3.0649583845836436e-47,1.773341656937235e-42,7.26406834512836e-39,1.6425285262308738e-13,3.0706845023320373e-41,1.1685963731539199e-67,2.1331124944560562e-52,1.6020681336800367e-54,6.685239365021573e-54,5.145529884707923e-43,1.0321945032007055e-65,1.0796825668257092e-65,5.5583545707054185e-64,5.120912473463266e-66,2.7830859420666314e-70,1.762234120021653e-78,1.223585992796694e-43,5.690498099306744e-63,8.142612062741046e-56,2.36878693016413e-59
