Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134),CF3O(47),CHO3(229),CH2F(45),FO2(124),CH3F(39),CH2CO(28)
0.0,0.06766071231284707,3.76,0.0,0.5313500713266757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6429661526969767e-22,0.06766071231284707,3.76,0.0,0.5313500713266757,0.9999999999999996,5.8765212203398126e-52,0.0,2.577452497839496e-38,1.5470964430916121e-21,1.5470964430916065e-21,1.495793285139169e-22,5.131285446029989e-41,5.944668860185972e-40,6.814244167177717e-35,5.4523899317343785e-36,2.078054064312695e-25,1.6996231518137866e-37,1.4957932851385458e-22,1.6141765589007485e-29,1.0614546687905806e-31,3.5143550669659106e-37,1.1267744048598806e-38,4.758070537609015e-44,4.604881906719718e-47,3.145074552703063e-52,2.078054064312695e-25,1.2173312495292469e-48,6.523468823524381e-40,1.93993986182619e-66,7.486379862274327e-39,4.737520920121343e-40,3.398095657098904e-54,8.408927339264987e-49,1.004196043912889e-44,1.1543664129507792e-41,4.444097208581024e-16,1.900679946648366e-43,7.06264015608891e-71,1.9696420430835901e-53,8.66791510230344e-60,2.8729132014739124e-59,3.7932009340824654e-45,2.568957006422309e-74,5.848940705787472e-69,3.94545191513884e-67,4.649950451459921e-69,1.5533904641520346e-72,1.061974540645936e-79,1.1826959758047591e-45,9.72617124934394e-67,1.4507326568252775e-38,4.179381658320933e-63,9.895466596354877e-77,5.996498434889118e-66,3.312321339715878e-65,8.82814560343466e-58,2.132953732547928e-91,3.540649863726287e-66,8.613541016311027e-59,6.889382656749647e-40,1.5685510252644277e-87,1.0173194658695538e-65,9.796353477479832e-68,6.920668751138597e-77,5.017111129052257e-90,8.267828124571456e-95,1.210233861723415e-95,9.665103231870546e-91,5.0418302061935034e-39,1.6864929671230353e-107,3.373775312655689e-106,3.339077650274932e-98,1.0465569884444627e-78,3.4015172064557164e-42,2.1949389772103944e-66,1.230589132640806e-84,1.6148496275677196e-29,6.73069239875535e-33,7.380503284769468e-46,5.166498330785306e-114
1.0200305227551535e-21,0.06766071231284707,3.76,0.0,0.5313500713266757,0.9999999999999988,6.976605992788491e-51,0.0,1.5567813086953146e-37,4.3318700406565154e-21,4.33187004065648e-21,4.1882211983896604e-22,3.099296409550794e-40,3.5905799915069565e-39,2.084650263815118e-34,3.293243518767537e-35,5.818551380075547e-25,1.0265723836958074e-36,4.188221198387927e-22,4.519694366778302e-29,2.972073336326766e-31,2.1226704604473918e-36,6.805717405353883e-38,2.8738746047158383e-43,2.7813486717091893e-46,1.8996250323682052e-51,5.818551380075547e-25,7.352680747327023e-48,3.9401751694065186e-39,2.3030966067750658e-65,4.521773436813678e-38,2.8614626357532906e-39,4.0342191641078066e-53,5.078992113018304e-48,6.065344106272511e-44,6.972373134222678e-41,1.244347218395427e-15,1.1480106877649932e-42,8.384766410165531e-70,1.1897186135200484e-52,1.309895329992134e-58,4.341546303660088e-58,2.2910933641858707e-44,7.244869587771294e-73,6.943862405963927e-68,4.684040513652914e-66,5.5204211759733675e-68,1.8441851590556946e-71,3.338996446742078e-78,7.143483693780579e-45,1.154691050722071e-65,8.762425247224652e-38,6.315879562344798e-62,2.7906790612662826e-75,9.060022615100964e-65,5.0055797115545155e-64,1.0480774460391518e-56,1.1040779526528518e-89,4.2034595958196515e-65,1.0225995894477141e-57,4.161187124675353e-39,4.422676939870787e-86,1.5060955671268452e-64,1.1630230848464366e-66,1.0462012746520127e-75,1.122307691124501e-88,1.849480080154184e-93,6.264517152398669e-94,2.19022676626364e-89,3.0452654445297334e-38,7.047876045062676e-106,1.4099050912898876e-104,2.031323881651553e-96,2.3418346849878444e-77,2.0545163935695425e-41,2.6058315537440433e-65,3.869169140109909e-83,4.521578957189611e-29,1.8845938716514825e-32,4.457823984000764e-45,5.709124490831231e-112
2.331498337726065e-21,0.06766071231284707,3.76,0.0,0.5313500713266757,0.9999999999999972,6.849673134431387e-50,0.0,7.495231863721145e-37,9.901417235786323e-21,9.901417235786155e-21,9.573077024890587e-22,1.49217780792854e-39,1.728709704474024e-38,5.597749546031209e-34,1.5855549921483144e-34,1.329954601160125e-24,4.9425041254786925e-36,9.57307702488668e-22,1.0330729989958236e-28,6.793311726251697e-31,1.0219744534736586e-35,3.2766599693328345e-37,1.3836469123366907e-42,1.3390996585483698e-45,9.145876836569381e-51,1.329954601160125e-24,3.53999927388174e-47,1.8970247338775774e-38,2.2611939115102798e-64,2.177039263949348e-37,1.3776710835712853e-38,3.960820297914446e-52,2.4453160704087137e-47,2.9202020972566695e-43,3.3568975288608237e-40,2.8442222134410356e-15,5.527177284694151e-42,8.232213416327401e-69,5.728525691036891e-52,1.4091256219707425e-57,4.670437353873742e-57,1.1030628316312698e-43,1.575917367526841e-71,6.817525286824402e-67,4.598818752286078e-65,5.4199822462221245e-67,1.8106319250581484e-70,7.449103917257798e-77,3.43927989751999e-44,1.1336825208234004e-64,4.218730566047868e-37,6.794334334710947e-61,6.07033587020676e-74,9.745709711665313e-64,5.384774133775097e-63,1.0290086515344492e-55,4.820835902314496e-88,4.1269815913531946e-64,1.0039943408341465e-56,2.0034324765806455e-38,9.619609313111578e-85,1.6094217045108597e-63,1.141862961335142e-65,1.1262979984214774e-74,2.2174908726410055e-87,3.6542609743358777e-92,2.735333055636433e-92,4.352436526862077e-88,1.466164223944356e-37,2.804569881679528e-104,5.61045246804742e-103,9.170366994870545e-95,4.6277148780886645e-76,9.891612049427564e-41,2.5584208718360084e-64,8.63190362055237e-82,1.033503761643338e-28,4.307643135203314e-32,2.1462503552109694e-44,5.165186552725745e-110
4.9544339676678884e-21,0.06766071231284707,3.76,0.0,0.5313500713266757,0.999999999999994,6.05845831732846e-49,0.0,3.273364672260178e-36,2.1040511626045947e-20,2.104051162604521e-20,2.0342788677892217e-21,6.516732518762615e-39,7.549729451732925e-38,1.5450538462548764e-33,6.92453521330222e-34,2.8261535274652655e-24,2.1585214028078493e-35,2.0342788677884152e-21,2.1952801266017404e-28,1.4435792725511804e-30,4.4632309350464083e-35,1.4310034941723593e-36,6.04274958276333e-42,5.848200022294827e-45,3.994244720147317e-50,2.8261535274652655e-24,1.5460106871589176e-46,8.284805405841726e-38,2.0000004177753743e-63,9.507702425088127e-37,6.016651568554087e-38,3.503300698642613e-51,1.0679337722407604e-46,1.2753289773792887e-42,1.4660453444474451e-39,6.043972203416092e-15,2.4138635320788167e-41,7.2812995996283944e-68,2.5022716028579554e-51,1.295229217523758e-56,4.292936557935963e-56,4.817365186285641e-43,2.9214851947723934e-70,6.030023910366778e-66,4.067603106432043e-64,4.793912917438029e-66,1.6014834330098094e-69,1.3951337474993535e-75,1.5020238891477862e-43,1.0027293511220909e-63,1.8424304741680628e-36,6.245163564809839e-60,1.1253379177013206e-72,8.957750959151552e-63,4.949535106766274e-62,9.101464991277198e-55,1.7946762549710046e-86,3.650268494469905e-63,8.880216245607612e-56,8.749515974049814e-38,1.7832633898426604e-83,1.4754331526371911e-62,1.0099648581144525e-64,1.0368232616357855e-73,3.9459065277823326e-86,6.502562157416649e-91,1.018295868983584e-90,7.765289669571129e-87,6.403124361693029e-37,1.0036376187730941e-102,2.0077449994455594e-101,3.4625560899938616e-93,8.235297753140407e-75,4.319926865688242e-40,2.2628942879439283e-63,1.6166600583781125e-80,2.196195493492086e-28,9.153741662306724e-32,9.373239171657312e-44,3.9090910555281815e-108
1.0200305227551536e-20,0.06766071231284707,3.76,0.0,0.5313500713266757,0.9999999999999876,5.092499265219523e-48,0.0,1.366565314358117e-35,4.3318700406565235e-20,4.331870040656215e-20,4.188221198389459e-21,2.7206075455591725e-38,3.1518634290376667e-37,4.646247770392352e-33,2.890857141805167e-33,5.8185513800755465e-24,9.011401950955752e-35,4.1882211983878956e-21,4.519694393693296e-28,2.9720771601672975e-30,1.8633110565050548e-34,5.9741578945698816e-36,2.52272899904019e-41,2.441508387624617e-44,1.6675185620912571e-49,5.8185513800755465e-24,6.454290287305302e-46,3.458743170201812e-37,1.6811208774216578e-62,3.9692786029776046e-36,2.5118335918483188e-37,2.9447353269112637e-50,4.458413276659414e-46,5.324247439315413e-42,6.120450721464629e-39,1.244347218290156e-14,1.0077405075648162e-40,6.120371145068652e-67,1.0450446660278184e-50,1.1080958648396544e-55,3.672697601142056e-55,2.0111551352513376e-42,5.021286598309346e-69,5.068598433175662e-65,3.419065502429584e-63,4.02957266202958e-65,1.346143322144363e-68,2.4097458493394204e-74,6.270654062598509e-43,8.428544385936531e-63,7.691784546487257e-36,5.342868817784449e-59,1.9341683187590255e-71,7.6634547644237964e-62,4.2344314753192995e-61,7.650329729534611e-54,6.182931688934953e-85,3.068270620119436e-62,7.464356827047625e-55,3.6527506845886477e-37,3.0649357058112205e-82,1.2607751617308994e-61,8.489363181931837e-64,8.896985933212218e-73,6.655348104929091e-85,1.0967521512951093e-89,3.5081835955519034e-89,1.311386762795603e-85,2.673178375168346e-36,3.39548444398184e-101,6.792558176606056e-100,1.2013215595468256e-91,1.3890461759056905e-73,1.8034844350033527e-39,1.9020989986252584e-62,2.7923783583248376e-79,4.521578957189559e-28,1.8845938716512526e-31,3.913142841584849e-43,2.715740612768289e-106
2.069204774731883e-20,0.06766071231284707,3.76,0.0,0.5313500713266757,0.9999999999999748,4.175138573484255e-47,0.0,5.582865208450881e-35,8.787507796760394e-20,8.787507796759134e-20,8.496105859589575e-21,1.1114569545079274e-37,1.2876390532558363e-36,1.5371180182001682e-32,1.1810094687730544e-32,1.1803347085296109e-23,3.6814517317878003e-34,8.4961058595868e-21,9.168522975395291e-28,6.029079686455921e-30,7.612233649248543e-34,2.440638431905061e-35,1.0306171107281694e-40,9.97435841099201e-44,6.812357573505255e-49,1.1803347085296107e-23,2.6367881816746863e-45,1.4130094410245846e-36,1.3782844925771545e-61,1.6215798236878623e-35,1.0261659813819484e-36,2.4142719344164368e-49,1.821407298561084e-45,2.1751288112246608e-41,2.5004038251075655e-38,2.5242472140013923e-14,4.116948790383913e-40,5.017850206532284e-66,4.2725796870030246e-50,9.161950895173189e-55,3.036657397279264e-54,8.216224951266861e-42,8.322414286042514e-68,4.15554322785382e-64,2.8031564701293965e-62,3.303687124859075e-64,1.1036496261854874e-67,4.003828173877212e-73,2.561766790485293e-42,6.91022991878929e-62,3.142344963989514e-35,4.41758722227486e-58,3.205742114387537e-70,6.336257495946175e-61,3.5011098241417803e-60,6.272202525662643e-53,2.0518895814190836e-83,2.5155536335854435e-61,6.119730703350219e-54,1.492267840965654e-36,5.079876019806274e-81,1.0418511325965004e-60,6.960092842270493e-63,7.400434782090371e-72,1.0931429247109535e-83,1.8014187018434868e-88,1.1642382176439212e-87,2.1552969928090177e-84,1.0920805898507233e-35,1.1170775200123197e-99,2.2346778991585085e-98,4.00090236527226e-90,2.2815471609094466e-72,7.367822432661173e-39,1.5594556790525898e-61,4.639578878867623e-78,9.172345884584416e-28,3.823033282492008e-31,1.598646533494272e-42,1.8100296170666217e-104
4.1675532786853413e-20,0.06766071231284707,3.76,0.0,0.5313500713266757,0.9999999999999492,3.3811354646029255e-46,0.0,2.256683379603561e-34,1.7698783308968193e-19,1.7698783308963096e-19,1.7111875181988388e-20,4.492686724145569e-37,5.204842926790011e-36,5.491122325854607e-32,4.773829099947382e-32,2.3772938495737233e-23,1.4881016513514557e-33,1.711187518198439e-20,1.8466180328874815e-27,1.2143111743258717e-29,3.076986550169979e-33,9.865450766282049e-35,4.165919143061727e-40,4.031795148398539e-43,2.7536639722554196e-48,2.3772938495737227e-23,1.0658319424605873e-44,5.7116100812845094e-36,1.11617056223324e-60,6.554684915652866e-35,4.147926966570279e-36,1.9551400067171137e-48,7.362419523627907e-45,8.792218479469209e-41,1.0107032041259493e-37,5.0840472046804346e-14,1.6641365248963085e-39,4.0635854603172045e-65,1.7296571475129922e-49,7.45034631010344e-54,2.469359363006869e-53,3.321129491439685e-41,1.355089421420389e-66,3.365266646488206e-63,2.2700687862513995e-61,2.675411487586091e-63,8.937640815568427e-67,6.527249963631106e-72,1.0355070954450471e-41,5.596083348037789e-61,1.2701860762178032e-34,3.592308548996237e-57,5.219719976088882e-69,5.152525481851534e-60,2.8470443618452052e-59,5.079392223010685e-52,6.685783432516365e-82,2.0371605534240252e-60,4.955916586835975e-53,6.031985206212439e-36,8.271237348292084e-80,8.469857713859052e-60,5.636463636268396e-62,6.0898556584652105e-71,1.7720317876843234e-82,2.92017734409237e-87,3.793500711413987e-86,3.494908367905802e-83,4.4143643522896753e-35,3.6243693610136676e-98,7.250435146550909e-97,1.3059611683600348e-88,3.698514150393462e-71,2.978191671630816e-38,1.2628876405132744e-60,7.563686083606351e-77,1.8473879739373766e-27,7.699912104171904e-31,6.461984889973881e-42,1.1820186641091503e-102
8.364250286592258e-20,0.06766071231284707,3.76,0.0,0.5313500713266757,0.999999999999898,2.721431974078701e-45,0.0,9.07402461694815e-34,3.5521334333384013e-19,3.5521334333363526e-19,3.4343413826780316e-20,1.806489578133063e-36,2.092844447328455e-35,2.063520224248435e-31,1.9195356850245522e-31,4.771212131661948e-23,5.983591291107118e-33,3.4343413826778673e-20,3.706149579613602e-27,2.437128387376652e-29,1.237242758744083e-32,3.966854363301188e-34,1.6750977650467776e-39,1.621167098626071e-42,1.1072362693495317e-47,4.7712121316619446e-23,4.285663370170665e-44,2.2966132930229754e-35,8.98391246703952e-60,2.6356099760317487e-34,1.667863190012298e-35,1.573666770742016e-47,2.960396513271483e-44,3.5353124222869418e-40,4.063993131447469e-37,1.02036471830648e-13,6.691419771004598e-39,3.270727531435303e-64,6.975881570178429e-49,6.008974206418156e-53,1.9916277845808956e-52,1.3354115616520486e-40,2.1871197890317288e-65,2.708659370024729e-62,1.8271488506981853e-60,2.153403920752035e-62,7.193790889136612e-66,1.0541525748394766e-70,4.163728484342281e-41,4.5042147267377345e-60,5.107362347657596e-34,2.8973269792181522e-56,8.424649067584983e-68,4.155692941343909e-59,2.2962444182239798e-58,4.08833675804958e-51,2.1587989517038133e-80,1.6396840426403325e-59,3.988952821717771e-52,2.4254347217262694e-35,1.3349791413986087e-78,6.830331215644417e-59,4.5367162957306196e-61,5.0277428411078703e-70,2.8538025653737942e-81,4.702855588616788e-86,1.2248983894544803e-84,5.629309306455193e-82,1.7749964905331105e-34,1.1678246447568902e-96,2.3361959039998353e-95,4.220640829337382e-87,5.95636539799638e-70,1.197517807183379e-37,1.0164818418229665e-59,1.2215378208472974e-75,3.7076947448951e-27,1.5453669747525273e-30,2.5983357034166707e-41,7.641367952437439e-101
1.675764430240609e-19,0.06766071231284707,3.76,0.0,0.5313500713266757,0.9999999999997956,2.183777769445268e-44,0.0,3.639089717149156e-33,7.116643638221656e-19,7.116643638213437e-19,6.880649111634136e-20,7.244831227914214e-36,8.393242266882681e-35,7.986764728095177e-31,7.698196630257947e-31,9.559048695838398e-23,2.3996877304846762e-32,6.880649111636367e-20,7.425212977186703e-27,4.882806020239104e-29,4.961896832906411e-32,1.5908860215879503e-33,6.71789124362189e-39,6.501605165711951e-42,4.440513442922937e-47,9.559048695838381e-23,1.7187426976539684e-43,9.21044648971892e-35,7.2090251485244114e-59,1.0569974809254852e-33,6.68887736199299e-35,1.2627684774484826e-46,1.1872514119347882e-43,1.4178184351553723e-39,1.6298430122448998e-36,2.0442847127938648e-13,2.6835586058519466e-38,2.6245535492847114e-63,2.8144893608225e-48,4.826734864622932e-52,1.5997837457924494e-51,5.355597639662312e-40,3.514642785765504e-64,2.1735285612020637e-61,1.4661718828733232e-59,1.727971029767578e-61,5.772564145167203e-65,1.6945194461662622e-69,1.669841346974139e-40,3.6143486526536467e-59,2.0482807337740026e-33,2.3272905907639794e-55,1.353818487128345e-66,3.338076363959646e-58,1.8444683914999435e-57,3.280632773613265e-50,6.939266319860767e-79,1.3157431805681767e-58,3.200883420156606e-51,9.727078035858086e-35,2.145274123195365e-77,5.486128333687182e-58,3.640429114923954e-60,4.224998099097707e-69,4.5809851393704265e-80,7.549124745159038e-85,3.9373264155713606e-83,9.036986614923372e-81,7.118529810069867e-34,3.749939337457701e-95,7.501633890885776e-94,1.357294838510211e-85,9.561303530248365e-69,4.8025822871262295e-37,8.15662662266552e-59,1.963587971594015e-74,7.428308286809965e-27,3.096118503420666e-30,1.0420488304749852e-40,4.915088615729247e-99
