Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113)
0.0,0.6209162950226497,3.76,0.0,0.6057601413035447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.078219708989825e-22,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999997,5.718242579426342e-53,0.0,1.1950868844511174e-38,3.3965965622303e-20,3.3965965622302975e-20,1.0882476435829934e-21,3.9726541009116343e-41,4.827957926294451e-40,2.4975578368707245e-32,1.9139123208195528e-35,1.2466090835659568e-22,7.371062554075244e-50,1.0882476435580368e-21,7.765068375147261e-41,5.841668530432933e-29,2.508160807968249e-38,1.2083325445372182e-38,9.619743512665694e-50,1.9282665133941336e-44,6.026470454481792e-49,1.2466090835659568e-22,6.200861743752027e-45,2.515417348420408e-39,3.914394851349194e-65,2.7252347221387114e-38,3.0537134776127756e-39,2.4713799504175822e-55,5.076980115536318e-45,8.131180669396995e-43,3.467336068188541e-40,4.0620191738831107e-16,1.4688774829961004e-41,1.21603951147528e-66,4.566061695053585e-49,1.759823057122694e-59,4.497682702884669e-59,4.722924858775544e-43,4.255297478778643e-76,5.19348826514412e-66,4.686307387728777e-64,6.877170426935709e-66,1.1844396431710797e-68,8.826917046857715e-81,1.2689125279594592e-43,3.928547100291325e-63,3.056066040060665e-59,1.6371397876439844e-59,2.8626244567566007e-74,1.1795680055544338e-61,1.9131512602339006e-61,5.0524055160505904e-58,2.167666594574761e-90,3.8502331599944126e-64,1.9537203205122813e-57,1.121978636792387e-76,6.287813261845057e-85,2.4203552120322586e-71,3.016591227682141e-63,1.1168690721858907e-76,7.827149810344593e-84,4.583326178801748e-89,1.446909764383706e-94
8.61901518517151e-22,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999988,6.788697590297499e-52,0.0,7.218324782087704e-38,9.51047037424484e-20,9.510470374244828e-20,3.0470934020323805e-21,2.3994830769534686e-40,2.9160865874779682e-39,6.999364088373025e-32,1.1560030417750044e-34,3.490505433984679e-22,8.750925464198019e-49,3.047093401962502e-21,4.6901013028583666e-40,1.635667189490056e-28,1.5149291280128098e-37,7.298328569005075e-38,5.810325082214949e-49,1.164672974090099e-43,3.639988154690115e-48,3.490505433984679e-22,3.7453204932271427e-44,1.5193120784456397e-38,4.647169567735524e-64,1.6460417721717803e-37,1.844442940478116e-38,2.9340222771357515e-54,3.066495989784072e-44,4.911233124379353e-42,2.0942709851858767e-39,1.1373653686861291e-15,8.872019997289017e-41,1.4436821080243797e-65,2.7579012745282403e-48,2.6594405055309682e-58,6.79688227886869e-58,2.8526466147004406e-42,1.2000592793408291e-74,6.165709268388826e-65,5.563584130711604e-63,8.164576730857993e-65,1.4061667443753969e-67,1.9745539460939862e-79,7.664231668867522e-43,4.663971117465847e-62,3.628161602760007e-58,2.4740314803796037e-58,8.073014462664054e-73,1.7824729985302566e-60,2.891146507373114e-60,5.998215828654095e-57,1.1220405892845792e-88,4.570997401529558e-63,2.319456764510316e-56,2.509821331358815e-75,1.773177424500943e-83,2.8734560146584043e-70,3.58129710550426e-62,1.3259469625676072e-75,1.7509021039748518e-82,1.025271732893242e-87,7.489581141001613e-93
1.970060613753488e-21,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999973,6.66518355058723e-51,0.0,3.475312659988279e-37,2.173821799827392e-19,2.1738217998273867e-19,6.964784918931147e-21,1.155247812549365e-39,1.4039701649606063e-38,1.6027785171917626e-31,5.5656570289431775e-34,7.978298134822125e-22,8.591710513029763e-48,6.964784918771425e-21,2.2580818898969553e-39,3.7386678662589222e-28,7.293731629571475e-37,3.5138310395146483e-37,2.7974214143143484e-48,5.60739902095076e-43,1.752497608432741e-47,7.978298134822125e-22,1.8032105950844416e-43,7.314833649202249e-38,4.562618639383043e-63,7.924982571979348e-37,8.88019879289794e-38,2.8806404702067256e-53,1.4763858175981582e-43,2.3645473387559984e-41,1.0083013286292244e-38,2.5996922712771968e-15,4.271495720541515e-40,1.4174156545783713e-64,1.3278107566892265e-47,2.860903327785377e-57,7.311770349568453e-57,1.3734265489319451e-41,2.610388997648507e-73,6.053529921881057e-64,5.462359891136659e-62,8.016029849636005e-64,1.3805828480882448e-66,3.901392850793152e-78,3.689997631294689e-42,4.579114500099523e-61,3.5621505762946644e-57,2.6614452932517207e-57,1.756053575701191e-71,1.917472071791439e-59,3.1101608392659943e-59,5.889083869504952e-56,4.89925853799113e-87,4.487832614745718e-62,2.2772564055833346e-55,4.958984009696864e-74,3.856982039510378e-82,2.821196839921496e-69,3.516138734986369e-61,1.3018225907487934e-74,3.4594875052150858e-81,2.0257641711334358e-86,3.270237699192488e-91
4.186378804226162e-21,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999944,5.895279369701942e-50,0.0,1.517760343257497e-36,4.619371324633208e-19,4.619371324633185e-19,1.4800167952728655e-20,5.045270708201813e-39,6.131506566333811e-38,3.41838616611668e-31,2.4306686474407464e-33,1.6953883536497016e-21,7.599270650748694e-47,1.4800167952389252e-20,9.861636902613042e-39,7.9446692352980165e-28,3.1853642261194785e-36,1.5345823315626992e-36,1.2217074269598806e-47,2.4488984720111843e-42,7.653617479951624e-47,1.6953883536497016e-21,7.875094414578925e-43,3.1945800324894783e-37,4.035584517300618e-62,3.461048097116136e-36,3.878216116568213e-37,2.5478938736824922e-52,6.4477647467331296e-43,1.0326599451119498e-40,4.4035168065994125e-38,5.5243460764410586e-15,1.86547440339353e-39,1.2536880947563286e-63,5.798898514221594e-47,2.629662537095524e-56,6.720774684192885e-56,5.998114570645112e-41,4.83921974754335e-72,5.354278661893152e-63,4.83139546445285e-61,7.090087623353089e-63,1.2211098945402797e-65,6.942325842594637e-77,1.611518910496714e-41,4.050174918516246e-60,3.1506818446608444e-56,2.4463249834881966e-56,3.255424866409232e-70,1.7624759341469997e-58,2.858772686900524e-58,5.208827990819914e-55,1.8238696624386422e-85,3.9694372280212395e-61,2.0142075016231998e-54,8.824247087752137e-73,7.150145900153336e-81,2.4953531711298857e-68,3.1099848920913155e-60,1.1514473390960264e-73,6.155973175822146e-80,3.604739106367661e-85,1.2174265314368955e-89
8.61901518517151e-21,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999886,4.955337527479642e-49,0.0,6.336350661401025e-36,9.51047037424484e-19,9.51047037424474e-19,3.0470934020323573e-20,2.106301204342982e-38,2.559783292467191e-37,7.089295192830502e-31,1.0147563124984494e-32,3.49050543398468e-21,6.387644872359433e-46,3.0470934019624804e-20,4.117039312061494e-38,1.635667203538165e-27,1.3298268603845878e-35,6.40657915114022e-36,5.10038801804511e-47,1.0223669054021383e-41,3.1952346374395547e-46,3.49050543398468e-21,3.287696896549739e-42,1.3336742781285049e-36,3.3921519503066684e-61,1.444919449677919e-35,1.6190788858302826e-36,2.1416583229526344e-51,2.6918148572591502e-42,4.31115199180107e-40,1.8383815833535337e-37,1.1373653686695689e-14,7.787988414741664e-39,1.0538003840227084e-62,2.4209260554582615e-46,2.2497314692916503e-55,5.749763485758128e-55,2.504094760122946e-40,8.317381153694282e-71,4.500593834870124e-62,4.0610790012875317e-60,5.959645857254652e-62,1.0264164437677289e-64,1.1709251896591473e-75,6.727774223134859e-41,3.4044160603586758e-59,2.6483379332597512e-55,2.0928818529606924e-55,5.595241652786836e-69,1.5078309755546358e-57,2.4457398556840933e-57,4.378333781707388e-54,6.283505288835126e-84,3.336551207666219e-60,1.693062770208785e-53,1.4883382492548105e-71,1.2289236479973463e-79,2.097556048227016e-67,2.614129692449943e-59,9.678608688378104e-73,1.0382948536979478e-78,6.079919382633573e-84,4.1942174962330843e-88
1.7484287947062205e-20,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999769,4.062685093937336e-48,0.0,2.588605995231381e-35,1.9292668473468107e-18,1.9292668473467687e-18,6.181246615551301e-20,8.604927689074198e-38,1.0457549986212558e-36,1.4589888161714084e-30,4.145610643387326e-32,7.080739594654636e-21,5.23697719160704e-45,6.181246615409554e-20,1.681944920756522e-37,3.318067788357071e-27,5.432776636490038e-35,2.6172966247726904e-35,2.0836749302639603e-46,4.176702398677033e-41,1.3053576084123163e-45,7.080739594654636e-21,1.343131457154154e-41,5.448494593338718e-36,2.781091116192816e-60,5.902967417541114e-35,6.61446554104828e-36,1.7558608867023255e-50,1.0996942009471427e-41,1.7612462584648768e-39,7.5103886171388456e-37,2.3072268906912584e-14,3.181647383181107e-38,8.63969222768429e-62,9.890273496895416e-46,1.860121408069451e-54,4.7540153450671367e-54,1.0230044161103463e-39,1.37854483797438e-69,3.689858740347857e-61,3.329517925314135e-59,4.886077740413087e-61,8.415182140965107e-64,1.923248516253746e-74,2.748515291971396e-40,2.7911459724367014e-58,2.1712674435246315e-54,1.730434924715029e-54,9.273701192144177e-68,1.2467021308535282e-56,2.022184865760866e-56,3.589622562016694e-53,2.0852659601730015e-82,2.7355062822790064e-59,1.388075149541848e-52,2.444600043596095e-70,2.036847884598321e-78,1.7198037645685874e-66,2.143221460934265e-58,7.935108166539687e-72,1.7054024150032317e-77,9.98628584283147e-83,1.3919076331471197e-86
3.52148334708436e-20,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999535,3.2900677213374023e-47,0.0,1.0463559315361006e-34,3.885706467191464e-18,3.885706467191296e-18,1.244955304258903e-19,3.4782493530210064e-37,4.227108906074286e-36,3.0226173761304933e-30,1.6757221046683767e-31,1.4261207915994547e-20,4.2410399075642475e-44,1.2449553042303554e-19,6.798690500518975e-37,6.682869057203595e-27,2.1960151790937438e-34,1.0579531427071816e-34,8.422547246001021e-46,1.6882898892731538e-40,5.276464170652857e-45,1.4261207915994547e-20,5.429152098104801e-41,2.2023686285469702e-35,2.25219969401984e-59,2.3860738104989234e-34,2.673672727896832e-35,1.4219416698191887e-49,4.445139786210027e-41,7.119238978905218e-39,3.035819159830125e-36,4.646949934617689e-14,1.2860727424100746e-37,6.99664676527401e-61,3.997807189920099e-45,1.512619806753651e-53,3.8658862094383332e-53,4.135147414252265e-39,2.244602831757732e-68,2.988143274135578e-60,2.6963299395009757e-58,3.956872434305182e-60,6.814832676508655e-63,3.1176690260101574e-73,1.1109938259558891e-39,2.2603423738251303e-57,1.7583486696759764e-53,1.4071608381417572e-53,1.5099817143744803e-66,1.0137968042303759e-55,1.6444070927197748e-55,2.906969417951176e-52,6.794534976729348e-81,2.2152839166720892e-58,1.1240992443461146e-51,3.9628020156206287e-69,3.316476435033256e-77,1.3929045894155084e-65,1.735636305833696e-57,6.426056336018252e-71,2.764530805499551e-76,1.618819968950327e-81,4.535328000556326e-85
7.067592451840638e-20,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999999067,2.6481327316241093e-46,0.0,4.207351180418278e-34,7.79858570688077e-18,7.798585706880097e-18,2.4986165896663854e-19,1.398588767066233e-36,1.699701899477904e-35,6.40391436077806e-30,6.7380048819336785e-31,2.862214455867438e-20,3.4135578797379238e-43,2.4986165896090958e-19,2.7337237181893645e-36,1.3412471991731502e-26,8.830080450874471e-34,4.2539830563670365e-34,3.386669225553617e-45,6.788539391096578e-40,2.1216430433036326e-44,2.8622144558674367e-20,2.18303818040476e-40,8.85562739158233e-35,1.8127662562788827e-58,9.594297848676747e-34,1.0750720446474245e-34,1.144502361999852e-48,1.7873711576051003e-40,2.862614684393327e-38,1.2206895321498735e-35,9.326396022002755e-14,5.171241933401506e-37,5.631510011441993e-60,1.6075010986930902e-44,1.2199826605594361e-52,3.117977232926503e-52,1.66272458823222e-38,3.6227979623233964e-67,2.4051176698613516e-59,2.170240910713539e-57,3.184835175248281e-59,5.485170215781163e-62,5.020910096997481e-72,4.4672573105825e-39,1.8193201877962812e-56,1.4152719822318076e-52,1.1349261523729518e-52,2.43711647945338e-65,8.176635858363556e-55,1.3262738705339096e-54,2.339781888159116e-51,2.1939140824527863e-79,1.7830532240602517e-57,9.047728662232502e-51,6.38197047972641e-68,5.3528044845981644e-76,1.121393043334471e-64,1.396991095881509e-56,5.172249211515486e-70,4.452191636521788e-75,2.6070596545563477e-80,1.4644298694479395e-83
1.4159810661353194e-19,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999998131,2.124959743664874e-45,0.0,1.687336001822701e-33,1.5624344186259382e-17,1.5624344186256677e-17,5.005939160481097e-19,5.608966490955978e-36,6.816564825924622e-35,1.4182667788990208e-29,2.702241322287665e-30,5.734401784403402e-20,2.739165220118678e-42,5.005939160366339e-19,1.0963456158566559e-35,2.687167944812674e-26,3.541257195797415e-33,1.706037469654536e-33,1.358205849291577e-44,2.7225079206878633e-39,8.50873758797098e-44,5.7344017844034e-20,8.754959491395807e-40,3.5515026615489192e-34,1.4546307655984402e-57,3.8477425527781265e-33,4.3115197367601e-34,9.183910672636459e-48,7.16815776332618e-40,1.1480365240389205e-37,4.89551099065758e-35,1.8685288194901715e-13,2.0738993045056005e-36,4.5189321244512585e-59,6.446801671736866e-44,9.79956413676448e-52,2.5045288578882964e-51,6.668269270562919e-38,5.821739022756642e-66,1.9299554614407938e-58,1.741481653849026e-56,2.555629654219648e-58,4.401503655307259e-61,8.059672864291796e-71,1.79156998426757e-38,1.4598898739225241e-55,1.135666635024211e-51,9.116343889668584e-52,3.916380680241291e-64,6.567917532525375e-54,1.0653352897134312e-53,1.8775276108805647e-50,7.052140636002232e-78,1.43078792054323e-56,7.260232444582111e-50,1.0244476013055061e-66,8.601811627500182e-75,9.00268171778407e-64,1.1209973750196562e-55,4.1504042843540396e-69,7.146753588333597e-74,4.18490812218522e-79,4.707278864492915e-82
2.834424708037831e-19,0.6209162950226497,3.76,0.0,0.6057601413035447,0.999999999999626,1.7025536454289736e-44,0.0,6.758145105897702e-33,3.127586114501661e-17,3.1275861145005775e-17,1.0020584302109501e-18,2.2465122184947954e-35,2.7301814307131456e-34,3.380481248107798e-29,1.0823060105031856e-29,1.1478776441475334e-19,2.194665449238132e-41,1.0020584301879874e-18,4.391102061862879e-35,5.379010071027492e-26,1.4183499882611199e-32,6.833048522880438e-33,5.439907900330625e-44,1.0904232208766438e-38,3.4079332142305848e-43,1.1478776441475317e-19,3.5065503594074943e-39,1.4224535184984336e-33,1.1654747579937157e-56,1.5411039929695437e-32,1.7268567714572865e-33,7.358304381988489e-47,2.8710019965994252e-39,4.598134239099263e-37,1.9607578812365197e-34,3.7403072533214935e-13,8.306414617458445e-36,3.620644760619857e-58,2.5820859408564826e-43,7.855563579218313e-51,2.007689870717936e-50,2.6707858590109336e-37,9.335038501114433e-65,1.5463129206084422e-57,1.3953045212920779e-55,2.0476136532299955e-57,3.526559088475964e-60,1.291649193931676e-69,7.175624714545028e-38,1.1696884300611451e-54,9.099152936959542e-51,7.30787793847745e-51,6.279835644063717e-63,5.264998426641692e-53,8.53998093184286e-53,1.5043068403165197e-49,2.2617558981304672e-76,1.1463714537329706e-55,5.817020886153954e-49,1.6417873587398586e-65,1.3792826478074162e-73,7.219844962882914e-63,8.981620347633672e-55,3.3253740753630483e-68,1.145344054960857e-72,6.706764937480299e-78,1.5097140407868234e-80
5.671311991842854e-19,0.6209162950226497,3.76,0.0,0.6057601413035447,0.9999999999992516,1.3630781421311834e-43,0.0,2.705019266406475e-32,6.257889506253106e-17,6.257889506248767e-17,2.0049874585362244e-18,8.991903459591435e-35,1.0927840773072126e-33,8.93076532078706e-29,4.332044612866782e-29,2.2967525755619187e-19,1.7570668099266408e-40,2.0049874584903133e-18,1.7575860515917512e-34,1.0762696863200208e-25,5.677096279764275e-32,2.735000153046755e-32,2.177380952375181e-43,4.3645346085156897e-38,1.364061454808767e-42,2.2967525755619134e-19,1.4035339773411814e-38,5.693521094262811e-33,9.33088487947446e-56,6.16843220478905e-32,6.911927404453723e-33,5.891117669666504e-46,1.1491490033794915e-38,1.8404520169985093e-36,7.848141407451935e-34,7.48386411799026e-13,3.324730559587824e-35,2.89871731649185e-57,1.033509399345739e-42,6.290821998130956e-50,1.6077802017816693e-49,1.069010370488876e-36,1.4952284953332755e-63,1.2379905619604493e-56,1.1170920219164736e-54,1.6393359593356253e-56,2.823391572495796e-59,2.068321618333044e-68,2.872119906031781e-37,9.364619646879596e-54,7.284855024078247e-50,5.852229274149657e-50,1.0058650720249428e-61,4.216268674737733e-52,6.838910960514862e-52,1.204360155082303e-48,7.245742230712652e-75,9.17794205985703e-55,4.657153704571415e-48,2.628998865887229e-64,2.2092491988222308e-72,5.791065003434833e-62,7.190757487811376e-54,2.662321305521292e-67,1.834042761818133e-71,1.0739562173948248e-76,4.836507242179305e-79
1.1345086559452898e-18,0.6209162950226497,3.76,0.0,0.6057601413035446,0.9999999999985029,1.0908767814335631e-42,0.0,1.082360052121791e-31,1.2518496289755993e-16,1.2518496289738635e-16,4.010845515185147e-18,3.5979326381483698e-34,4.372559720059863e-33,2.6534754003162995e-28,1.7333821200793174e-28,4.59450243839069e-19,1.4061874563949926e-39,4.010845515093443e-18,7.032640551474795e-34,2.1530080606517976e-25,2.2715779879195013e-31,1.0943563115317775e-31,8.712360870458012e-43,1.7463823504322837e-37,5.458022880368266e-42,4.59450243839067e-19,5.615964098481178e-38,2.2781500527026135e-32,7.467544118196631e-55,2.468176357415214e-31,2.7656712820173445e-32,4.7146845666528364e-45,4.598092849620547e-38,7.364205471738115e-36,3.1402788307354435e-33,1.4970977835352279e-12,1.3303252888298494e-34,2.3198548341290554e-56,4.135400707111366e-42,5.035207297878804e-49,1.286875801851091e-48,4.277433932463489e-36,2.393664200679914e-62,9.90768701804463e-56,8.940131246033419e-54,1.3119669951178435e-55,2.2595713488389448e-58,3.310661587712276e-67,1.1492220721099573e-36,7.494541816562428e-53,5.8300980353951124e-49,4.684155347290669e-49,1.610257708287092e-60,3.3747237478830516e-51,5.47390060848498e-51,9.638541534948793e-48,2.3199380450118353e-73,7.345143011102438e-54,3.7271383644100597e-47,4.20811031240168e-63,3.536717378583336e-71,4.651897107550221e-61,5.754791408283076e-53,2.1306663011811434e-66,2.935662833694639e-70,1.7190293585643402e-75,1.5485504173712177e-77
2.269263569467299e-18,0.6209162950226497,3.76,0.0,0.6057601413035445,0.9999999999970054,8.728671681980277e-42,0.0,4.330145002892266e-31,2.503970985676177e-16,2.5039709856692315e-16,8.022561628476488e-18,1.4394073422811222e-33,1.7493086069359036e-32,8.775641351574901e-28,6.934657190896401e-28,9.190002164048233e-19,1.1251636141241443e-38,8.022561628293611e-18,2.813519746157128e-33,4.306488872904287e-25,9.087791114265693e-31,4.3781378485270115e-31,3.485512375911013e-42,6.986666578153917e-37,2.1835647883375884e-41,9.190002164048149e-19,2.246751330173161e-37,9.114083649289425e-32,5.975170464856456e-54,9.87431260956137e-31,1.1064486025045091e-31,3.772463978741068e-44,1.8395365498408143e-37,2.946161800151813e-35,1.2563160149685485e-32,2.9945205222174274e-12,5.32216740139952e-34,1.856236336869995e-55,1.6544430872834976e-41,4.029185967156253e-48,1.0297613613655766e-47,1.7112521027701945e-35,3.8309019034328935e-61,7.927654964604369e-55,7.153463315335284e-53,1.0497729297274347e-54,1.8080003941705963e-57,5.29813640830315e-66,4.597636606949678e-36,5.996772136143021e-52,4.664964224004615e-48,3.748273280741918e-48,2.5771114068441344e-59,2.7004626885227923e-50,4.380229493743737e-50,7.71229765607517e-47,7.425883229075637e-72,5.877230390935603e-53,2.9822769688268714e-46,6.734346541679758e-62,5.66028316238673e-70,3.749885934942299e-60,4.604707480707286e-52,1.704856967587148e-65,4.698016304035816e-69,2.751006641835968e-74,4.956750718962612e-76
