Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134)
0.0,0.09066759829577603,3.76,0.0,0.7413134881594245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6317684305346607e-23,0.09066759829577603,3.76,0.0,0.7413134881594245,0.9999999999999996,5.779359344854159e-51,0.0,1.379403449936223e-36,1.041093682136585e-18,1.0410936821365847e-18,1.5367721537659344e-20,3.626553204763383e-39,4.2657967011954067e-38,2.4326661593490552e-30,4.00796658932547e-34,3.856190841892445e-21,1.512455683009004e-35,1.5367721535227082e-20,1.0661163169474394e-37,2.5752863559765135e-26,3.2720522056062172e-37,8.971483174184127e-38,3.3275332523520564e-46,5.823264817868495e-42,1.1323688060340054e-46,3.856190841892445e-21,1.0423203037328922e-42,5.58970260056213e-38,6.77295393225751e-63,1.3677806067626843e-37,1.2971240272209043e-37,5.763239965886223e-52,1.6309793936551996e-42,2.5430312109447526e-40,3.880678267450854e-38,4.271976495086681e-16,4.114208258732024e-39,1.4966937053877667e-63,9.75453486407882e-46,2.0034916698300456e-56,3.4361553301322293e-56,1.3470119105239284e-40,3.959689048333187e-73,1.9858936120595254e-62,2.3629939922524324e-60,4.103638385226428e-62,2.605676010266234e-64,2.4790946681438743e-77,5.492177884126147e-41,3.305022583386083e-60,1.2912737180837198e-36,5.957855940508333e-57,2.8838233569829315e-72,1.1244325645921755e-58,1.301905767793361e-58,2.16749464697687e-55,2.072416251683412e-88,3.806362745108857e-61,6.71961033624627e-55,5.02723803619674e-38,2.3486552956972633e-81,1.901479210234946e-66,1.743922110758355e-59,1.7326279487829842e-72,7.186479105616909e-79,6.160408711838462e-84,2.0952468047545192e-92,1.7919339253915663e-81,5.532750146092714e-38,2.9979767800032088e-99,2.888835152450043e-98,1.8501253778968673e-91,2.248762241865636e-77,2.8548392860028056e-40
4.56895160549705e-23,0.09066759829577603,3.76,0.0,0.7413134881594245,0.9999999999999988,6.861255414211264e-50,0.0,8.331596837615319e-36,2.915062309982438e-18,2.915062309982435e-18,4.302962030544614e-20,2.190438135678142e-38,2.57654120752081e-37,6.812764516939841e-30,2.4208118199525785e-33,1.0797334357298843e-20,9.135232325374535e-35,4.30296202986358e-20,6.439342554377095e-37,7.21080179679738e-26,1.9763195321861368e-36,5.418775837207629e-37,2.0098300846193972e-45,3.5172519499926005e-41,6.839507589052399e-46,1.0797334357298843e-20,6.295614634548799e-42,3.3761803707391047e-37,8.04085090902911e-62,8.261394864846605e-37,7.834629124414255e-37,6.842118487500113e-51,9.851115537677742e-42,1.5359908514167262e-39,2.343929673540313e-37,1.1961534186239486e-15,2.4849817882735087e-38,1.7768747670371336e-62,5.891739070373594e-45,3.0276670864028985e-55,5.192701293937265e-55,8.135951939564543e-40,1.116692214906219e-71,2.357652896238245e-61,2.8053464676020826e-59,4.871839490940767e-61,3.09345855938983e-63,5.546034481308517e-76,3.317275442010905e-40,3.923722810995986e-59,7.799293257225657e-36,9.003026961001659e-56,8.132424023414473e-71,1.6992081876162288e-57,1.9673757060302207e-57,2.5732496448907536e-54,1.0726881050242731e-86,4.518916571968496e-60,7.977521391189641e-54,3.0364517738626153e-37,6.62345474580758e-80,2.2574372559931563e-65,2.070384329892325e-58,2.0569759010128832e-71,1.6075866300100823e-77,1.378058787203423e-82,1.0845052593678936e-90,4.0450525180559546e-80,3.3417810882392416e-37,1.2481358634088925e-97,1.2026973595327075e-96,1.1255215534931015e-89,7.070468290384758e-76,1.7243229290172903e-39
1.0443317955421829e-22,0.09066759829577603,3.76,0.0,0.7413134881594245,0.9999999999999972,6.73642125236326e-49,0.0,4.011305232415337e-35,6.6629995656741435e-18,6.66299956567413e-18,9.835341784101963e-20,1.0546016719467802e-37,1.240493680705802e-36,1.5578158315171355e-29,1.1655166841758398e-32,2.4679621388111644e-20,4.398221126190414e-34,9.835341782545315e-20,3.100266249704997e-36,1.6481832678691674e-25,9.515127813902601e-36,2.608907307053368e-36,9.676466700764325e-45,1.6934054090362019e-40,3.292928488840055e-45,2.4679621388111644e-20,3.0310674432583914e-41,1.6254855162428343e-36,7.894555105426289e-61,3.977506004465877e-36,3.772036671158382e-36,6.717632504236953e-50,4.742888076749814e-41,7.395134761518782e-39,1.1285012401747053e-36,2.7340649568532204e-15,1.1964117616383227e-37,1.744546183002334e-61,2.836618756822818e-44,3.2570228122464835e-54,5.586065366928433e-54,3.917110635803608e-39,2.4290468436786565e-70,2.3147575942200985e-60,2.7543057973694174e-58,4.7832009018197714e-60,3.0371759575715713e-62,1.0958382218792396e-74,1.5971253287019537e-39,3.852334323194908e-58,3.75502397218744e-35,9.684878635827327e-55,1.7689477227422392e-69,1.8279188199326625e-56,2.1163908764184236e-56,2.526431760515417e-53,4.6836883753153314e-85,4.436700279482893e-59,7.832377807922667e-53,1.4619208209256879e-36,1.440736217920433e-78,2.216367567460159e-64,2.0327156122999574e-57,2.0195511377668392e-70,3.1763202793835654e-76,2.7228119407471876e-81,4.7352857298203104e-89,8.024674404086021e-79,1.6089237424826253e-36,4.958029470176636e-96,4.777531939499659e-95,5.081142303007333e-88,1.5773825809933504e-74,8.301872647770105e-39
2.2192050655271385e-22,0.09066759829577602,3.76,0.0,0.7413134881594245,0.9999999999999941,5.958288310173472e-48,0.0,1.751842381419831e-34,1.4158874077057557e-17,1.4158874077057498e-17,2.0900101291216627e-19,4.605722570065915e-37,5.417561810499339e-36,3.3129734243834117e-29,5.09011756844328e-32,5.2444195449737237e-20,1.9208187174216743e-33,2.0900101287908746e-19,1.35396772254582e-35,3.502389444349051e-25,4.1555063011196103e-35,1.1393783631220291e-35,4.225967233482639e-44,7.395546318693432e-40,1.4381083845780329e-44,5.2444195449737237e-20,1.323746785743992e-40,7.098922302707369e-36,6.982644590135421e-60,1.7370813705886012e-35,1.647347514570541e-35,5.9416698752300005e-49,2.071343829942609e-40,3.229649637994327e-38,4.928461399662556e-36,5.809888033306607e-15,5.225044488579854e-37,1.5430313425114627e-60,1.2388259465320632e-43,2.9937639115804443e-53,5.134554390139936e-53,1.7107051263654138e-38,4.503041529188748e-69,2.0473768782961683e-59,2.436152286252532e-57,4.230687029632719e-59,2.6863477395549395e-61,1.950014383841961e-73,6.975065912820271e-39,3.407346082567909e-57,1.6399176219663068e-34,8.90201151588154e-54,3.279307268886919e-68,1.6801680379053295e-55,1.945319815627872e-55,2.2346002812453205e-52,1.743606748845781e-83,3.924211626689448e-58,6.927649472243886e-52,6.384592305966513e-36,2.670874866592594e-77,1.9603560441526537e-63,1.7979139393074736e-56,1.7862701114650843e-69,5.652092227021712e-75,4.845098369275904e-80,1.7628150070232834e-87,1.4305899622279477e-77,7.026592685526012e-36,1.7728527368007262e-94,1.7083118656422664e-93,1.9185426532269902e-86,2.954263001889136e-73,3.625645897433311e-38
4.56895160549705e-22,0.09066759829577603,3.76,0.0,0.7413134881594245,0.999999999999988,5.008300338505859e-47,0.0,7.313597091569304e-34,2.915062309982439e-17,2.915062309982416e-17,4.302962030544581e-19,1.9227985091803238e-36,2.2617254109568595e-35,6.831603942995863e-29,2.1250238856603063e-31,1.0797334357298843e-19,8.019040031315898e-33,4.3029620298635474e-19,5.652548712658476e-35,7.210801797712921e-25,1.7348420794121588e-34,4.756680378958228e-35,1.764258133081679e-43,3.087495006434275e-39,6.003819417791227e-44,1.0797334357298843e-19,5.52638225042065e-40,2.9636603188121574e-35,5.869333517900837e-59,7.251972777055682e-35,6.87735159232517e-35,4.994331542597442e-48,8.64745274516439e-40,1.3483151481279498e-37,2.0575356174024192e-35,1.1961534186192757e-14,2.181353218770884e-36,1.2970108179985818e-59,5.171854553368494e-43,2.5612276024796502e-52,4.392718589520183e-52,7.141857149598094e-38,7.739576362430244e-68,1.7209436299261164e-58,2.047732785782018e-56,3.55614736642248e-58,2.258037139700136e-60,3.2890077324914044e-72,2.9119527141457415e-38,2.864079690401395e-56,6.84633325327973e-34,7.61583518604407e-53,5.636273151666828e-67,1.437417497005728e-54,1.6642589977587654e-54,1.878316181152067e-51,6.006969607821671e-82,3.298536511461571e-57,5.823106803602831e-51,2.6654416067885005e-35,4.590545901310137e-76,1.6478041469804417e-62,1.5112549984294917e-55,1.501467660877544e-68,9.533079668039535e-74,8.171966574249511e-79,6.073144749185322e-86,2.415049301146255e-76,2.933464127447796e-35,5.995567264818795e-93,5.7772980728553564e-92,6.656315716855357e-85,5.102754662443764e-72,1.5136357932274607e-37
9.268444685436873e-22,0.09066759829577603,3.76,0.0,0.7413134881594245,0.9999999999999757,4.106107206272638e-46,0.0,2.987843048706164e-33,5.913412114535807e-17,5.913412114535713e-17,8.728865833390363e-19,7.855259303770805e-36,9.239886286513833e-35,1.3902126311740361e-28,8.68141595114205e-31,2.190316398194908e-19,3.2760395076266525e-32,8.728865832008835e-19,2.309250587332835e-34,1.4627626506057068e-24,7.087395959429112e-34,1.943259141465894e-34,7.207570148607475e-43,1.2613424526099243e-38,2.4527561355493207e-43,2.190316398194908e-19,2.2577074707219783e-39,1.2107519420871783e-34,4.812034234716324e-58,2.962667505472186e-34,2.8096225279215135e-34,4.09465474342354e-47,3.5327666058367274e-39,5.508307324874794e-37,8.405704354429054e-35,2.426482649188256e-14,8.911539656669112e-36,1.0633678306959675e-58,2.112871412011771e-42,2.117672333729904e-51,3.6319843669334255e-51,2.9176816786714406e-37,1.2827779055354087e-66,1.410933562859585e-57,1.6788550565878958e-55,2.9155444643668474e-57,1.8512752720010418e-59,5.402224044776172e-71,1.18962769839807e-37,2.3481455705977674e-55,2.7969505243179327e-33,6.296910781697807e-52,9.341695155310849e-66,1.1884839449661013e-53,1.376040326350423e-53,1.5399570883887491e-50,1.993491059644095e-80,2.704339595983734e-56,4.774134774867979e-50,1.0889198675898093e-34,7.60848879868013e-75,1.3509804979405038e-61,1.2390181538937304e-54,1.2309939054441413e-67,1.5658111980801235e-72,1.3422479637085099e-77,2.0154521417341675e-84,3.968464675158828e-75,1.1984158126353244e-34,1.9721026868640165e-91,1.9003081024896087e-90,2.216831046103579e-83,8.478303189812158e-71,6.183696119131797e-37
1.866743084531652e-21,0.09066759829577602,3.76,0.0,0.7413134881594244,0.999999999999951,3.32523207366477e-45,0.0,1.2077339317899488e-32,1.1910111723642542e-16,1.1910111723642168e-16,1.7580673439081693e-18,3.175221405427098e-35,3.7349097700202234e-34,2.8176216375307713e-28,3.509167131350334e-30,4.411482323124955e-19,1.3242275483486728e-31,1.7580673436299183e-18,9.33436009212183e-34,2.9461275929210986e-24,2.86483876451232e-33,7.854964150230994e-34,2.9134151026697123e-42,5.098547864757894e-38,9.914432490779989e-43,4.411482323124955e-19,9.126014573127648e-39,4.894052932475998e-34,3.8969100942878185e-57,1.1975575746898063e-33,1.135694347785164e-33,3.315957572317493e-46,1.428000746159159e-38,2.2265458912725328e-36,3.397720095709901e-34,4.8871411102932176e-14,3.602186812454776e-35,8.611428389829058e-58,8.54056466061525e-42,1.7220559022505972e-50,2.9534692462058874e-50,1.1793735842355613e-36,2.0886711878739347e-65,1.1426105801452118e-56,1.3595803520815135e-54,2.361083497838301e-56,1.499210712846884e-58,8.757253240140026e-70,4.808665361965931e-37,1.9015891628556873e-54,1.1305721213206597e-32,5.120539700952208e-51,1.5210517598723336e-64,9.66455153646315e-53,1.1189726673610342e-52,1.2470971762553355e-49,6.495495402181825e-79,2.1900443493611744e-55,3.866218118458302e-49,4.401588208095012e-34,1.2388448168345098e-73,1.0940770148427576e-60,1.003389024738194e-53,9.968907838667542e-67,2.538247427473049e-71,2.1758417905631208e-76,6.567052335950339e-83,6.434451806279972e-74,4.844188324837629e-34,6.397904399296378e-90,6.164988086095701e-89,7.236105754932945e-82,1.3821774012665975e-69,2.499548853568158e-36
3.746540316507581e-21,0.09066759829577603,3.76,0.0,0.7413134881594243,0.9999999999999019,2.676436061548655e-44,0.0,4.856245021680551e-32,2.3903510941856034e-16,2.390351094185451e-16,3.528428865046343e-18,1.2767425620332533e-34,1.501790791746925e-33,5.725657780675566e-28,1.411020669638062e-29,8.85381417298505e-19,5.324660730272725e-31,3.528428864487896e-18,3.753305139613747e-33,5.912857480138134e-24,1.1519390671910372e-32,3.1584465374370106e-33,1.171471406734461e-41,2.05010367219212e-37,3.9865497225442675e-42,8.853814172985047e-19,3.6695303222662545e-38,1.967877159305064e-33,3.1365722844653627e-56,4.8153263373319064e-33,4.566577022791923e-33,2.6689711359898337e-45,5.741928194564296e-38,8.952843104183458e-36,1.3662083067690137e-33,9.808458032371145e-14,1.4484234742697358e-34,6.931226745674207e-57,3.434123965102158e-41,1.3889004430287613e-49,2.3820798951032408e-49,4.742209311477178e-36,3.371123644215309e-64,9.19672399804682e-56,1.0943085481724772e-53,1.9004054086808826e-55,1.2066952101281118e-57,1.4103298623571686e-68,1.9335431927167995e-36,1.5305643927853242e-53,4.545980775461602e-32,4.129899352863259e-50,2.4549827745176633e-63,7.794809931914592e-52,9.024918055077178e-52,1.003772302443585e-48,2.0973553115663004e-77,1.7627382338091272e-54,3.1118686950574473e-48,1.7698592595781957e-33,1.9995002528602334e-72,8.80637309383646e-60,8.0761477998175415e-53,8.023844361348514e-66,4.0877692321371635e-70,3.5041261262377737e-75,2.120460603123648e-81,1.0363609458226781e-72,1.947826819872862e-33,2.061400868671516e-88,1.9863553756307475e-87,2.338584341909981e-80,2.2322201950399357e-68,1.0050576113971983e-35
7.50613478045944e-21,0.09066759829577603,3.76,0.0,0.7413134881594241,0.9999999999998034,2.1476713833547353e-43,0.0,1.9475714545781506e-31,4.789030937828309e-16,4.7890309378277e-16,7.069151907322322e-18,5.120308711158677e-34,6.022852766866531e-33,1.1754602588690332e-27,5.658823979666463e-29,1.7738477872705234e-18,2.1354271041161474e-30,7.069151906203486e-18,1.5052432321246002e-32,1.1846317264917217e-23,4.61979087677047e-32,1.2666783264995662e-32,4.698124355485632e-41,8.221832656777699e-37,1.598784760190956e-41,1.7738477872705227e-18,1.4716457830494785e-37,7.892067563250342e-33,2.516901751250095e-55,1.931161232004277e-32,1.8314016312887421e-32,2.1416812507004758e-44,2.302770020045884e-37,3.590490512415326e-35,5.479106361743218e-33,1.9651091875999025e-13,5.808825954852184e-34,5.561872950313941e-56,1.3772376882211014e-40,1.115640356360011e-48,1.9134160953734753e-48,1.9018380343982917e-35,5.417305137003711e-63,7.379791819466547e-55,8.781136927630537e-53,1.5249556571121157e-54,9.682969111896354e-57,2.2638927517378017e-67,7.754373000714046e-36,1.2281815336329668e-52,1.8231416149194061e-31,3.317359187241031e-49,3.945090695972498e-62,6.261214836501268e-51,7.249304226859358e-51,8.054640573250057e-48,6.741759970797494e-76,1.4144864239918116e-53,2.497078649054629e-47,7.097927219740931e-33,3.2131430077940664e-71,7.067024336541996e-59,6.4805999913336106e-52,6.438629868068557e-65,6.561774921905375e-69,5.6248984794891e-74,6.81602985191338e-80,1.663678837888549e-71,7.81165673428684e-33,6.619095791812018e-87,6.378126985532524e-86,7.520536774027156e-79,3.5882287690667724e-67,4.03073063127346e-35
