Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134),CF3O(47),CHO3(229),CH2F(45),FO2(124),CH3F(39),CH2CO(28),S(455),S(1290),CH2(S)(25),CH2(T)(18),S(1652),S(1550),OF(173),F2(77)
0.0,0.1187138736404768,3.76,0.0,0.7427691745195742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.117839487665267e-21,0.1187138736404768,3.76,0.0,0.7427691745195742,0.9999999999999996,5.0912896257565156e-52,0.0,4.809831964853959e-39,3.2845990479348953e-23,3.2845990479348507e-23,1.0899927541691182e-23,2.3068158922220483e-42,2.322648705448134e-41,5.317620481878631e-37,4.132215988963029e-37,1.0425452205628067e-27,1.1780809875123194e-38,1.0899927541691271e-23,1.1427093262499292e-32,3.649535377528607e-35,2.0603151500832077e-37,3.8006039027530125e-39,6.1175086033856875e-46,7.954869895410331e-50,2.8321752462579613e-55,1.0425452205628067e-27,1.4546613972225884e-51,4.531884678626909e-41,1.492712354641856e-68,1.3255546480751187e-39,3.343489655704683e-41,3.486546361050744e-41,6.239871156827106e-52,1.7210149608832365e-47,8.324489874793857e-44,4.663689526380371e-16,2.9583577493465962e-46,9.935873408321788e-75,1.5656794905641375e-57,5.5328186849351385e-62,2.3824983045761837e-61,7.723629684530301e-48,1.5515049931442208e-75,6.059849073558919e-73,4.31950347875231e-71,3.926844479235093e-73,1.3785326249686354e-77,6.94443467939291e-77,1.1479779039603201e-48,2.7937870401532296e-69,1.00923272757548e-39,1.4772369747766288e-66,2.6748122935053664e-79,7.132560451853333e-70,5.648353187524293e-69,1.7187127006048138e-59,2.9828692035593625e-93,2.881799766126753e-69,4.5644587533315995e-61,5.40121493820038e-41,2.847198498769065e-91,1.9569960113920015e-63,1.4498667382104724e-72,4.437360515688819e-77,1.116558814156843e-96,1.652542369770687e-101,1.0127795831677686e-97,6.744639817708491e-96,8.985604266137812e-40,1.7930792023076972e-112,6.272194986281099e-110,5.386728157774651e-88,3.9515411507710607e-81,1.4737991333356927e-43,2.422445435161754e-69,1.258409725359901e-88,1.1431405270545023e-32,4.312960611677095e-36,8.042660445886089e-49,2.028471985492967e-103,1.8386580007056521e-81,4.762128741038844e-84,5.435746215890786e-72,2.059337340448772e-63,2.6247683882913776e-81,1.1130043933299593e-79,3.48654636105073e-41,4.112844660834613e-62
1.1529950565462748e-20,0.1187138736404768,3.76,0.0,0.7427691745195742,0.9999999999999987,6.044379043698244e-51,0.0,2.9051385067718486e-38,9.19687733421771e-23,9.196877334217443e-23,3.0519797116734615e-23,1.393316799413675e-41,1.4028798179781094e-40,2.8277766431442704e-36,2.4958584573336036e-36,2.9191266175758583e-27,7.115609164589223e-38,3.0519797116735543e-23,3.1995864221312827e-32,1.0219143221616643e-34,1.244430350650228e-36,2.2955647572628157e-38,3.6949751964448844e-45,4.804741419670889e-49,1.7106338566099327e-54,2.9191266175758583e-27,8.786154845710355e-51,2.737258345886561e-40,1.7721481148970943e-67,8.006350074373613e-39,2.0194677520456277e-40,2.105874002074629e-40,3.7688821816563657e-51,1.0394930375685432e-46,5.027991884375422e-43,1.3058330673333642e-15,1.7868480804836155e-45,1.1795871472573004e-73,9.492125285681733e-57,8.361195596662021e-61,3.6004314360083325e-60,4.665072329456894e-47,4.375492319276387e-74,7.194252820447157e-72,5.1281145299744274e-70,4.661949765748421e-72,1.6365939324189295e-76,1.9020848539323989e-75,6.933786539364963e-48,3.316783974069442e-68,6.095765674555835e-39,2.2324003875282766e-65,7.543398218623756e-78,1.0708830717599302e-68,8.535791306078888e-68,2.0404557181544548e-58,1.544018922283602e-91,3.4212726886017384e-68,5.418925431616081e-60,3.2623338226692255e-40,7.9793339377455e-90,2.957412256531803e-62,1.7225836287730506e-71,1.2513989075498392e-75,2.4995020121331916e-95,3.699342055255946e-100,5.2424385173960065e-96,1.5144529389042566e-94,5.4273049766351875e-39,7.426487092981031e-111,2.9359946432622356e-108,1.6936735204547916e-86,8.840954783512606e-80,8.901746785614996e-43,2.8759272206470893e-68,3.95664472487645e-87,3.200793475752723e-32,1.207628971270411e-35,4.85776690931535e-48,1.1682960058782539e-101,5.7810349394950485e-80,1.0656037880339784e-82,3.360441309603362e-71,3.0192235382966284e-62,7.189254803028393e-80,3.048525047325907e-78,2.1058740020746135e-40,2.4841583750934828e-61
2.6354172721057708e-20,0.1187138736404768,3.76,0.0,0.7427691745195742,0.999999999999997,5.934407187782134e-50,0.0,1.3986991353796175e-37,2.1021433906783352e-22,2.1021433906782073e-22,6.975953626681869e-23,6.708220622255083e-41,6.754262433754722e-40,1.2775177465929843e-35,1.2016484095903499e-35,6.672289411601963e-27,3.4258595117080435e-37,6.975953626682403e-23,7.313341848419914e-32,2.3360135567938895e-34,5.9913964564415296e-36,1.1052156149205706e-37,1.7789715018644523e-44,2.3132761697686682e-48,8.235965731921378e-54,6.672289411601963e-27,4.2301553526668576e-50,1.3178720645385689e-39,1.7399055432893694e-66,3.85471291660229e-38,9.722867918789204e-40,1.0138876817935261e-39,1.8145545367207193e-50,5.004711524174477e-46,2.420761655589953e-42,2.9847612965114592e-15,8.602904333273982e-45,1.1581261702965425e-72,4.605115669352751e-56,8.994592679707788e-60,3.8731798411317345e-59,2.246031512262282e-46,9.517651519824462e-73,7.063360081090767e-71,5.034813254832676e-69,4.577129924997956e-71,1.6068176278260305e-75,4.088552535500913e-74,3.3383197438835555e-47,3.2564381740011436e-67,2.9348487717893996e-38,2.4015144223231813e-64,1.6408538489180402e-76,1.1496010492237166e-67,9.182414766005276e-67,2.0033315238138756e-57,6.741790746133548e-90,3.359025816275311e-67,5.3203331218318134e-59,1.5706733040229644e-39,1.7318385834423746e-88,3.181449111245205e-61,1.6918132788392568e-70,2.7220561430038927e-74,4.940334719322602e-94,7.3118516830610265e-99,2.2890537786462854e-94,2.9973557138367434e-93,2.613013720424799e-38,2.9429408584206733e-109,1.4798527103539675e-106,3.778492455283997e-85,1.7469576596359048e-78,4.2858079101413156e-42,2.8236023992946666e-67,8.827084610568458e-86,7.316099373149627e-32,2.760294791479113e-35,2.338805657663901e-47,5.23912965479811e-100,1.2897170935707495e-78,2.1057493912156509e-81,1.696650131317969e-70,3.211205724599741e-61,1.5453382073512103e-78,6.552838025275319e-77,1.0138876817935104e-39,1.1960155272947605e-60
5.600261703224763e-20,0.1187138736404768,3.76,0.0,0.7427691745195742,0.9999999999999937,5.2489159525706544e-49,0.0,6.1084865953654246e-37,4.467054705191471e-22,4.467054705190912e-22,1.482390145669757e-22,2.929656191051146e-40,2.9497638541743987e-39,5.409146564298999e-35,5.247914305982027e-35,1.417861499965417e-26,1.4961628541636052e-36,1.4823901456700074e-22,1.5540857639100876e-31,4.9649226893168125e-34,2.616600240605222e-35,4.826766956496269e-37,7.769235926298733e-44,1.010268481001993e-47,3.596862681361583e-53,1.417861499965417e-26,1.8474199842478988e-49,5.755493541792769e-39,1.5389267764244394e-65,1.6834544030552407e-37,4.246231862744934e-39,4.427913878534136e-39,7.924636413371818e-50,2.1856890188452712e-45,1.0572102140987162e-41,6.3426177540174155e-15,3.757114339783393e-44,1.0243503900810735e-71,2.041797705332766e-55,8.267580304506015e-59,3.560119563891232e-58,9.809009699362388e-46,1.764412188376367e-71,6.247462002843715e-70,4.453235306452307e-68,4.048419584315359e-70,1.4212119953697701e-74,7.540493230477027e-73,1.4579319371687838e-46,2.8802826869133065e-66,1.281725564020761e-37,2.2074054825484245e-63,3.0418664752073014e-75,1.055809310603044e-66,8.44022115685529e-66,1.7719240457922396e-56,2.5097996378099504e-88,2.971020295815181e-66,4.7057743941265975e-58,6.859542971455519e-39,3.2077057060546627e-87,2.9242998341903494e-60,1.4966162395789605e-69,5.046224359870208e-73,8.792473645529012e-93,1.3013139164817815e-97,8.521573215248375e-93,5.3377720216153336e-92,1.1411717416258235e-37,1.0511525461363822e-107,5.840434818194986e-105,7.076698194883762e-84,3.1087272950368004e-77,1.8717249307508242e-41,2.4974443459802827e-66,1.6532255886746474e-84,1.5546711167945292e-31,5.865626431909727e-35,1.0214178766277671e-46,1.9710915176687925e-98,2.415497380495133e-77,3.7473103062979946e-80,8.102618326660938e-70,2.9372928319502966e-60,2.8500580304287365e-77,1.208536001451872e-75,4.4279138785339954e-39,5.223315818475143e-60
1.1529950565462746e-19,0.1187138736404768,3.76,0.0,0.7427691745195742,0.999999999999987,4.4120301290478865e-48,0.0,2.5501729077663764e-36,9.196877334217765e-22,9.196877334215431e-22,3.0519797116724515e-22,1.2230737931923603e-39,1.2314683420583418e-38,2.2240998812305e-34,2.1909009173472804e-34,2.919126617575858e-26,6.246185395996955e-36,3.05197971167353e-22,3.1995908972877592e-31,1.0225583607396573e-33,1.09237909257371e-34,2.015080189239596e-36,3.2435030615141097e-43,4.217672056948025e-47,1.5016194218688187e-52,2.9191266175758576e-26,7.712614815680441e-49,2.402805256550923e-38,1.2935607285417009e-64,7.0280907440928374e-37,1.7727182154546104e-38,1.8485668806288246e-38,3.3083797269633957e-49,9.124821489314967e-45,4.4136445316147723e-41,1.3058330665628388e-14,1.56852127700546e-43,8.610297498801152e-71,8.779671363379145e-55,7.073089012978002e-58,3.0457572402157164e-57,4.095068458745945e-45,3.032573742457779e-70,5.251368253107772e-69,3.7432126026271116e-67,3.4029405961991167e-69,1.1946143168709672e-73,1.292893489024522e-71,6.086578839050211e-46,2.4210511483985822e-65,5.35095192160431e-37,1.8884818580593454e-62,5.228191252486235e-74,9.029343617961539e-66,7.2207868954082864e-65,1.4894089268986507e-55,8.646640261112238e-87,2.497321576445341e-65,3.955486920290898e-57,2.863724160180773e-38,5.5110526030497415e-86,2.501800069725862e-59,1.2580859525099825e-68,8.673162742187497e-72,1.4830921459822114e-91,2.1950232969678376e-96,2.9358111675216166e-91,9.006332225321175e-91,4.764167380343157e-37,3.552987504495184e-106,2.0660961511462525e-103,1.2223236281102978e-82,5.243412064556919e-76,7.814083287676298e-41,2.0992524552477643e-65,2.855571645428235e-83,3.200793475754404e-31,1.2076289712823902e-34,4.264218568410907e-46,6.825264121642732e-97,4.1721710330065456e-76,6.320583319523066e-79,3.963534901053345e-69,2.5072223062957007e-59,4.886711423334621e-76,2.0721566316612052e-74,1.848566880628708e-38,2.180633028468157e-59
2.3389328289938713e-19,0.1187138736404768,3.76,0.0,0.7427691745195742,0.9999999999999736,3.617248863427282e-47,0.0,1.0418288429159108e-35,1.8656522592270455e-21,1.865652259226092e-21,6.191158843676058e-22,4.996655555608729e-39,5.030949988654019e-38,9.01790817586799e-34,8.950545120725717e-34,5.921656852796741e-26,2.551770542366138e-35,6.191158843680535e-22,6.490609065009019e-31,2.0758276055691918e-33,4.462725027682791e-34,8.232260077518706e-36,1.3250768335269223e-42,1.723056671271552e-46,6.134605768576506e-52,5.92165685279674e-26,3.150854846860142e-48,9.81624348880989e-38,1.0605393137582806e-63,2.8712043899154086e-36,7.242132333842464e-38,7.551998879887987e-38,1.3515810855236772e-48,3.727787387021061e-44,1.803117804839062e-40,2.648975647524658e-14,6.407921205017413e-43,7.059267108990163e-70,3.795565892678835e-54,5.848166776056823e-57,2.518290985344063e-56,1.6729690841947415e-44,5.026268579600684e-69,4.305388971307654e-68,3.068911847009912e-66,2.7899362977799965e-68,9.794169930457517e-73,2.140371175497979e-70,2.486566052534743e-45,1.9849240052015648e-64,2.186038457236844e-36,1.5614333175007058e-61,8.665343569337426e-73,7.464335002015797e-65,5.970286240875038e-64,1.2211074245314304e-54,2.8695046448797083e-85,2.0474551103214366e-64,3.2429471541822682e-56,1.1699247604290242e-37,9.13246077528815e-85,2.0685366755648908e-58,1.0314906192975484e-67,1.4375124916429242e-70,2.4360735639346675e-90,3.6054659452202286e-95,9.742886863447832e-90,1.479578366288489e-89,1.9463178251390817e-36,1.1683766451220343e-104,6.944164318246492e-102,2.0309089894995793e-81,8.612392118539147e-75,3.1923081141488956e-40,1.7210939945342547e-64,4.7446931021399665e-82,6.493038193677122e-31,2.4497616274864925e-34,1.74207242322249e-45,2.2708083641928556e-95,6.932124571357773e-75,1.0381736214380584e-77,2.096807863213114e-68,2.070750133342578e-58,8.089897900942414e-75,3.430432847678052e-73,7.551998879887031e-38,8.908609665173645e-59
4.710808373889065e-19,0.1187138736404768,3.76,0.0,0.7427691745195742,0.9999999999999467,2.9293419131152336e-46,0.0,4.2112387571695815e-35,3.757581310837622e-21,3.7575813108337684e-21,1.2469517107676139e-21,2.0197280905036223e-38,2.0335904178216093e-37,3.6315276145277694e-33,3.617953444698216e-33,1.1926717323238507e-25,1.0314664525983488e-34,1.2469517107694373e-21,1.3072677004315218e-30,4.186914340082711e-33,1.803904809022223e-33,3.327611145847242e-35,5.356172422670297e-42,6.964870693809068e-46,2.4797061105739554e-51,1.19267173232385e-25,1.273625937840702e-47,3.967882566205013e-37,8.588523538456347e-63,1.1605867210118695e-35,2.927385681072835e-37,3.0526386933233093e-37,5.4633069866563085e-48,1.5068313230782717e-43,7.28849046088954e-40,5.3352608040067935e-14,2.5901841988984338e-42,5.716818030602045e-69,1.7030087282132844e-53,4.755632098387581e-56,2.047832406547189e-55,6.762408523086518e-44,8.183975406684236e-68,3.4866156187388097e-67,2.4852843806156737e-65,2.25936274793344e-67,7.931572749076325e-72,3.483032841100389e-69,1.0051097524609586e-44,1.6074429220343888e-63,8.836316961626408e-36,1.2697316412076293e-60,1.410926564759281e-71,6.0693586869342865e-64,4.854937618846281e-63,9.888844516732217e-54,9.349863101101394e-84,1.6580822322089798e-63,2.6262226788285416e-55,4.729022936341871e-37,1.4868494489074446e-83,1.6820996703328557e-57,8.353421059562923e-67,2.340615933246381e-69,3.949052376936323e-89,5.844722454903738e-94,3.174577833031066e-88,2.3987247461782072e-88,7.867327833122121e-36,3.790029484302747e-103,2.2767780450835524e-100,3.310894227840852e-80,1.3961116750720314e-73,1.2903820805018813e-39,1.3937865395230342e-63,7.735432264971154e-81,1.3077527629534433e-30,4.934026939980469e-34,7.041735268089309e-45,7.408524286032957e-94,1.1301112628961245e-73,1.6829369857409914e-76,1.2383482373223903e-67,1.6829930087352516e-57,1.3164716921395257e-73,5.582354292552025e-72,3.052638693322534e-37,3.601012343184898e-58
9.454559463679451e-19,0.1187138736404768,3.76,0.0,0.7427691745195742,0.999999999999893,2.3577892186648983e-45,0.0,1.69332058255926e-34,7.541439414058932e-21,7.541439414043435e-21,2.5026233635647775e-21,8.121238024328804e-38,8.176977584774503e-37,1.4574901760455267e-32,1.4547631677732096e-32,2.3936838264122036e-25,4.147481240943912e-34,2.5026233635721366e-21,2.623693929838239e-30,8.427280788528569e-33,7.253421898450986e-33,1.3380178063795232e-34,2.153693373850801e-41,2.8005439823090935e-45,9.970792224928213e-51,2.393683826412201e-25,5.121194128487412e-47,1.5954681283269663e-36,6.912792879831831e-62,4.66666816072623e-35,1.1770889072493839e-36,1.2274525925917797e-36,2.1967718232190014e-47,6.058902952143636e-43,2.9306699583754267e-39,1.0707831095205055e-13,1.0415016694958775e-41,4.601457701427777e-68,8.205024779084516e-53,3.835589571944298e-55,1.6516510236943472e-54,2.719134725002525e-43,1.3208969301502413e-66,2.806331586756396e-66,2.0003730843648298e-64,1.8185316996663914e-66,6.384019793194056e-71,5.6200223814373716e-68,4.0415020862434106e-44,1.2938099080141695e-62,3.5530441867335853e-35,1.0240845674320352e-59,2.2772411630235364e-70,4.894952984723705e-63,3.915683071700935e-62,7.959402376125548e-53,3.019014136702612e-82,1.334568830312535e-62,2.113812478937004e-54,1.9015193235534123e-36,2.3996735008749475e-82,1.3566743220365475e-56,6.723616957973327e-66,3.777763143203464e-68,6.359884806977317e-88,9.412830723388508e-93,1.0250519446689194e-86,3.863395852640038e-87,3.1634179154808746e-35,1.2211118335320882e-101,7.374292220310862e-99,5.347103021790874e-79,2.24839946693219e-72,5.188570398016972e-39,1.1218406642987337e-62,1.2493987298743391e-79,2.6246506501296552e-30,9.902557565317133e-34,2.8314507806278516e-44,2.3936953135996492e-92,1.8251327081750394e-72,2.7103284118499475e-75,8.197359344791604e-67,1.357032422284924e-56,2.1241834475143848e-72,9.007367259011012e-71,1.2274525925911553e-36,1.4479591709351768e-57
1.8942061643260225e-18,0.1187138736404768,3.76,0.0,0.7427691745195742,0.9999999999997855,1.8919773596050148e-44,0.0,6.790972892222287e-34,1.5109155620502176e-20,1.5109155620440034e-20,5.013966669147696e-21,3.2569798420552194e-37,3.279333699877973e-36,5.83972522604258e-32,5.834250961479237e-32,4.79570801458891e-25,1.6633254787229853e-33,5.013966669177265e-21,5.256596954833635e-30,1.6980785603103628e-32,2.9089465984930946e-32,5.36604984667126e-34,8.637273692023975e-41,1.123143481678482e-44,3.998736055670392e-50,4.7957080145889e-25,2.0538280958748267e-46,6.398540783848684e-36,5.5470840653457995e-61,1.8715426542828082e-34,4.720652983950923e-36,4.9226338878766595e-36,8.810038442718411e-47,2.4298914557766637e-42,1.175329730723991e-38,2.1452971590537536e-13,4.176887478886529e-41,3.692484650889729e-67,4.3792561750842394e-52,3.080954132479586e-54,1.3266959228582783e-53,1.0904946410171747e-42,2.1226459062669204e-65,2.251904374768548e-65,1.6051734210915283e-63,1.45925716187683e-65,5.122773854186154e-70,9.02993922815023e-67,1.6208230794808846e-43,1.0382009698589735e-61,1.4249296326634313e-34,8.226004164988556e-59,3.659465413983585e-69,3.931810825248965e-62,3.145289587131674e-61,6.3869191396312615e-52,9.704351171720143e-81,1.0709074379819938e-61,1.6962013763323878e-53,7.62594296154069e-36,3.8561251212629413e-81,1.0897545944504075e-55,5.395301937514934e-65,6.07076362547853e-67,1.020906976374888e-86,1.5109746236877584e-91,3.2949378791006354e-85,6.202222599269087e-86,1.2686720678607634e-34,3.921121986081586e-100,2.3740545173690555e-97,8.595311939322013e-78,3.6091828183459586e-71,2.080849440079684e-38,9.002064830088261e-62,2.0087717509442184e-78,5.258446424501077e-30,1.983961881743031e-33,1.1355384027679512e-43,7.696780415106933e-91,2.9338475230769223e-71,4.350685584184368e-74,5.989490988561179e-66,1.0898973203788826e-55,3.4130200771387625e-71,1.4472536438291195e-69,4.922633887871651e-36,5.807027621722179e-57
