Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56)
0.0,0.12942354414365342,3.76,0.0,0.6075650207656561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.937022863813234e-22,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999999996,7.467257756474187e-53,0.0,2.7313153633459935e-39,1.7430768332669822e-22,1.743076833266976e-22,2.881369810006426e-23,7.94014511046785e-42,9.234799869959525e-41,3.6002110312035245e-36,6.307014749300912e-37,1.7439474119284562e-26,3.487044076859417e-51,2.881369810006138e-23,2.598333151022041e-44,1.92648516830696e-33,8.439373275162943e-38,2.7313588595641067e-39,1.5808362048066607e-56,1.3453396274707076e-48,7.833031537342955e-54,1.7439474119284562e-26,3.991877750969397e-50,7.649064507487197e-41,6.292262615363938e-68,4.165874241254963e-39,5.419143022324364e-41,1.1393589141181673e-56,2.0896906167620263e-50,2.342819649794504e-46,4.966246536147798e-43,3.2015621186885073e-16,4.28893090851258e-45,5.5494379082853925e-73,1.5742395104345551e-55,1.5433429904382241e-61,5.94911615225228e-61,2.4158657923373054e-60
2.7823664018677055e-21,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999999991,8.865128408487303e-52,0.0,1.649714479461213e-38,4.880615133147549e-22,4.880615133147512e-22,8.067835468017964e-23,4.79584764707377e-41,5.577819121412799e-40,1.2124088403311945e-35,3.809436908577716e-36,4.8830527533996773e-26,4.1398187280474635e-50,8.067835468017184e-23,1.5693934265814599e-43,5.39417221666465e-33,5.097381458198381e-37,1.6497407511767416e-38,9.548250826189712e-56,8.125851350230804e-48,4.731151053896278e-53,4.8830527533996773e-26,2.4110941616965783e-49,4.620034962519567e-40,7.470174184682675e-67,2.516188041717988e-38,3.2731623854839156e-40,1.3526469028410833e-55,1.2621731325822495e-49,1.4150630688356728e-45,2.9996129078332574e-42,8.964373932240527e-16,2.590514268704464e-44,6.588292712420092e-72,9.509379293648006e-55,2.332299927114854e-60,8.990304329224301e-60,3.6508563853801026e-59
6.35969463284047e-21,0.12942354414365342,3.76,0.0,0.6075650207656561,0.999999999999998,8.703835640949867e-51,0.0,7.942665076613641e-38,1.1155691732908684e-21,1.1155691732908502e-21,1.8440766784040914e-22,2.3089941986508323e-40,2.6854798021200995e-39,3.7345833211296683e-35,1.834079889096653e-35,1.116126343634212e-25,4.064498575987228e-49,1.8440766784039266e-22,7.555955853634307e-43,1.2329601295000675e-32,2.4541697484173294e-36,7.942791563612743e-38,4.597071903052367e-55,3.912247637137621e-47,2.2778455789184246e-52,1.116126343634212e-25,1.1608380501453206e-48,2.224347958773226e-39,7.334261327966976e-66,1.2114362293569287e-37,1.575886790891924e-39,1.3280367502961208e-54,6.076820314397192e-49,6.812919546999309e-45,1.4441844927117615e-41,2.04899975589954e-15,1.2472211081397574e-43,6.468424908711614e-71,4.57931968226082e-54,2.5089818326453014e-59,9.671359146309161e-59,3.927424701286813e-58
1.3514351094785998e-20,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999999957,7.698444056622084e-50,0.0,3.468770511453018e-37,2.3705844932430953e-21,2.370584493243015e-21,3.918662941608631e-22,1.0083984295737575e-39,1.1728195834185913e-38,1.2048528308233446e-34,8.00990873161162e-35,2.3717684802227003e-25,3.595002961478759e-48,3.918662941608338e-22,3.2998862539422776e-42,2.620067937815531e-32,1.0718004059456371e-35,3.4688257516467456e-37,2.007662204906147e-54,1.708581327351592e-46,9.94795013292403e-52,2.3717684802227003e-25,5.0696847454049996e-48,9.71431192446687e-39,6.48707111484171e-65,5.290660286393652e-37,6.882311638351928e-39,1.1746334660992345e-53,2.6539070841617013e-48,2.9753809608158073e-44,6.307133100907518e-41,4.354124481110845e-15,5.446942253235397e-43,5.721248677349623e-70,2.0007501016912797e-53,2.306186563701249e-58,8.889645283902495e-58,3.609979936173586e-57
2.782366401867705e-20,0.12942354414365342,3.76,0.0,0.6075650207656561,0.999999999999991,6.471006095649946e-49,0.0,1.4481434056492903e-36,4.88061513314755e-21,4.880615133147214e-21,8.06783546801751e-22,4.20986494246912e-39,4.896290890456126e-38,4.175480238446571e-34,3.343979220078858e-34,4.883052753399677e-25,3.021816604300731e-47,8.0678354680171415e-22,1.3776390736017425e-41,5.394371525039493e-32,4.474555710490881e-35,1.4481664673411864e-36,8.381595572577458e-54,7.132990709006247e-46,4.153073393242654e-51,4.883052753399677e-25,2.1164935850641067e-47,4.055534001832029e-38,5.452774194611312e-64,2.208746522713246e-36,2.8732296304363645e-38,9.873502052321213e-53,1.1079539657904476e-47,1.2421629833401544e-43,2.6331039134653964e-40,8.964373930974788e-15,2.2739911671753492e-42,4.809054409355766e-69,8.359755615242946e-53,1.9729911588150006e-57,7.605278699569682e-57,3.0884138385341367e-56
5.644228986645917e-20,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999999818,5.3053217589466266e-48,0.0,5.9161383296494226e-36,9.900676412956459e-21,9.900676412955085e-21,1.6366180520834471e-21,1.719867195655653e-38,2.000294590527749e-37,1.534808869450082e-33,1.366124622757164e-33,9.905621299753632e-25,2.477467822674703e-46,1.636618052083467e-21,5.628117557779233e-41,1.0943330581859555e-31,1.8280020088929607e-34,5.91623254417275e-36,3.424156155310559e-53,2.914059450198601e-45,1.6966660240699088e-50,9.90562129975363e-25,8.646566896384644e-47,1.6568179685478505e-37,4.4705138049051006e-63,9.023450241526748e-36,1.1738080552075347e-37,8.094893514360378e-52,4.526353470148797e-47,5.074641116736005e-43,1.0757088647156173e-39,1.8184872828467978e-14,9.28999590068868e-42,3.942753626058139e-68,3.420966054944972e-52,1.6313072440153039e-56,6.288191500472599e-56,2.5535602857674763e-55
1.136795415620234e-19,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999999634,4.2963871101695474e-47,0.0,2.3913977037694504e-35,1.9940798972574277e-20,1.994079897256872e-20,3.2962870626465195e-21,6.951978205299517e-38,8.085510552389585e-37,5.861872016982375e-33,5.5220941497175374e-33,1.995075839246154e-24,2.006317675492313e-45,3.296287062646942e-21,2.274985151554787e-40,2.204265622498824e-31,7.389076392318797e-34,2.391435786775701e-35,1.3840993762547613e-52,1.1779094230386304e-44,6.85819559735109e-50,1.9950758392461532e-24,3.4950805915212128e-46,6.6971231311389435e-37,3.620338110496966e-62,3.6474228601813515e-35,4.7447198349099534e-37,6.555454642215342e-51,1.8296244455626824e-46,2.0512510936939404e-42,4.348187222229976e-39,3.6625870614515624e-14,3.7551648754786063e-41,3.1929445471776876e-67,1.3874438141122373e-51,1.3265519587673182e-55,5.113452896541656e-55,2.076512815929588e-54
2.2815404495315186e-19,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999999265,3.4581061235264924e-46,0.0,9.61570498945735e-35,4.0021044091809913e-20,4.0021044091787555e-20,6.615625083771385e-21,2.7953598743954437e-37,3.251148230049589e-36,2.2886164137319357e-32,2.220409770547645e-32,4.0041032577877355e-24,1.6148590109282212e-44,6.615625083773769e-21,9.147696049565033e-40,4.424693762919996e-31,2.9711151190113216e-33,9.615858119466586e-35,5.565408432618438e-52,4.736321995491728e-44,2.7576504909213234e-49,4.0041032577877325e-24,1.4053565381835762e-45,2.6928837559060158e-36,2.9139632754665977e-61,1.4666126901300057e-34,1.9078309775813006e-36,5.276400207718138e-50,7.356839448020542e-46,8.2479905734168e-42,1.74838695803604e-38,7.350786615085593e-14,1.5099352791391879e-40,2.569960256550792e-66,5.616121500277843e-51,1.0699122123898039e-54,4.124185008612434e-54,1.674782812889214e-53
4.571030517354088e-19,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999998528,2.774912380263208e-45,0.0,3.856327773763634e-34,8.018153433028117e-20,8.018153433019155e-20,1.3254301126015999e-20,1.121064346352264e-36,1.3038558500457805e-35,9.041541167897585e-32,8.904836282427407e-32,8.022158094870899e-24,1.2958226560002242e-43,1.3254301126026932e-20,3.668700075694001e-39,8.867802090944124e-31,1.1915500490939603e-32,3.8563891856789104e-34,2.2319822849007015e-51,1.8994769668291012e-43,1.1059413499525828e-48,8.022158094870889e-24,5.6361083133257e-45,1.0799668282019325e-35,2.3382723374932785e-60,5.88177284597624e-34,7.651255518360982e-36,4.2339788706135685e-49,2.950421679164706e-45,3.307813235013127e-41,7.011813686900314e-38,1.472718570805166e-13,6.0555157925717675e-40,2.0622323870085907e-65,2.2822104581894766e-50,8.59411673312088e-54,3.3127696817179743e-53,1.345276633907756e-52
